resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building 3,,,,,,,,
,step,,,,Basement 1,,,,,,,
,step,,,,,Apartments,,,,,,
,step,,,,,,A101,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A102,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A103,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A104,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A105,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A106,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A107,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,A108,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,Common Areas,,,,,,
,step,,,,,,Lobby,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,Stairwell ,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
Fit off (Apartments/Common Areas),checklist,,,,,,,Fit Off,,,,
Inspected & Tested,checklist,,,,,,,Tested,,,,
,step,,,,,,Hallway,,,,,
Pre Wire,checklist,,,,,,,Pre-wire,,,,
