"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Fit Off"
,"Scope",,
,"Rows"
,,"Level 0","grouping","level 0"
,,"Region A - CS001",,"cs001","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS002",,"cs002","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS003",,"site qa","caresuites","cs003","fit 0ff","level 0","region a"
,,"Region A - CS004",,"site qa","caresuites","fit 0ff","level 0","cs004","region a"
,,"Region A - CS005",,"site qa","caresuites","fit 0ff","level 0","cs005","region a"
,,"Region A - CS006",,"site qa","caresuites","fit 0ff","level 0","cs006","region a"
,,"Region A - CS007",,"site qa","caresuites","fit 0ff","level 0","region a","cs007"
,,"Region A - CS008",,"cs008","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS009",,"cs009","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS010",,"site qa","caresuites","fit 0ff","level 0","region a","cs010"
,,"Region A - CS011",,"cs011","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS012",,"cs012","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS013",,"cs013","site qa","caresuites","fit 0ff","level 0","region a"
,,"Region A - CS014",,"site qa","caresuites","cs014","fit 0ff","level 0","region a"
,,"Region A - CS015",,"site qa","caresuites","fit 0ff","level 0","cs015","region a"
,,"Region A - CS016",,"site qa","caresuites","fit 0ff","level 0","cs016","region a"
,,"Region A - CS016",,"site qa","caresuites","fit 0ff","level 0","cs016","region a"
,,"Region A - Lounge 089",,"site qa","lounge 089","fit 0ff","level 0","common areas","region a"
,,"Region A - Stairwell 093",,"stairwell 093","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Staff Hallway 099",,"site qa","fit 0ff","level 0","common areas","staff hallway 099","region a"
,,"Region A - Sluice Room 100",,"sluice room 100","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Room 104",,"room 104","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - RN Station 048",,"rn station 048","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Triage 072",,"site qa","fit 0ff","level 0","common areas","triage 072","region a"
,,"Region A - WC 084",,"site qa","wc 084","fit 0ff","level 0","common areas","region a"
,,"Region A - Stairwell 047",,"site qa","stairwell 047","fit 0ff","level 0","common areas","region a"
,,"Region A - Training Room 045",,"site qa","fit 0ff","level 0","common areas","training room 045","region a"
,,"Region A - Lounge 089",,"site qa","lounge 089","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 1 ED090",,"door 1 ed090","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 2 FD 093",,"door 2 fd 093","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 3 ED093",,"site qa","fit 0ff","level 0","common areas","region a","door 3 ed093"
,,"Region A - Door 4 ED099",,"door 4 ed099","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 5 FD296",,"door 5 fd296","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 6 FD 0100.1",,"site qa","fit 0ff","level 0","common areas","door 6 fd 0100.1","region a"
,,"Region A - Door 7 ID072",,"door 7 id072","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 8 ED 059",,"door 8 ed 059","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Door 9 ID 099",,"site qa","fit 0ff","level 0","door 9 id 099","common areas","region a"
,,"Region A - Door 10 ED047",,"site qa","door 10 ed047","fit 0ff","level 0","common areas","region a"
,,"Region A - Camera 12",,"camera 12","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Camera 13",,"camera 13","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Camera 14",,"camera 14","site qa","fit 0ff","level 0","common areas","region a"
,,"Region A - Camera 15",,"site qa","camera 15","fit 0ff","level 0","common areas","region a"
,,"Region A - Camera 16",,"site qa","fit 0ff","level 0","camera 16","common areas","region a"
,,"Region A - Camera 17",,"site qa","fit 0ff","level 0","common areas","camera 17","region a"
,,"Region A - Camera 18",,"site qa","fit 0ff","level 0","common areas","camera 18","region a"
,,"Region B - Staff Room",,"site qa","fit 0ff","level 0","region b","common areas","staff room"
,,"Region B - WC 009",,"site qa","fit 0ff","level 0","region b","common areas","wc 009"
,,"Region B - Hairdresser 011",,"hairdresser 011","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Chefs Office 016",,"chefs office 016","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Pl;ant Room 3 019",,"site qa","fit 0ff","level 0","region b","pl;ant room 3 019","common areas"
,,"Region B - Lift 01 012",,"site qa","fit 0ff","level 0","region b","common areas","lift 01 012"
,,"Region B - Café/Servery",,"café/servery","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Restaurant Dining",,"site qa","fit 0ff","level 0","region b","common areas","restaurant dining"
,,"Region B - FM Dining 030",,"fm dining 030","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Admin 036",,"site qa","fit 0ff","level 0","region b","common areas","admin 036"
,,"Region B - Copy 037",,"site qa","fit 0ff","level 0","region b","common areas","copy 037"
,,"Region B - Reception 039",,"site qa","fit 0ff","level 0","region b","common areas","reception 039"
,,"Region B - Meeting 040",,"meeting 040","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Fire Panel 035",,"site qa","fit 0ff","level 0","region b","common areas","fire panel 035"
,,"Region B - Wind Lobby 001",,"wind lobby 001","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Foyer 002",,"foyer 002","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Café Seating",,"café seating","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Wellness Centre",,"site qa","wellness centre","fit 0ff","level 0","region b","common areas"
,,"Region B - CM Office 005",,"cm office 005","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - GS Office 006",,"gs office 006","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Door 12",,"door 12","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Door 11",,"site qa","door 11","fit 0ff","level 0","region b","common areas"
,,"Region B - Corridor",,"corridor","site qa","fit 0ff","level 0","region b","common areas"
,,"Region B - Camera 19",,"site qa","fit 0ff","level 0","region b","common areas","camera 19"
,,"Region B - Door 14",,"site qa","fit 0ff","level 0","region b","door 14","common areas"
,,"Region B - Camera 20",,"site qa","fit 0ff","level 0","region b","common areas","camera 20"
,,"Region B - Door 13",,"site qa","fit 0ff","level 0","region b","common areas","door 13"
,,"Region B - Camera",,"site qa","fit 0ff","level 0","region b","camera","common areas"
,,"Region C - CS018",,"site qa","caresuites","fit 0ff","level 0","region c","cs018"
,,"Region C - CS019",,"cs019","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - CS020",,"site qa","caresuites","fit 0ff","level 0","region c","cs020"
,,"Region C - CS021",,"site qa","caresuites","fit 0ff","level 0","region c","cs021"
,,"Region C - CS022",,"cs022","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - CS023",,"cs023","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - CS024",,"cs024","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - CS025",,"site qa","caresuites","cs025","fit 0ff","level 0","region c"
,,"Region C - CS026",,"site qa","caresuites","fit 0ff","level 0","cs026","region c"
,,"Region C - CS027",,"site qa","caresuites","fit 0ff","level 0","region c","cs027"
,,"Region C - CS028",,"site qa","caresuites","fit 0ff","level 0","region c","cs028"
,,"Region C - CS029",,"site qa","caresuites","fit 0ff","level 0","region c","cs029"
,,"Region C - CS030",,"site qa","caresuites","fit 0ff","level 0","region c","cs030"
,,"Region C - CS031",,"site qa","caresuites","fit 0ff","level 0","region c","cs031"
,,"Region C - CS032",,"site qa","caresuites","fit 0ff","level 0","region c","cs032"
,,"Region C - CS033",,"cs033","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - CS034",,"cs034","site qa","caresuites","fit 0ff","level 0","region c"
,,"Region C - RN office 128, 129",,"rn office 128, 129","site qa","fit 0ff","level 0","region c","common areas"
,,"Region C - Stairwell 142",,"site qa","fit 0ff","level 0","region c","common areas","stairwell 142"
,,"Region C - Gardeen Store 143",,"gardeen store 143","site qa","fit 0ff","level 0","region c","common areas"
,,"Region C - Cleaners Cupboard 154",,"cleaners cupboard 154","site qa","fit 0ff","level 0","region c","common areas"
,,"Region C - TV Room 133",,"tv room 133","site qa","fit 0ff","level 0","region c","common areas"
,,"Region C - Hoist Station 173",,"hoist station 173","site qa","fit 0ff","level 0","region c","common areas"
,,"Region C - Shower Room 169",,"site qa","shower room 169","fit 0ff","level 0","region c","common areas"
