"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d54f83ff-5604-406d-8f7a-a3ce9e621797","Child PS1 Attached(206e2c36-547d-5203-ab88-df2f3782640e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"4a01aaff-4be0-57d0-adbc-1a99ed62739a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"c772cd2f-6139-595a-a1bd-08b64bb7c7f7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"5dc32ce8-17ee-5536-b2ed-eb83551696ad","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"206e2c36-547d-5203-ab88-df2f3782640e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-applicable","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"a5109eda-2cf8-512e-915c-7047a6c79e14","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff5602fc-badc-5e11-8b3a-22b05df69934","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"c8e67a89-9ffc-47ea-8dd4-d69be883798a","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"bebd003b-1f8b-405e-9a4a-9a1d3d30d7fd","","folder-normal","not-started","","step","TRUE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2"
"d16315a9-3b42-45a1-bd6c-597d01e598cb","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Pre-Fit Off Checklist - Anchors "
"6b41fdc5-1054-504c-891f-d4430e95dbdf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Pre-Fit Off Checklist - Anchors ","Confirm structure is in accordance to the details provided"
"f2786f8e-73ba-5b4f-90ed-b4332c709cc5","","holdpoint","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Pre-Fit Off Checklist - Anchors ","EMAIL PM"
"3b1f0810-bd52-597f-95cb-94c0c16468f3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Pre-Fit Off Checklist - Anchors ","Plinths/ bases/post installed in accordance with details provided"
"31828bcd-951b-4670-97eb-1f1d0c337fff","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 02"
"c717726a-179f-52cb-9974-ee753e8cc443","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"00fd1e1e-67c4-5aac-a47f-2e5a93a7d7db","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"d22e4a31-ab71-4ee5-bc93-76447ca2c3ef","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 03"
"7b01f1bc-48d2-5798-ac6f-bbaaff36bcc0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"2e38897c-88e4-55ee-b3f1-fa4e6e464330","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"548f7ba2-b030-4fab-81b6-04db74d2824d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 04"
"7cf36ec3-d376-5893-9550-b3020a19abdd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"bcf93bc6-3e36-5270-b9c9-4c10142c9b34","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"2650e725-7aab-496e-8fd6-11f44c4dd94f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 05"
"9f46412b-00cb-50d0-bdeb-ac5cccd63572","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"cb34f359-8559-5f84-ad65-eaffa6cee885","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"5a96a43e-0947-4131-95ad-98093c768b30","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 06"
"6b4249a4-d6f8-5a5f-957c-1b6638bd5832","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"58d258b2-2e4c-5007-80ef-95aeb551dc62","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"83875c76-dcb1-4e21-88d7-f05740359b17","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 07"
"f2e352a3-e555-5826-9f81-8ab2179698bc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"ebb7491e-65a8-5485-aa6c-bc5a45c69e3b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"8eee8238-d4fa-44be-b884-896ad21bdfb0","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 08"
"fe24bd6e-53c9-59a4-a9fa-8cf65fd59bc0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"cfccf956-04c2-5515-ac16-590b59481294","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"510648df-efda-4f9a-9b10-950d423bcdc1","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 09"
"586e7993-4ff7-56f1-bfe7-e1894012a9ec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"1a9bd188-cf40-57a3-968c-29195ab2f9e2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"12a34adc-24c2-489f-b746-f3a8b327aa1c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 10"
"ce15d00d-a3e1-5dc6-9405-c5d580555460","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"b4a43cac-37f4-5f2f-92ed-2e22cf271c9b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"4ee02243-da08-4380-8c69-07f34720dfc5","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","21No AP Type 01 Fall Arrest Anchors | Zone 2","Fit Off Checklist - Anchor 11"
