"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a95ca27d-43e7-4cca-9077-64e33f736fb4","","pass","","folder","TRUE","FALSE","GROUND"
"c7a933d9-bca6-4397-85e5-201f60acbeab","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","DB01"
"6b332686-8ccd-4f41-b143-1263cfd4c37d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","DB07"
"17ceafc1-e951-4b57-a72c-eafd13c2ac92","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","DW03"
"01f4ccf8-9b12-41fb-9ec1-96b9cae25681","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","W01"
"af6655ae-da32-4a71-afdc-1e0de0d3ea7a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","W02"
"6caccdff-acde-47f2-b2a0-a2bef7f4362d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","W05"
"f13c411f-a28f-4bef-b354-c3941a71deaa","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","W07"
"eca4f28c-19f3-428b-8e04-9ad41f806900","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","W08"
"68448795-fdac-4131-b514-9fed1075b6ab","","pass","","folder","TRUE","FALSE","LEVEL 1"
"f647e68e-9523-4e20-9154-a46bef23a8a6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","LEVEL 1","W09"
"796ccf3e-4eb4-48dc-bf4d-885492b1ccca","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","LEVEL 1","W11"
"fced6fff-d210-45c0-995e-823e85f7dee1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","LEVEL 1","W13"
"971addfa-0c55-47e8-8151-4e522fc790a9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","LEVEL 1","W12"
"8a80c800-20a6-4321-a2f8-b2d2ef160b33","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","LEVEL 1","W16"
