"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ffc91826-2a7e-419b-a23a-8ab659bba047","","pass","","folder","TRUE","FALSE","Level 1"
"576da18c-e4bc-4ffa-a763-c028e0b97d91","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 1 Main"
"9f26c0a8-a4d2-47ad-a4a6-763b94e2bcab","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 1 Ensuite"
"a86f377b-904a-41f5-afc5-bc85b0d7543f","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 2 Main"
"ecae00d9-3953-4ef0-bf36-058975d208f7","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 2 Ensuite"
"de7dd2d0-bef9-4cc4-af4b-1291d9708dc4","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 3 ensuite"
"49bba70f-d8af-4663-81de-d67c1535baa5","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 4 Main"
"be679644-5cb6-4e9c-bd2a-49c8009190d6","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 4 Ensuite"
"804b2200-415b-4c8e-b11c-11e1dc7834b2","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 5 Main"
"d8ab79e7-ef63-484f-9d73-ddc669c71e92","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 5 Ensuite"
"b5020a2d-519e-4fe2-9bfc-5874993e4a5c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 6 ensuite 1"
"ba488f4b-c528-40f9-9d1b-4bf4262aa2bc","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 6 Ensuite 2"
"dcaaf3d2-9b11-4579-b823-569e17c1fb03","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 7 Main"
"6713b786-231e-4ea4-9422-fc5159984447","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 7 Ensuite"
"6a36f6f2-1c83-4540-8489-4e2c813a33b3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 8 Main"
"b7ab4443-f039-477a-bdbf-4bb87fdb9532","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 8 Ensuite"
"49ded33f-039a-42ea-bff9-4397efad4a35","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 9 Main"
"c5ac0d79-cee4-4349-81b0-54bef9144867","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 9 Ensuite"
"4d8ba9c9-5a0c-456e-980f-ef8a0f5e160a","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 10 Main"
"eec839d3-56b8-40c9-9477-d95d6590993e","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 10 Ensuite"
"1a31af05-7fb5-448c-a238-a4f6b178af1e","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 11 Main"
"3ccfd042-35fd-4a37-b8ba-7357568304c3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 11 Ensuite"
"2489dd39-6d39-4463-8dee-5ff49a71d932","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 12 Main"
"cda1af71-bb79-4778-8976-b43639d2a4de","","pass","QA - Showers","checklist","FALSE","FALSE","Level 1","Apt 12 Ensuite"
"54e7cdef-140c-4983-afd9-6a7278e39442","","pass","","folder","TRUE","FALSE","Level 2"
"fb7a861e-d7ea-4bfe-88c8-e77135183894","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 13 Main"
"89ff0054-cc32-4cb7-b995-fcbe0081d588","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 13 Ensuite"
"61cadb0e-f4fc-4d9b-af78-ad2c372666ec","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 14 Main"
"3a21c3bf-59c4-4aa5-939d-fc642b7d9e1f","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 14 Ensuite"
"704a0648-1771-471c-b6b3-7c386177e70f","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 15 Ensuite "
"be184cf7-a687-46b9-b8b4-93cd70c71b54","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 16 Main"
"9e2c71fb-97fd-4760-9ddf-ef4e8025b538","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 16 Ensuite"
"e046805c-9a98-47ca-a84f-a3bd3227b824","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 17 Main"
"5eb6dbee-f563-459e-ae57-7e01ff1a287d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 17 Ensuite"
"ca82907a-fed3-4ddc-b0ad-561c26309ea9","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 18 Ensuite 1"
"8985ac7e-1098-43f6-a50b-2c190d0fbeba","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 18 Ensuite 2"
"b2406267-dd97-47e3-b203-244ac1c2469a","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 19 Main"
"0a771819-e436-4dd1-918e-4355b6eceaea","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 19 Ensuite"
"8d25ba94-00ae-4993-bcae-59588b96ba93","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 20 Main"
"a2a89e7d-409d-4bc0-a43b-30059db4deda","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 20 Ensuite"
"f15778df-9836-4733-9b60-bb168b04a408","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 21 Main"
"4e330251-318e-4bb0-b736-b370b0a8c19c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 21 Ensuite"
"fa4259d8-9bba-4f29-adf6-2d6690dfb1f1","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 22 Main"
"8dd21217-920e-424e-9a04-e8a8ac702c6b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 22 Ensuite"
"a413a729-855d-4ab7-bc1e-2782b3b662a8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 23 Main"
"4691a214-290e-4baf-8172-fccd73bbde6d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 23 Ensuite"
"05a287af-65e2-4870-a66b-30db88a16098","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 24 Main"
"1a71dce4-2e8a-44e7-be2e-42fe1cc2e622","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","Apt 24 Ensuite"
"41d7f39b-75d5-4729-854c-e683c81a5c9c","","pass","","folder","TRUE","FALSE","Level 3 "
"6559e5e3-2842-4b74-b924-81ab6bee14b9","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 25 Main"
"4ec18a6f-19bc-4aea-85bc-7bbf3dd7d1f8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 25 Ensuite"
"1e77e638-5652-4d6c-b49c-de17b440946d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 26 Main"
"2e47047b-7e01-4f76-859e-01d3274ce92b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 26 Ensuite"
"eaa13017-4152-458b-89b4-6fd7c3225a42","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 27 Main"
"33d6f7c7-569a-4f69-bfb1-9ed011e1d38d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 27 Ensuite"
"866c632a-64ae-43b8-a3ed-6d23863b7a74","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 28 Main"
"daf5513c-9944-4254-b9e5-081b733c36d0","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 28 Ensuite"
"54620282-255f-4413-8745-5ae2255b9ff8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3 ","Apt 29 Main"
