"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"739cb4a2-a921-4ca5-b21e-1f2c29c7b655","","not-started","","folder","TRUE","FALSE","Block 1"
"de640b56-66ba-4ed5-ba0c-0c0fa1388b1d","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 36 Main"
"3b8525ee-2936-4227-b364-6a5b7e3b58e4","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 36 Ensuite"
"48f79150-6c13-48cc-b496-c399b3d7162b","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 37 Main"
"215f1942-e12b-489c-94ec-a5e09c75d050","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 37 Ensuite"
"e321a3be-8b87-4256-b474-c03235bc6b20","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 38 Main"
"80aca258-1dd0-4a3a-903e-b8f21ea16985","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 1","Lot 38 Ensuite"
"56fa3f3f-7a8c-494d-b252-44550413a58a","","not-started","","folder","TRUE","FALSE","Block 2"
"8427d5a2-6c38-4b11-9560-069097dc50e9","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 2","Lot 39"
"013d5ed7-529c-4fee-a920-54b64f62d079","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 2","Lot 40"
"e5e25a67-bddc-465f-a4e9-8eec24b9409b","","not-started","","folder","TRUE","FALSE","Block 3"
"d14e87e3-7af8-4e75-a42b-e7780c32362a","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 3","Lot 41"
"d4092174-4070-4cb5-ac67-652051ab5bc3","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 3","Lot 42"
"1a9e4fca-4289-480f-8d68-290fc127ab30","","not-started","","folder","TRUE","FALSE","Block 4"
"b22c8602-ffa4-44d5-bcd9-f7ae3adecbcc","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 4","Lot 43"
"a9af76af-4554-4cde-bea4-ed6746f9d3bc","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 4","Lot 44"
"7737ec1e-883e-4c57-b66b-e15e255da912","","not-started","","folder","TRUE","FALSE","Block 5"
"f8ce44a3-e18e-4178-97c9-f646290550ab","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 5","Lot 16"
"da3623a4-ee3c-454b-8ae7-502712e5f23a","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 5","Lot 17"
"e5d314cf-a570-4154-9c82-33a23b171e3a","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 5","Lot 18"
"5086912c-f1b3-4577-9435-88c2349d3e51","","not-started","","folder","TRUE","FALSE","Block 6"
"9a5666f1-1b9f-4984-9165-e41ec03e9e7b","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 6","Lot 45"
"84282fb5-21b5-4575-b2c7-7ee920bc1e84","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 6","Lot 46"
"dc7c7f33-fadf-46df-a0f0-1dfdf3724250","","not-started","","folder","TRUE","FALSE","Block 7"
"62590ddc-7d27-4f7f-b2fd-169ebc8ab97a","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 7","Lot 47"
"8887cbd5-903f-47c7-9045-e9781ce92bc0","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 7","Lot 48"
"d75008b6-1868-4e12-9e9c-60bd941444ae","","not-started","","folder","TRUE","FALSE","Block 8"
"1be9b21a-7cef-49aa-9b11-17fbd517cfad","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 8","Lot 19"
"41b3cf19-de92-4e31-b202-4ffa0825479f","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 8","Lot 20"
"1d64927f-5a5d-463f-83e5-03991234915c","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 8","Lot 21"
"ada0901b-b9be-4b08-a4a0-32bd394a30e3","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 8","Lot 22"
"3081b581-f42c-465e-8386-95cb0123f5a6","","not-started","","folder","TRUE","FALSE","Block 9"
"472f1075-c08c-4790-9bca-d61b806d4d1b","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 9","Lot 23"
"4a52b92d-cd1c-4f0c-88ab-de6fc052d1b2","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 9","Lot 24"
"61097b39-cd9e-404b-8c66-baa08eb7de6d","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 9","Lot 25"
"2b800ece-1345-44e0-8bdb-4b5c763f9946","","not-started","","folder","TRUE","FALSE","Block 10"
"56c8ae72-7f37-46b1-8903-2e6a7637fc8e","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 10","Lot 26"
"0ff0160b-e779-4678-afae-4b5403416cdf","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 10","Lot 27"
"019825a7-df9d-41d3-942f-8932af39fe3b","","not-started","","folder","TRUE","FALSE","Block 11"
"8957737d-601c-411a-b138-9288bb29b993","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 11","Lot 28 Main"
"b92ee7c1-c3a0-4cbc-b865-929f28286dc2","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 11","Lot 28 Ensuite"
"ba26a717-5f83-4f73-b0ea-7505c05cb9f8","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 11","Lot 29 Main"
"d540b896-13f4-4c0b-a702-4e9f3752bd06","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 11","Lot 29 Ensuite"
"fb64a304-3987-4b2a-b27b-bdbb6fc324c8","","not-started","","folder","TRUE","FALSE","Block 12"
"99aa4615-c698-46b8-bb32-266d2c0e219b","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 12","Lot 30"
"3083db95-8dc6-4534-9585-91e5420fdcc7","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 12","Lot 31"
"dec86fcb-228e-47b6-bf99-5bc3810b30bd","","not-started","","folder","TRUE","FALSE","Block 13"
"e98e2d0d-388c-46e7-85a7-6e01e19133f8","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 32 Main"
"3b412fff-9d1d-41b4-b417-5802a142af9f","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 32 Ensuite"
"353679ef-ba04-4405-b62c-9abfe7f9ac8b","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 33 Main"
"b71c5a1f-a1e9-4377-a05d-2948bfc1c8cc","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 33 Ensuite"
"35fccac2-1c0a-4777-a71b-6af59d2e3953","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 34 Main"
"4f9f8dbf-674d-4c2e-b446-1da7e23b9e05","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 34 Ensuite"
"eb216b5c-e6bb-48e9-a13c-c105dfe1bae5","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 35 Main"
"b7cb9ab0-1ae1-4802-8e5f-ff4d6e73f6e7","","not-started","QA - Showers","checklist","FALSE","FALSE","Block 13","Lot 35 Ensuite"
