"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8069fc50-a53b-411a-abba-888645b7f6fb","","pass","","folder","TRUE","FALSE","Ground"
"f8eb7351-d0f7-4ccb-89b2-257beddddec9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.E15"
"1d1b18c3-a24a-4b8b-9b70-2acff084022d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.E31"
"6c6e9335-c135-4818-bc48-75a27c3d6bd3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.E32"
"673670ab-4c4b-4431-9bfa-5b0ef57f8a20","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.E33"
"9761263f-9f3b-447e-ac8a-c4cc8248fe66","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.E21"
"6f194587-f516-4965-823d-877d103a8998","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.101"
"146b868b-166e-4bc9-b5f2-4dfb7ffb02c0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.105"
"fb09a84c-eb5d-46df-bb52-2b30e1aa5bdc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.102"
"0d94d46e-cdad-4978-9684-2025e18a3191","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.103"
"bdf89078-75e0-495c-8c16-1650e95f1613","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W.104"
