Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
QA - Sprinkler Pipe Installation Rough In,,,,,
,Scope,,,Sprinkler Pipe Installation Rough In,
,Rows,,,,
,,Sprinkler Pipe Installation Rough In,dynamic,Sprinkler Pipe Installation Rough In,Site QA
,Columns,,,,
,,Check sprinkler heads for dmg./scratches to paint,,Check sprinkler heads for damage/scratches to paint finish,Initial Installation
,,Flexi compliant to AS2118 & FM approved,,Flexi compliant to AS2118 and FM approved,Initial Installation
,,Sprinklers neatly hemped & soaped,,"Sprinklers neatly hemped and soaped (with inner escutcheon plates installed, if required)",Initial Installation
,,Grid lines marked out/confirmed w/ asst. of bldg. team,,Grid lines marked out and confirmed with the assistance of building team,Initial Installation
,,Pipework installed as per ISSUED FOR CONST. drawings,,"Pipework installed as per the ISSUED FOR CONSTRUCTION drawings? (correct heights, measurements off grid lines)",Initial Installation
,,Pipework hangers/supports installed correctly,,Pipework hangers/supports installed correctly,Initial Installation
,,Concealed space sprinklers installed as per AS2118,,Concealed space sprinklers installed as per AS2118 with no obstructions,Initial Installation
,,Flexi installed to manufact. specs & tied up from dmg.,,Flexi installed to manufacturers specs and tied up away from possible damage,Initial Installation
,,Have the correct sprinklers been installed?,,"Have the correct sprinklers been installed? (Temperature rating, Fast Response, Finish)",Initial Installation
,,Riser pipework installed as per ISSUED FOR CONST. drawings,,Riser pipework installed as per the ISSUED FOR CONSTRUCTION drawings?,Initial Installation
,,Riser hangers/supports installed correctly,,Riser hangers/supports installed correctly?,Initial Installation
,,Fire sprinkler control valve installed & connected to system,,"Fire sprinkler control valve installed and connected to system, riser and drain pipework? (t",Initial Installation
,,Fire Rating/acoustic sealing of pens. prior to ceiling sheeting,,Fire Rating/acoustic sealing of penetrations completed prior to ceiling sheeting?,Initial Installation
,,Fire Rating/acoustic sealing of riser penetrations,,Fire Rating/acoustic sealing of riser penetrations completed?,Initial Installation
,,Exposed fire sprinkler pipework completely painted to colour,,Exposed fire sprinkler pipework completely painted to required colour?,Initial Installation
,,Any changes to installation recorded for AS BUILT DRAWINGS,,Any changes to installation recorded for AS BUILT DRAWINGS,Initial Installation
,,1.6MPa/400 kpa in excess of maximum static working pressure,,"1.6MPa or 400 kpa in excess of the maximum static working pressure (whichever is greater) for a period of 2 hours, with no loss of pressure duration the 2 hour duration.",Hydrostatic Pressure Test
,,Pipework Joints/connections/position/spacing correct,,"Are the pipework Joints, connections, position & spacing correct?",Hydrostatic Pressure Test
,,All open ends plugged off to close up piping network,,Are all open ends plugged off to close up the piping network?,Hydrostatic Pressure Test
,,Start Time:,Start Time:,Are all open ends plugged off to close up the piping network?,Hydrostatic Pressure Test
,,Test Pressure:,Test Pressure:,Are all open ends plugged off to close up the piping network?,Hydrostatic Pressure Test
,,Attach picture of pressure test gauge:,,Attach picture of pressure test gauge:,Hydrostatic Pressure Test
,,Finish Time:,Finish Time:,Attach picture of pressure test gauge:,Hydrostatic Pressure Test
,,Test Pressure:,Test Pressure:,Attach picture of pressure test gauge:,Hydrostatic Pressure Test
,,Attach picture of pressure test gauge:,,Attach picture of pressure test gauge:,Hydrostatic Pressure Test
,,Any pressure loss during test?,,Any pressure loss during test?,Hydrostatic Pressure Test
,,,,,
QA - Sprinkler Pipe Installation Fit Off,,,,,
,Scope,,,Sprinkler Pipe Installation Fit Off,
,Rows,,,,
,,Sprinkler Pipe Installation Fit Off,dynamic,Sprinkler Pipe Installation Fit Off,Site QA
,Columns,,,,
,,Check Sprinkler Heads for dmg./scratches to paint,,Check Sprinkler Heads for damage/scratches to paint finish,Fit Off - Part 1
,,Check Flexi for damage/kinks,,Check Flexi for damage/kinks (take a photo of any damaged Flexi with room/area reference),Fit Off - Part 1
,,Water is drained the water out of the system,,Check the water is drained the water out of the system,Fit Off - Part 1
,,Installation drawings are the most recent revision,,Installation drawings are the most recent revision and are ISSUED FOR CONSTRUCTION?,Fit Off - Part 1
,,Laser used to fit off to accurate measurements,,Laser used to fit off to accurate measurements?,Fit Off - Part 1
,,Sprinklers installed as per AS2118,,Sprinklers installed as per AS2118 with no obstructions?,Fit Off - Part 1
,,Correct sprinklers been installed,,"Have the correct sprinklers been installed? (Temperature rating, Fast Response, Finish)",Fit Off - Part 1
,,Water is reinstated into the system at completion,,Check the water is reinstated into the system at the completion of fit off,Fit Off - Part 1
,,Check sprinkler heads for dmg./scratches to paint,,Check sprinkler heads for damage/scratches to paint finish,Fit Off - Part 2
,,Check sprinkler heads are straight/parallel to surface,,Check sprinkler heads are straight and parallel to finished surface,Fit Off - Part 2
,,No paint or gyprock setting on sprinkler head,,Check there is no paint or gyprock setting on sprinkler head,Fit Off - Part 2
,,Outer escutcheon plates installed,,Outer escutcheon plates installed,Fit Off - Part 2
,,No gaps between outer escutcheon plate/ceiling,,Check there is no gaps between the outer escutcheon plate and the finished ceiling,Fit Off - Part 2
,,Sprinklers installed as per AS2118,,Sprinklers installed as per AS2118 with no obstructions?,Fit Off - Part 2
