"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbb47acb-ae89-41db-925a-340bfb2a535a","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades"
"49ad1a19-958f-40d7-ad0d-2fbcfef0c168","","folder-normal","not-started","","step","FALSE","FALSE","Bathroom Upgrades","Level 1"
"12a8ef20-bec0-4e44-b00e-51f3999ffac8","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 1","First Fix"
"447c7f10-c5f8-45dd-af8e-008f0dfb130c","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 1","Mains"
"463bbcdd-1fe6-402c-9e37-61c53c6780c9","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 1","Second Fix"
"4876c456-1748-41ed-ac6e-07782ba9b566","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 1","Sanitary Drainage"
"cee4f6bb-4fb7-4695-b611-e8465f466945","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 1","Pump Commissioning"
"a2b99032-43e8-4b16-8fcf-a0dae83a5510","","folder-normal","not-started","","step","FALSE","FALSE","Bathroom Upgrades","Level 2"
"185ad4b8-5b42-4c9d-bb33-a321ac6829d8","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 2","First Fix"
"aeaa2524-f7e7-49c3-b60a-b205b9add9b9","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 2","Mains"
"68a33e9b-3b6e-4816-9dfb-dd7e4248984f","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 2","Second Fix"
"1a23dae9-77fb-40a0-8feb-a17affe678f2","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 2","Sanitary Drainage"
"cf73a740-0122-4f99-87bc-604094d7ce96","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 2","Pump Commissioning"
"6d5511bb-3531-4f8e-830a-5d5ac6309335","","folder-normal","not-started","","step","FALSE","FALSE","Bathroom Upgrades","Level 3"
"3fdd77ee-9818-4da6-86b7-bcfb59ba0bf9","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 3","First Fix"
"9ba85a84-3217-4c63-bc2c-88f1bc0c662b","","checklist-flat","not-started","Mains checklist","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 3","Mains"
"8e01177c-a79a-4253-b459-d469caa1ded9","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 3","Second Fix"
"6fa2299c-87e3-4e96-96f2-905b1527c63b","","checklist-flat","not-started","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 3","Sanitary Drainage"
"bfefa9dd-3b4f-450e-b408-00ccf1ef9715","","checklist-flat","not-started","Pump Commissioning","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 3","Pump Commissioning"
"58ec72ed-824b-4078-b053-4eb96385c3d8","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 4"
"c6634d21-ee48-427d-9534-b4dcf265d0ae","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 4","First Fix"
"d76cde04-5cce-4f70-9aa7-96f4f8c90c7b","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 4","Second Fix"
"266c9e0d-81af-4cc7-a4b3-3dbb0816a8f2","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 4","Sanitary Drainage"
"75d49560-7728-4702-9f7d-87d18e1997ae","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 5"
"f14603e2-f20b-4d2b-8ae4-387968238bb5","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 5","First Fix"
"a89a93eb-f3a0-4ded-ada3-737c5df733ee","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 5","Second Fix"
"4660a3a2-da76-4ca3-bd43-c9e8a021bb04","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 5","Sanitary Drainage"
"5c18e72f-3116-4c0a-aaff-705da8fac987","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 6"
"725cd148-093a-402c-bf5b-cbce1ea91233","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 6","First Fix"
"55849e50-dabe-4f9e-a806-e94f8543219c","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 6","Second Fix"
"1853a3f0-4098-402b-bf57-be0f167a623f","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 6","Sanitary Drainage"
"0c898251-795c-4252-865e-d6eb1b09fd0e","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 7"
"01531fef-a7e1-4910-984b-b59ea9956969","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 7","First Fix"
"ac29a231-aa59-4a9a-8f70-836e4f91fb78","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 7","Second Fix"
"62eb99f4-19d5-48a4-98d3-a481e2fbda0e","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 7","Sanitary Drainage"
"81884a0b-be44-4dcc-8edd-9cd0e72f07fc","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 8"
"1b5a0206-0cf6-4e6c-88f0-3777bbdeeaad","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 8","First Fix"
"c57de9fd-cc45-40bd-9f9b-12839938910e","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 8","Second Fix"
"1963f1c4-7c3c-4ae2-812a-93e50e3c99ac","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 8","Sanitary Drainage"
"717a4406-857a-461b-a8d4-252f06e886e5","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 9"
"263f0b1b-8ddd-48b2-8fb3-e5992e92b4ab","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 9","First Fix"
"21fd7559-5dab-41ea-b7af-44821735c8b8","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 9","Second Fix"
"b147676b-51ae-448e-88f2-8b427cf925e2","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 9","Sanitary Drainage"
"5002bf7a-3670-4b90-a5da-6a3f73fd4604","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 10"
"b9b5938b-fe2d-4d11-888f-931b24ae2441","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 10","First Fix"
"a2b24154-3e39-4f6f-a802-36c15abc3fb6","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 10","Second Fix"
"6a381c1e-e55c-48e3-8403-3f347611c19f","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 10","Sanitary Drainage"
"c982c78b-b014-47ef-932e-8470d912020a","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 11"
"98b2ce1e-4f03-41f9-bbe1-94af4e7605cc","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 11","First Fix"
"837bee29-4316-4f81-85cb-a69a24b6ffc2","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 11","Second Fix"
"021b7129-03cb-454d-bff3-d47f7d804550","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 11","Sanitary Drainage"
"17bee36f-ee35-4668-98cd-e47118ec9927","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 12"
"edd487e3-680d-4cb5-9ac0-091f0edc0406","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 12","First Fix"
"45c097ab-170f-41bc-8560-c218f45ed394","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 12","Second Fix"
"380a746b-c49d-486e-81d0-ba0bfcd30297","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 12","Sanitary Drainage"
"4d0effd9-3e27-4a91-b00e-d575fd126484","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 13"
"7995570d-dcaf-4868-a017-69e09e134063","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 13","First Fix"
"81256af2-4147-458a-877b-a7dbc4e95b32","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 13","Second Fix"
"42b2dfc9-4a85-4c56-bc61-2b655cb1c492","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 13","Sanitary Drainage"
"d893c3b4-d9b0-4014-91b1-a2c44ba8f771","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 14"
"9fdb3604-287b-4dcb-a55c-e8b3929a82c4","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 14","First Fix"
"5d7c79b8-d2dc-4145-903c-47d3caf700e8","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 14","Second Fix"
"f9456940-0298-4f1a-8a11-f2b557c5d9c1","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 14","Sanitary Drainage"
"3bb7df8f-d0e5-4094-ab22-7d27888e3de0","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 15"
"1626660c-7a0a-452c-b495-4100d3f52ae5","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 15","First Fix"
"d58dd604-61c5-4efa-88ce-0d7f459bf689","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 15","Second Fix"
"173c02c4-fafc-434d-8c6f-555742918371","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 15","Sanitary Drainage"
"c82b07f4-6de3-401c-b5e4-1ad675ca4b2f","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 16"
"00b03d0b-438d-43ff-a7a7-b613c71e5f39","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 16","First Fix"
"d4f7e790-f74e-40f3-a4d4-b8715082040c","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 16","Second Fix"
"da4981d6-6427-4834-8878-042143ed733b","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 16","Sanitary Drainage"
"c139cb53-2c3d-4f0b-8313-4afcfd36f2b5","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 17"
"691e212c-cec3-452d-a5ce-df19d562186d","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 17","First Fix"
"da1969b2-de2a-4408-bfc6-2991d7d85903","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 17","Second Fix"
"00fcf443-d439-4134-be67-2c925d8e437c","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 17","Sanitary Drainage"
"5ab375f9-ef12-4e51-a983-576083bf318b","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 18"
"da65073a-c103-473b-92df-e2111f172cc5","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 18","First Fix"
"9bcdb851-d5bb-4bf9-9a51-f3a341668e0a","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 18","Second Fix"
"f3217722-08b9-4168-966a-28645dbfcc85","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 18","Sanitary Drainage"
"ef49acc8-16e5-4dc2-ab71-c8710af5d6d3","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 19"
"eef71681-f1d5-45ab-a547-ee06545452d6","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 19","First Fix"
"71a6ce7c-8e4c-479e-982c-5f82ea8b597d","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 19","Second Fix"
"b03f4e8d-a271-40c8-8e3a-c079f3cb5129","","checklist-flat","pass","Sanitary Drainage","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 19","Sanitary Drainage"
"339f1653-7fcc-494e-b2ed-687e63713884","","folder-normal","work-in-progress","","step","FALSE","FALSE","Bathroom Upgrades","Level 20"
"9c71e668-273a-4640-b7f1-064283888f42","","checklist-flat","pass","First Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 20","First Fix"
"e1332cb1-04df-4a4b-bdc1-4ebce54060ba","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Bathroom Upgrades","Level 20","Second Fix"
