Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,,,
ITP-222 Horizontal Cabling,,,,,,,,,,,,,,,,,
,Scope,,,,,,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,,,
,,Multi-Deck Car Park,grouping,Multi-Deck Car Park,,,,,,,,,,,,,
,,Level 1,,Multi-Deck Car Park,Level 1,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 2,,Multi-Deck Car Park,Level 2,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 3,,Multi-Deck Car Park,Level 3,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 4,,Multi-Deck Car Park,Level 4,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 5,,Multi-Deck Car Park,Level 5,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 6,,Multi-Deck Car Park,Level 6,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Level 7,,Multi-Deck Car Park,Level 7,ITP-222 – Horizontal Cabling,,,,,,,,,,,
,,Refurb QA,grouping,Refurb QA,,,,,,,,,,,,,
,,Level 1 - Zone A,,Refurb QA,Level 1,Zone A,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone A1 (Existing Undercroft),,Refurb QA,Level 1,Zone A1 (Existing Undercroft),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone B,,Refurb QA,Level 1,Zone B,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone B (Existing HR Offices),,Refurb QA,Level 1,Zone B (Existing HR Offices),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone C (Existing Procurement),,Refurb QA,Level 1,Zone C (Existing Procurement),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone C (Existing Safer Care),,Refurb QA,Level 1,Zone C (Existing Safer Care),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone D,,Refurb QA,Level 1,Zone D,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone D1,,Refurb QA,Level 1,Zone D1,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone D2,,Refurb QA,Level 1,Zone D2,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone E,,Refurb QA,Level 1,Zone E,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone E (Existing Mortuary),,Refurb QA,Level 1,Zone E (Existing Mortuary),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone F1,,Refurb QA,Level 1,Zone F1,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone F2a,,Refurb QA,Level 1,Zone F2a,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone F2b,,Refurb QA,Level 1,Zone F2b,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone G,,Refurb QA,Level 1,Zone G,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Zone G (Staff Amenities),,Refurb QA,Level 1,Zone G (Staff Amenities),ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Stage 1 Logistics Zone C,,Refurb QA,Level 1,Stage 1 Logistics Zone C,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 1 - Stage 2 Loading Dock Expansion - Zone 1,,Refurb QA,Level 1,Stage 2 Loading Dock Expansion,Zone 1,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 1 - Stage 2 Loading Dock Expansion - Zone 2,,Refurb QA,Level 1,Stage 2 Loading Dock Expansion,Zone 2,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 1 Link Bridge Breakthroughs,,Refurb QA,Level 2,Stage 1 Link Bridge Breakthroughs,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Workspaces Zone A (Existing Theatre),,Refurb QA,Level 2,Stage 2 Refurbishment,Workspaces Zone A (Existing Theatre),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Workspace Zone B (Existing Kitchen),,Refurb QA,Level 2,Stage 2 Refurbishment,Workspace Zone B (Existing Kitchen),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Theatre Support (Existing DOSA),,Refurb QA,Level 2,Stage 2 Refurbishment,Theatre Support (Existing DOSA),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Kitchen (Existing CSSD),,Refurb QA,Level 2,Stage 2 Refurbishment,Kitchen (Existing CSSD),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Cardiology Research Team (Existing PACU),,Refurb QA,Level 2,Stage 2 Refurbishment,Cardiology Research Team (Existing PACU),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Refurbishment - Kitchen Corridor Break-through,,Refurb QA,Level 2,Stage 2 Refurbishment,Kitchen Corridor Break-through,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - Zone A,,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,Zone A,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - Zone B,,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,Zone B,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - Zone C,,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,Zone C,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - Zone D,,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,Zone D,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - Courtyard & IPU Staff Support,,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,Courtyard & IPU Staff Support,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Refurbishment - IPU Team Room (Existing Gastro Dept),,Refurb QA,Level 2,Stage 2 Hospital Street Refurbishment,IPU Team Room (Existing Gastro Dept),ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 2 - Stage 2 Hospital Street Expansion - ITP-222 Horizontal Cabling,,Refurb QA,Level 2,Stage 2 Hospital Street Expansion,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 3 - Stage 1 Link Bridge Breakthroughs - ITP-222 Horizontal Cabling,,Refurb QA,Level 3,Stage 1 Link Bridge Breakthroughs,ITP-222 Horizontal Cabling,,,,,,,,,,
,,Level 3 - Stage 2 Existing Main Entrance Refurbishment - Zone A,,Refurb QA,Level 3,Stage 2 Existing Main Entrance Refurbishment,Zone A,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 3 - Stage 2 Existing Main Entrance Refurbishment - Zone B,,Refurb QA,Level 3,Stage 2 Existing Main Entrance Refurbishment,Zone B,ITP-222 Horizontal Cabling,,,,,,,,,
,,Level 3 - Stage 2 Existing Main Entrance Refurbishment - Zone C,,Refurb QA,Level 3,Stage 2 Existing Main Entrance Refurbishment,Zone C,ITP-222 Horizontal Cabling,,,,,,,,,
