"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9aeeb75e-2990-4433-abb7-04b602991abd","","folder-normal","","","step","TRUE","FALSE","Multi-Deck Car Park"
"ac62c71a-1631-46a1-bcff-3e4936234cdb","","folder-normal","","","step","TRUE","FALSE","Multi-Deck Car Park","Level 1"
"131c15a9-6a27-4bbf-a72a-2c8cf5f13f4f","","checklist-sectioned","","ITP-212 Testing and Commissioning","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning"
"11671c0c-e03f-458f-8426-2929cae60b74","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 – In-Slab Works - Level 1 - Pour 2"
"00b64027-f921-4084-927a-c2f08de384da","","checklist-sectioned","","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 – In-Slab Works Installation - Level 1 - Pour 2"
"5e5a42e5-f796-43a6-8f78-68f3207a7c05","","checklist-sectioned","","ITP-222 Horizontal Cabling","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-222 – Horizontal Cabling"
"c484e7a5-adbb-4a7e-aac9-7f3df878222e","","checklist-sectioned","","ITP-227 Backbone Copper Cabling","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-227 – Backbone Cabling"
"0bae9d0a-9f94-493d-abda-b6505dcbc4b9","","checklist-sectioned","","ITP-226 Fibre Optic Cable","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-226 – Fibre Optic Cabling"
"e27fb2aa-e290-4fa5-80b8-3b4867329d84","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Core 1 - Pour 2"
"4f7a24ae-e551-49e7-ac74-022480deb9f4","","checklist-sectioned","","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Core 1 - Pour 2"
"de133c8a-96b8-4347-b314-502bd2179b7f","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 - Pour 3"
"629695f1-40d3-424d-a225-a537a4841ef1","","checklist-sectioned","","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 3"
"c35e7891-0a30-4729-8d63-a53d23893ed4","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Zone 1. Columns"
"73b29ca2-72a5-449b-8c43-34169778efe3","","checklist-sectioned","","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Zone 1 Columns"
"d339cb88-53ad-4b5e-aac9-ce36f96e0606","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 2 Columns "
"796ed5bd-0825-4bbf-a2ee-a50468c3f005","","checklist-sectioned","","ITP-216 In-Slab Works Installation","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-216 Level 1 Pour 2 Columns "
"08ac079d-bc9a-43d6-9706-82d12c0b1766","","checklist-flat","","ITC-216.1 In-Slab Works","checklist-flat","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITC-216.1 Level 1 Pour 4"
