"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9aeeb75e-2990-4433-abb7-04b602991abd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park"
"ac62c71a-1631-46a1-bcff-3e4936234cdb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Multi-Deck Car Park","Level 1"
"131c15a9-6a27-4bbf-a72a-2c8cf5f13f4f","","checklist-sectioned","not-started","ITP-212 Testing and Commissioning","checklist","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning"
"4b34daeb-291a-5a8a-a866-bf29b0457a8f","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety"
"c3d836b7-7ac1-513f-83f8-4328c771d161","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Project Risk identification and management register."
"d6524a09-7222-5862-bdbf-3506a33cd3eb","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Identify / acknowledge and manage risks involved with this task."
"6ed1199a-e713-5998-8da6-aa914e54e2df","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Ensure that all workers have reviewed appropriate SWMS and have signed onto SWMS"
"5dbceff4-c953-5342-8971-3cf302ff0d39","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Review Project HSEQ management plan - these works must be fully compliant, site specific safety manual and SWMS have been submitted and accepted by the Principal Contractor"
"181f8d6f-1285-58c4-a718-aa6ca51d0ae4","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Review Fredon Procedures"
"9f4a4516-09c7-5fdf-88c1-c8ce15ac0f7b","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","All Fredon Electrical personnel undertaking these works are qualified to carry out these works, and are trained, and competent in the use of all equipment and plant required to carry out these works."
"e9255fb6-c750-50ff-b489-e825587cb279","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Fredon Electrical Testing and Fault Finding Training & VOC in previous 12 months"
"7427cee6-0721-5202-9b0c-c037691eb063","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Safety","Ensure workers whom are performing 'energised' testing hold current CPR and switchboard rescue certificate."
"bb881c71-34f9-5e9d-b39b-85a31000cb7a","","checkpoint-group","not-started","","","FALSE","FALSE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Project Specific Scope Requirements"
"49f42acb-22af-54ef-965d-c9a4e4f3e680","","checkpoint-status","not-started","","","TRUE","TRUE","Multi-Deck Car Park","Level 1","ITP-212 – Testing and Commissioning","Project Specific Scope Requirements","Review project specific documentation to ensure all relevant information is available any additional / supplementary testing requirements must be included within this ITP"
