"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"defca4e3-b157-4318-a93c-5666c56aa46f","","checklist-flat","no-status-started","93bd1be2dc3f7d66098628adff5b0a88d6a562baf6b97b6716aee51438f745bf","checklist-flat","FALSE","FALSE","Job Details"
"d4906510-4a4d-4610-97d5-caf1fd84d43e","","folder-normal","work-in-progress","","step","FALSE","FALSE","Health & Safety"
"af968c36-a2a6-4e57-a420-4d687f2dd8b0","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"304d9673-8d4d-476c-af3c-c83984af6dcd","","folder-normal","work-in-progress","","step","TRUE","TRUE","Health & Safety","Daily/Weekly H&S"
"cd61f8c8-b015-43b5-817f-598f90b44279","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -01-07-20"
"daea3a79-9b61-4a86-8fe5-f28aad0c4f9f","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -14-07-20"
"83cb1d76-4963-4ea5-ae9a-8d96c96fecd3","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -15-07-20"
"34de632a-4918-44f8-b9c8-d756b29ad9c1","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -17-07-20"
"489b4de9-92fc-49d3-83cf-8c38f0ceb0b3","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -20-07-20"
"192bbd83-fcfd-4046-aefc-f2be23364437","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -27-07-20"
"b9403603-0f50-4a73-a841-349024c60daa","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -29-07-20"
"0eea71c9-477c-462d-b5e1-0fa34baa441b","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -05.11.20"
"663a731e-f107-484a-9c8a-25babea10ca3","","checklist-flat","work-in-progress","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk - 06.11.20"
"3f93ae95-eb42-4b4e-888c-d345ea830fb0","","checklist-flat","pass","H&S - Toolbox Talk","checklist-flat","FALSE","FALSE","Health & Safety","Daily/Weekly H&S","Toolbox Talk -12.11.20"
