type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,CHK-011-CIV-Material delivery inspection-Precast Pits and HDPE pipe,itp,,,,,CHK-011-CIV-Material delivery inspection-Precast Pits and HDPE pipe Rev 0,,,,,,,,,,,,
section,Details,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: SBS-Civil-Material delivery inspection-Precast Pits and HDPE pipes,,,,,,,,,,,,,,,,,,
label,ITP Description: Material delivery inspection-Precast Pits and HDPE pipes,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): Civil,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 6/02/2024,,,,,,,,,,,,,,,,,,
label,ITP created by: Hiruni Wickramarathne,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
checkpoint,1. Delivery Details,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,,,,,,,,,,,,,
textbox,Enter: Delivery Docket Number:,,,,,,,,,,,,,,,,,,
textbox,Enter: Delivery Date:,,,,,,,,,,,,,,,,,,
textbox,Enter: Element ID (s):,,,,,,,,,,,,,,,,,,
label,Attach: Delivery Docket and packaging Slip,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,2. Packaging Inspection-Quantity,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Does the number of packages in the delivery match that listed on the freight list/packaging slip?,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,3. Packaging Inspection-Delivery Contents,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Do the contents of the delivery match the freight list/packaging slip?,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery ,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,4. Packaging Inspection-Birth Certificate,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Is the delivery accompanied by Precast items Birth Certificates?,,,,,,,,,,,,,,,,,,
label,○ Precast components are to be marked on the birth certificate.,,,,,,,,,,,,,,,,,,
label,○ Cast date and lot are to be marked on the birth certificate.,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,5. Packaging Inspection-Transport,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Is the condition of packaging acceptable. ,,,,,,,,,,,,,,,,,,
label,○ Precast items are protected from damage during the transport,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,6. Fault IDs:,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: For each precast type delivered, check for the following:",,,,,,,,,,,,,,,,,,
label,1 - Identification markings match the Precast type,,,,,,,,,,,,,,,,,,
label,2 - Precast Pit fabricated as per drawings - inverts size.,,,,,,,,,,,,,,,,,,
label,3 - Precast Pit Fabricated as per drawings - Inverts position (Distance from the bottom and edges).,,,,,,,,,,,,,,,,,,
label,4 - Precast Pit Fabricated as per Drawings - Invers Position - Correct Wall (orientation).,,,,,,,,,,,,,,,,,,
label,5 - Precast Pits- Inverts coliding.,,,,,,,,,,,,,,,,,,
label,6 - Precast Pits a - Inspect for Cracks.,,,,,,,,,,,,,,,,,,
label,7 - Precast Pits - Inspect for Spalling/Damage to concrete surface ,,,,,,,,,,,,,,,,,,
label,8 - Precast Pits  - Inspect for Exposed Reinforcement.,,,,,,,,,,,,,,,,,,
label,9 - Precast Pits - Inspect for correct Lifting mechanism.,,,,,,,,,,,,,,,,,,
label,10 - HDPE pipes-Inspect rubber rings,,,,,,,,,,,,,,,,,,
label,11 - Precast Pits and RCPs - Inspect for other fabrication defects (specify on the following lines),,,,,,,,,,,,,,,,,,
label,12 - HDPE pipes - Inspect for any defaults/deformation in the pipe,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual, Measure",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,7. Check for Faults - 1,,,,,,,,,,,,,,,,,,
label,REFERENCE: Item 6 on this Checklist,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: For Each Precast type delivered:,,,,,,,,,,,,,,,,,,
textbox,Enter: Pit Identification:,,,,,,,,,,,,,,,,,,
textbox,Enter: Quantity:,,,,,,,,,,,,,,,,,,
textbox,Enter: Fault ID if any:,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual, Measure",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each precast type delivered,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,7. Check for Faults - 2,,,,,,,,,,,,,,,,,,
label,REFERENCE: Item 6 on this Checklist,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: For Each Precast type delivered:,,,,,,,,,,,,,,,,,,
textbox,Enter: Pit Identification:,,,,,,,,,,,,,,,,,,
textbox,Enter: Quantity:,,,,,,,,,,,,,,,,,,
textbox,Enter: Fault ID if any:,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual, Measure",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each precast type delivered,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,7. Check for Faults - 3,,,,,,,,,,,,,,,,,,
label,REFERENCE: Item 6 on this Checklist,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: For Each Precast type delivered:,,,,,,,,,,,,,,,,,,
textbox,Enter: Pit Identification:,,,,,,,,,,,,,,,,,,
