"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2793d104-8096-4488-97b7-cfe0d7b439cf","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"7d321522-7a02-5d81-b091-e54c960d4be3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"32477aa7-6521-54cb-a261-5ec481244801","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"2c631555-8751-57b9-9490-7ed5a48ef577","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"68710b7d-7182-5ec6-a417-9c1a38e26746","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"2f0f3d98-ce8d-5a07-86ea-b731b5a0cf46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"0eb7569e-810e-58b9-ad27-068363b1d975","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"4df8bc77-76b6-4b3f-aab0-8d414016ea97","","folder-normal","work-in-progress","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA"
"e5b74782-410e-4552-a5aa-975403a4a4ef","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems"
"623a55be-28c7-4ff8-a837-c9b7bf7d13e9","","folder-normal","pass","","step","TRUE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01"
"ab1184ed-50be-4d9c-98dd-195e95ef4422","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist"
"bf5fb944-0635-521f-b439-c1ede2579e6c","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"e04468e3-48cb-52d8-930b-13dade879aa8","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"96be3caa-c35a-5072-a5c6-c095510e7d83","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"bbc5d21d-5294-51ae-8629-4168b97e25fa","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Pre-Fit Off Checklist","Photos taken"
"16b3a7f6-0375-4cf2-9106-7740659456a9","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01"
"21fea5dc-36ed-59a2-8fcc-9583cdd650c8","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"f7968289-2e65-5676-953f-38ce88631f7d","","holdpoint","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"48553b0b-84bd-5950-b05c-b30885db0c03","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"377f6858-f608-55e7-9139-dc704c529bc6","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"d667f6ed-1796-54f6-8cdd-fa48ef201ff6","","checkpoint-status","pass","","","TRUE","TRUE","DO NOT SEND IN HANDOVER KIT - QA","RoofSafe Cable Systems","1No RoofSafe Cable System @ 124m - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
