"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aedc3686-8bc6-4aa8-a885-f82f6d643319","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"af11d9ce-762a-50b7-844f-5566b82978c1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"bafcc70f-08f3-4d78-8bc4-b55b930ecc7e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"1a39be66-eb87-4e74-a29c-706688e2ee27","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"881fc2f7-4624-56d5-9fe5-7055b7581f7d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"ea7f4ad4-bffd-52af-9c67-f8eeef48f33d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"827675aa-3982-5083-b119-c9b76b38d07f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"93529ee4-6443-5c7e-8fc2-54a1d59d0bc8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"9d8622e4-44ed-41fa-b549-4ebc86b9c5ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 30"
"0880abe4-1680-46d9-8392-b59e4af53caa","","checklist-sectioned","not-started","Add Panel (v2)","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30","Panel -1"
"b34683d2-3c28-576b-8188-83c8add0bd68","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check"
"e7ba97de-99dc-53e1-971a-f3224da97451","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Dimensions"
"421cec5a-5a0f-50f9-afda-ff7469383438","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Clean"
"fb99cf66-9468-5254-8e7c-2c49c5b5dcd6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Oiled"
"e11d89fb-ca46-5100-9505-9dd9b58380c6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould - Workmanship"
"670c0872-663f-5a48-b1c3-11b83d342bdd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Reinforcing"
"d17a21d9-a540-5d8a-80e2-091ec9274b25","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Cast In Items"
"184fcfa0-b74b-599f-8712-59427db12278","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Marker Position and No."
"0abb3b20-a34a-5381-9191-0b1fa1953068","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Make mould to Green Status"
"42849ed4-31ee-5538-ac98-9bf46555a21c","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works"
"0634390b-ea60-5595-9bae-29b83bb1d206","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Concrete Works Details"
