"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"48b2cf9e-2b67-4519-9523-d50f38fedca6","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"61ac5ac0-930c-481c-a981-c71dc2e7d339","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A"
"6a6be177-ebcd-472b-ba68-843b525a0b10","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Lot 01"
"f6f1f4a3-018e-4a8b-af86-af192e958526","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation"
"2d2d188a-3399-4044-b5d1-6068fa40db53","","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation"
"a3ca5ade-3d54-5d02-b80c-3fc1f2a3eecb","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:"
"4267f8d5-3100-536f-8a08-9304ad1027b1","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"38fb089f-0fea-58b3-8746-1a6b8bdc8d02","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Installation photos to be taken only within this Checkpoint)"
"4c5c5dc1-1ad5-507d-94ce-e5a50195d257","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Installation complies with current drawings & specifications"
"65c76b93-7556-5576-9344-bea273c00584","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"6dd4af0c-dcf0-52ec-b968-b8a6a3178dbe","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check for damage & leaks"
"59f7b4ee-e362-5e0f-8abe-8a2776d4b7ab","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check materials & joining methods"
"0b99b623-4741-5ed6-901e-ae3f8bb09fa4","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check alignments & levels"
"b559be58-8187-5a43-b703-ee166198a502","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"7bc6a942-2645-5304-ad26-c276c5961ad2","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check expansion joints and anchor points"
"65d1cb49-93c4-5f33-8c51-4e477248b575","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check in-wall fixture mounting brackets & concealed cisterns (if specified)"
"18335f66-b469-575a-80a2-afce74fc7a77","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check in-wall waste pipes & vents"
"dca22358-a425-512b-991c-a664027e7d6e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check inspection openings"
"1a57c6af-e78e-5be9-8ffe-c102b60df7fd","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check pipework & traps are clear of debris"
"2dd5780e-7311-5885-8215-b926af108f8d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check open ends are sealed"
"a31f95d2-c369-5a63-9e1b-c83459efca04","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check acoustic insulation (if specified)"
"ee389afd-3cec-546c-bb3b-6ad318b92c92","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check pipe labelling"
"61aca11e-08d4-5626-a31f-74c54de4330a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check floor/wall penetration fire proofing"
"c1f93b5e-9bd9-5ba5-b3fd-2f27d534ef23","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation","Details:","Check vents are run to atmosphere and weather proofing is complete"
"9eb7093a-8f61-4fa4-8c8e-4d7353739eb7","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"e6c49e5a-de93-5c4e-bad2-6be4dc55d500","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:"
"9ded0073-cb4a-5b4a-9f29-f2be23fd2ac0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"86f0afd8-460d-5f11-acb4-dd7ce8d289c3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Installation photos to be taken only within this Checkpoint)"
"2e87e0d6-6ea2-5848-aefa-c58aeb563a5a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"dbce27e6-4bc3-5433-b497-81ba175f2b0e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"9b1d82b7-928c-5178-aade-7f4f62e8e3a9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"53c11af1-89d4-5e7b-b8a4-6378a04acebe","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"4ce7cddc-43dd-56b5-b844-1771d1680d34","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check crimp fittings"
"82e19717-3b8f-5e4e-9ea3-5479294609f8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check for cross connections"
"bec973d9-ba60-500b-87b2-9960cfd7c239","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check alignment & levels"
"559dfbb7-99b3-54fe-8bb5-7b5453d9d976","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"287b7944-379f-532f-800b-8f72d64b92b4","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"b36b79f1-2397-53a5-9c7c-99ead7ec951a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check TMV/TV"
"848ac6d7-4ed3-5689-8143-998d641545fe","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check in-wall mixer bodies & lugged elbows"
"d9ecd895-e050-58cf-a929-e0b89e4d507d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check in-wall fixture mounting brackets & concealed cisterns (if specified)"
"b7804290-044a-5e9e-aed8-cc20b6682f08","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check noggins for future fixture"
"f1b430a2-e6cf-5966-96a7-b71f3f469005","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"62ef2260-72b5-552c-8495-ff979b9c02aa","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check heat trace (if specified)"
"da275073-1a96-5721-a4ab-32db91969b23","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check hot water pipe clips & thermal insulation (if specified)"
"f40c6dae-1e7a-56b5-85d9-b1a52568c6f9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"ce191b40-6fbc-5d85-98f8-66f09673fd7c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"d315fc8c-6b83-4898-897a-ccaa5b94a10e","","not-started","aaaccb222565c4ec4e2391f65c7e7ae5a86006de637ff4ac2752bedff5d53228","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"ee7a6b54-38df-57c6-9c83-5ece69b9aa22","","not-started","","section","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:"
"8343e04e-e4ca-5210-a953-8c5d1ba00915","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"4fcfd4fe-fe34-5f33-a4b1-1ff544def1d2","","not-started","","checkpoint","TRUE","TRUE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-5601 (Note: Installation photos to be taken only within this Checkpoint)"
