"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"05b6b7d1-bd37-4557-9677-3c01b3f63e59","","folder-normal","not-started","","step","TRUE","FALSE","Basement"
"3f910a05-31a3-4bee-b656-ef72e84d7de4","","folder-normal","not-started","","step","TRUE","FALSE","Basement","LB1"
"e837b3d9-858c-43d6-9d4b-917846159191","","folder-normal","not-started","","step","TRUE","FALSE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01"
"1e96ab6a-686f-482c-9f42-2574a030fb18","","folder-normal","not-started","","step","TRUE","FALSE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA"
"fdffae52-cfbe-4fbc-8389-390ae54fc6af","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct"
"daa41a1b-b463-5ee2-a1ff-31734d4b9c03","","checkpoint-group","not-started","","","FALSE","FALSE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA"
"77e623ad-9fe0-5861-9f7b-32b7c55fa3a7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Check-off Shop Drawings. Is it all installed correctly: i.e.., each run complete."
"4f697674-9e21-5e40-bdb8-b264746cdc67","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Ducting / equipment connections including flexibles, nuts, bolts and washers correct and tight."
"bfd4f82e-fa9e-5910-83ea-a919f2372a6e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","U/S of duct heights correct as per Workshop Drawings."
"4a61cdb6-2376-5198-ba46-c133b7e8c715","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Ducts to be removed relocated / relocated as per drawings"
"f843364a-575e-51c6-b984-8655b5353ed6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Duct Hangers (is spacing correct, installed level etc)"
"805db1e0-90e8-509f-a1c5-a995c24c655b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Duct jointing (Joints sealed, cleats fitted etc)"
"0bf6cc85-43bb-58ff-b89f-00682e25f528","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Fire Dampers installed in open position c/w access panel."
"3650658e-cb7e-56de-9206-ada30dbf8b33","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Sound attenuators installed"
"cd5982cd-ebb3-5593-8599-3d74b7d496e8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Filter box installed"
"8377bfd5-4b06-5d04-a683-3cca763e3f14","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","First Fix QA","Transfer ducts installed"
"7198ec3d-902b-54c5-b4be-8a4c3fd314a4","","checkpoint-group","not-started","","","FALSE","FALSE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","Second Fix QA"
"7eb5a2ef-3afc-59ac-bc0d-97a4f21f1d9c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","Second Fix QA","Motorized dampers orientation to be installed correct way for sealing purpose"
"36b03c9a-ec3b-579b-91f8-89f02a10032d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","Second Fix QA","Access Panels to be installed as per drawing"
"b775b670-b22f-53d9-b767-bdc3be33a514","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","Second Fix QA","All volume control dampers set fully open."
"6cd0d0b6-1adf-5482-aba5-4bb69e562ce4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","LB1","AES-BLD-BMT-M0101-LB1-01","Mechanical QA","Outside Air Duct","Second Fix QA","Butterfly and outlet dampers installed as per drawing and in open position."
