Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,ITP A1196-5 - Miscellaneous Steel Works,,,,,Yes,ITP A1196-5 - Miscellaneous Steel Works,9c171d1f-c96d-48bc-8596-a902c46cf77c
checkpoint-group,,,section,Sequence of Works,,,,,,,
checkpoint-status,,,checkpoint,Confirm correct quantities/materials delivered to site,,,,,,,
checkpoint-status,,,checkpoint,Install all materials in accordance with shop drawings or approved design engineering,,,,,,,
checkpoint-status,,,checkpoint,All fixings installed as per shop drawings,,,,,,,
label,7b468221-c5a5-57df-b420-27efee171fd9,,note,"Includes screw, nuts, bolts, rivets, washers, fixing anchors, supporting members, hangers, bracings, brackets, straps",,,,,,,
checkpoint-status,,,checkpoint,All metalworks installed flush and level in accordance with specification tolerance,,,,,,,
checkpoint-status,,,checkpoint,All paint or metal finishing in good condition without any damage on the surface,,,,,,,
checkpoint-group,,,section,Final Inspection & Handover,,,,,,,
checkpoint-status,,,checkpoint,Final site walk to confirm satisfactory installed,,,,,,,
checkpoint-status,,,checkpoint,All defects closed out. Required information for warranty & certification has been submitted,,,,,,,
checkpoint-status,,,checkpoint,Attach installer signature,,,,,,,
label,7e1a7460-822e-5160-b9c5-40157862f8c0,,note,I confirm that all necessary inspections have been carried out and can verify that the work has been completed and conforms to the contract specification.,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Balustrade / Steel Structures Installation,,,,,Yes,Balustrade / Steel Structures Installation,6f1e6a89-39ce-4d04-808a-05729f48dd68
checkpoint-group,,,section,Preliminaries,,,,,,,
checkpoint-status,,,checkpoint,Verify applicable shop drawings required for work area.,,,,,,,
checkpoint-status,,,checkpoint,Check incoming materials:,,,,,,,
label,,,note,No handling damages. Complies with applicable shop drawings,,,,,,,
boolean,7e230518-8b10-5667-8743-8f7bf43239c0,,tickbox,Quantity,,,,,,,
boolean,bb93c48b-4c61-5dca-8255-3c289f563d6d,,tickbox,Correct mark no.,,,,,,,
boolean,5790ea0b-00dd-5654-bfe6-26eeac10bde3,,tickbox,No handling damage,,,,,,,
checkpoint-group,,,section,Site Assembly,,,,,,,
checkpoint-status,,,checkpoint,Install the steel members as per the shop drawings.,,,,,,,
checkpoint-status,,,checkpoint,Check erected steelwork:,,,,,,,
label,,,note,"AS4100 - 15.3 Tolerances – Column bases alignment: Position in plan +/-6mm, level +/-10mm.",,,,,,,
label,,,note,Beam is within +/-10 of its correct level at connections to other members.,,,,,,,
boolean,10298058-5ff5-5adf-8266-c92b7e48a3d6,,tickbox,Orientation,,,,,,,
boolean,28815c57-ad3a-5bc1-8693-c89481c825a8,,tickbox,Position,,,,,,,
boolean,5f8cca78-cc22-5623-aca6-1d6d74a00216,,tickbox,Plumbness,,,,,,,
boolean,2f0144a9-6db2-54df-a152-697fa0e2bc90,,tickbox,Squareness,,,,,,,
boolean,2697217e-fb14-5c77-86ce-0f74aa88149d,,tickbox,Level,,,,,,,
checkpoint-status,,,checkpoint,"Ensure correct bolts, nut and washers to design drawings sizes and type.",,,,,,,
checkpoint-status,,,checkpoint,Check tightening of bolts as per specification.,,,,,,,
checkpoint-status,,,checkpoint,Check for the threaded portion of the bolt,,,,,,,
label,,,note,Threaded portion of the bolt projects through the nut for a minimum of two (2) threads and a maximum of 10mm when fully tightened,,,,,,,
checkpoint-status,,,checkpoint,Grouting of base plates,,,,,,,
label,,,note,All grout under base plates shall be Conbextra GP free-flow non- shrink cementitious grout (U.N.O) or equivalent with Minimum compressive strength of 50MPa,,,,,,,
label,,,note,"Three (3) 75 mm test cubes shall be taken from the first batch of material mixed, then three (3) 75 mm cubes for every 100 kg of material used.",,,,,,,
label,,,note,Test cubes shall be made in rigid steel molds,,,,,,,
checkpoint-status,,,checkpoint,Check if coatings damaged during erection.,,,,,,,
