"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b3eacfa-211f-4d04-a2d3-b9ce808b8291","","fail","","folder","TRUE","FALSE","Material Inspection "
"ecdc355d-30fc-423a-ae50-86e3034f057f","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN002 - GM721G Lids (FOR)"
"4e05a60f-114e-4636-a1ce-f8bafd4494fb","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN001 - 100mm SN20 Agi Pipe"
"dc4cf4be-141f-432c-830c-a30cb7ce9fe9","","fail","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN001 - Precast Drainage Structures"
"a5b90824-83d0-452e-bf72-13d5727ee825","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN001 - 525dia RCPs"
"5e2772f3-a3f6-403b-b968-2d1557216a25","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN002 - Precast Drainage Structures"
"fa2c593e-19de-4c0c-8431-7abc7878c389","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN002 - 5.06.24 RCP Delivery"
"ede87a6d-4f9f-4ab9-8707-0b8f591a4b9b","","work-in-progress","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","Hurdles"
"0b3e6291-a475-44f9-8029-2fa4a689a926","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP013 - SL92 Mesh"
"a16070c9-d53d-4376-9664-04e6227f17c2","","not-started","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP013 - Dowel Cradles"
"ea974a37-d88e-431d-be13-9fa8ccb966f6","","fail","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN003 - 13.06 RCP Delivery"
"1cfc3208-859d-4faf-b1d7-7935b25c5431","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN003 - 5.07 Batter Outlets"
"6097ae13-fd13-4e92-83b8-9343c20b3b77","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN003 - Box Culvert Inverts and Lids"
"81f773c1-3038-4b94-853f-f73180061774","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP025 - 100mm Conduit HD Orange"
"78132e21-9196-4da1-a6ee-aa50d3705b17","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN004 - Box Cuvlert Headwalls and Batter Outlets"
"ef638810-ad22-458e-821e-6b4b78b7e77d","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","Hurdles, IWDI Pad footing"
"e5e1456c-e485-43a5-bc40-b75d10d57106","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN005 - Precast Drainage Pits"
"dfd1db97-d02f-430d-bcba-10a828080775","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN006 - Headwalls and Batter Outlets"
"00e27176-d18a-4745-958a-bf2bda9c6583","","work-in-progress","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","Cradles and bar chairs 28/08"
"fcf493fa-1f7a-4af4-8807-231453b420f5","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN007 - Headwall and Batter Outlets"
"90672ec0-172a-4e85-a067-4b6450b60fb9","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","Yellow Bollards Delivery"
"c93e17d9-dd32-496d-973f-e208fce139a0","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","HV Kiosk - SUB 164"
"6ed65231-4cc6-4522-90ba-092752c2dd49","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN003 - 1050 RCP Delivery"
"0d94120e-6c03-41a5-9292-02cb6fda4b48","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure"
