"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"acae8e9e-4bd2-4cb9-92e9-2f5391bdedc6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)"
"c7fb5a79-cb6b-4e9b-9673-1939dde6b86a","","checklist-flat","","Reference Drawing","checklist-flat","FALSE","FALSE","Zone A (Building B)","Reference Drawing"
"d653557b-d41e-445b-9a57-fdb20ca75bb2","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground"
"656c9593-ddac-4b15-95a0-c93db8c3e949","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A"
"5b3deb69-b141-412b-84f9-4568cecfa06d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.140)"
"f53df3ce-443b-47f8-87b3-7e87d6727913","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.140)","Pre Sheet Sign off"
"d7722b3e-e36c-4764-a9c3-ee7a74ec7e91","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.140)","Pre Grid Sign off"
"a3687818-12b1-44dc-9f92-7c0c1385b468","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.140)","Pre Ceiling Sign off"
"8dbfe460-8d31-4cb1-8ac4-740495459609","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","VEND (LG.B.075)"
"eff7da94-5fda-4601-ab71-5b7908b0f957","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","VEND (LG.B.075)","Pre Sheet Sign off"
"a60a8568-344e-4b65-a1ee-579023219f2c","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","VEND (LG.B.075)","Pre Grid Sign off"
"a464ad38-fd10-4c32-93b4-886d2f351210","","checklist-flat","","Pre sheet install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","VEND (LG.B.075)","Pre Ceiling Sign off"
"b4e8efb4-1f3e-4cbe-9515-84473ca8496e","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)"
"7d7c2870-7605-443c-bf56-355ff2cc0845","","checklist-flat","","Pre-Sheet wall Sign-Off","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Sheet Sign off"
"c4284184-bbc0-4da9-b940-fce6b8b576a5","","checklist-flat","","Pre grid install Ceilings","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Grid Sign off"
