Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Block A,dynamic,Block A,
,,Block B,dynamic,Block B,
,Columns,,,,
,,Confirm structure is in accordance to the details provided,,Confirm structure is in accordance to the details provided,
,,Plinths/ bases/post installed in accordance with details provided,,Plinths/ bases/post installed in accordance with details provided,
,,Photos taken,,Photos taken,
,,Confirm the structure is in accordance with the details supplied by PBI,,Confirm the structure is in accordance with the details supplied by PBI,
,,Required number of photo(s) taken of installed anchor(s),,Required number of photo(s) taken of installed anchor(s),
,,Installed as per PBI drawings supplied and manufacturer's requirements,,Installed as per PBI drawings supplied and manufacturer's requirements,
