Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Columns,,,,,,
,Scope,,,Column,,
,Rows,,,,,
,,Column,dynamic,Column,Site QA,
,Columns,,,,,
,,Attach Drawings,,documentation & setout,attach drawings,Column 
,,Survey Set out – Check Position,,documentation & setout,survey set out – check position,Column 
,,Pile Diameter,,foundation pile information,pile diameter,Column 
,,Approval of Socket,,approval of socket,foundation pile information,Column 
,,Pile Details,,foundation pile information,pile details,Column 
,,Check of excessive water in hole,,check of excessive water in hole,foundation pile information,Column 
,,Reinforcement information,,reinforcement information,pile reinforcement & pre pour,Column 
,,Commencement of Pour – Ok to pour,,commencement of pour – ok to pour,pile reinforcement & pre pour,Column 
,,Date of Pour,,date of pour,pile concrete placement,Column 
,,Concrete Delivery Docket,,concrete delivery docket,pile concrete placement,Column 
,,Pile Concrete Details,,pile concrete details,pile concrete placement,Column 
,,Post Pour Signed off,,pile post pour- sign off,post pour signed off,Column 
