"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8599c4b3-c860-4b72-888e-37488d0ab913","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"591fe72c-4725-5800-abe1-7d66cc1f8501","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"9d2d6742-1f40-4aee-b8b7-28a045f59fa2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"91d920b2-45e6-4b6e-aa74-393baf02e3cf","","checklist-sectioned","work-in-progress","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","weld plate details"
"9f4c1c4c-9558-5cfa-9c59-48fe66f34ab8","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details"
"e4dfa416-0fad-5a10-abd4-14c15a247bbd","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Edge Detail"
"66441a8f-5eab-51f4-90fe-b1fe81ad56c9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Bar Projections"
"70851c5c-2104-593f-84f9-97da8a4afd12","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","weld plate details","weld plate details","Cast in items"
"6fecd6c2-cd67-4084-9963-c5db6d0f3255","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 25"
"90c75b9c-8e22-4dd5-bd65-148a5704c77f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -1"
"c6803a99-7956-5c76-9783-7c02a36e7eca","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check"
"b8d1e1ea-bfa0-507a-94f7-e09b7d677919","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Dimensions"
"66443ffc-08db-530e-98ea-aeb092c1f203","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould Clean"
"4e4cea09-e1dd-5fbf-85b8-b47d01e7704f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould Oiled"
"e6ca29c2-5833-557b-a78f-245becf24961","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould - Workmanship"
"610ca697-7a30-5ba5-95c2-c44608ebc3ed","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Reinforcing"
"4584dbf5-5798-5f49-9c52-635b81562315","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Cast In Items"
"aa954153-68c5-585b-ae07-2936db7fa252","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Marker Position and No."
"6b8314e8-8172-50ec-9953-9b96adeb09de","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Make mould to Green Status"
"6338a95a-88d4-59f5-bdf2-398b39b5fee0","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works"
"d1623ef4-0140-571c-a930-66e1eba0037a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Concrete Works Details"
"7f30bfb4-23ec-586d-84f5-464b823a8682","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Wilco Sample Taken"
"27bf6cec-b9f5-590a-8ee8-f08331c8cf04","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Bridgeman Sample Taken"
"d0f3ddd2-fed3-58f1-bcc0-8e9e65892ab7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Supervisor Approval"
"54cfa35d-69cc-5f33-8d3c-8464335eab81","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check"
"8162a4a1-5293-5df3-979a-81549151ea40","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Edge Detail"
"f983fc89-1f72-5d83-bd6d-133987cf2706","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Bar Projections"
"d99df176-caf7-5a85-9ec6-223c2c70603a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Cast in items"
"ec852199-e2d3-5509-93e3-9a6bbc93da9b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Stripping and Stacking"
"9150104c-ff38-557b-9354-9b48d27d196e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Stripping and Stacking","Stripping & Stacking"
