type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,Temps Set Up,,,,,,Amenities - Temps Set Up,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/ Checklist for set up of Temps for site,,,,,,,,
textbox,"Description of work zone/s (eg site sheds, lunch room, jump form)",,,,,,,,
checkpoint,"All poly pipe, temp pex/SharkBite/york flex for damage or leaks",,,,,,,,
checkpoint,Check pipe joints & witness marks are correct,,,,,,,,
checkpoint,PVC pipe for sewer and stormwater has been checked and is free of damage,,,,,,,,
checkpoint,PVC pipe connections are glued and have been water tested,,,,,,,,
checkpoint,All waste or rain water discharges to a live drainage system,,,,,,,,
checkpoint,Poly pipe used has a high pressure rating to suit all purposes across the site,,,,,,,,
checkpoint,Poly pipe mechanical joins have been tested,,,,,,,,
checkpoint,Jump form temp connection has slack for jacking,,,,,,,,
checkpoint,Temp pumps have been tested and are adequate for use throughout construction,,,,,,,,
checkpoint,Boiler and/or chiller unit installed and functioning,,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Drainage,,,,,,Amenities - Ingrounds - Drainage,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - Drainage,,,,,,,,
textbox,Description of work zone (e. location/drawing grid reference),,,,,,,,
checkpoint,"Installation complies with AS/NZS-3500 (2021), current IFC drawings & specifications",,,,,,,,
checkpoint,Inspection openings and/or clean outs have been installed,,,,,,,,
checkpoint,All drains are clear of debris and have been securely capped,,,,,,,,
checkpoint,Invert levels for drains and inspection openings have been checked against current IFC drawings,,,,,,,,
checkpoint,All drains have been tested,,,,,,,,
checkpoint,All drains have been backfilled and compaction completed,,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Pumpwells/Tanks/Pits,,,,,,Amenities - Ingrounds - Pumpwells/Tanks/Pits,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - Installation of pumpwells/tanks/pits,,,,,,,,
textbox,Description of work zone (e. location/drawing grid reference),,,,,,,,
checkpoint,"Installation complies with AS/NZS-3500 (2021), current IFC drawings & specifications",,,,,,,,
checkpoint,Installation methods & materials are in accordance with manufacturer requirements,,,,,,,,
checkpoint,"Invert levels for inlets, outlets and cover levels have been checked against current IFC drawings",,,,,,,,
checkpoint,Connection of drainage to pumpwell/tank/pit has been sealed/caulked/grouted both inside and outside,,,,,,,,
checkpoint,Cast in conduits to pump control panels are correctly sized and in accordance with current IFC drawings,,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Cast in,,,,,,Amenities - Ingrounds - Cast in,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - cast in elements,,,,,,,,
textbox,Description of work zone (e. suction lines within location/drawing grid reference),,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,"Where practical, pipes water tested prior to the pour",,,,,,,,
checkpoint,Pipe grades and size have been checked,,,,,,,,
checkpoint,Invert levels and finished levels have been checked,,,,,,,,
checkpoint,PVC has been lagged (add photos),,,,,,,,
checkpoint,HDPE fusion welds are witness marked,,,,,,,,
checkpoint,"All cast in elements are clear of debris, securely capped & sealed prior to pour",,,,,,,,
checkpoint,Water has been poured into PVC for deep beam/thick slab pour,,,,,,,,
checkpoint,Unfixed pipes are tied to reo (where necessary),,,,,,,,
checkpoint-no-status,Details of cast in element,,,,,,,,
textbox,"Location and description of what has been cast in (eg pumplines, trade waste, greasy waste etc)",,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Sewer BT Authority Connection,,,,,,Amenities - Ingrounds - Sewer BT Authority Connection,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - Sewer BT Authority Connection,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets water authority requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Boundary trap is installed and supported correctly,,,,,,,,
checkpoint,Reflux valve is installed and supported correctly,,,,,,,,
checkpoint,Access riser to surface level is installed,,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Stormwater LPD,,,,,,Amenities - Ingrounds - Stormwater LPD,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - Stormwater LPD,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets Council requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Civil pit/s installed and supported correctly,,,,,,,,
checkpoint,"If applicable, reflux valve is installed and supported correctly",,,,,,,,
checkpoint,Access riser to surface level is installed,,,,,,,,
,,,,,,,,,
checklist,Ingrounds - Authority Connection to Meter Room,,,,,,Amenities - Ingrounds - Authority Connection to Meter Room,,
section,Details,,,,,,,,
checkpoint-no-status,ITP/Checklist for Ingrounds - Authority connection to meter room,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets water authority requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Pipework is connected to water meter assemblies,,,,,,,,
checkpoint,Pipes have been wrapped in plastic (or denso wrap),,,,,,,,
checkpoint,Pipe bedding is correct,,,,,,,,
checkpoint,Pipes are labelled,,,,,,,,
checkpoint,Any open ends have been sealed,,,,,,,,
checkpoint,All mechanical joints are correct and have been checked,,,,,,,,
checkpoint,Access riser from sluice valves to surface level installed,,,,,,,,
,,,,,,,,,
checklist,Peno - Floor,,,,,,Amenities - Peno - Floor,,
section,Details,,,,,,,,
checkpoint,Installation complies with current IFC shop drawing,,,,,,,,
checkpoint,Floor fire collar types & sizes are correct against IFC shop drawing,,,,,,,,
checkpoint,Top and bottom of peno/collar is capped & sealed,,,,,,,,
checkpoint,Collars are firmly secured into formwork,,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
textbox,"Details of pour (date, supervised by RSG, approx time of day etc)",,,,,,,,
,,,,,,,,,
checklist,Peno - Wall,,,,,,Amenities - Peno - Wall,,
section,Details,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
textbox,Document invert level wall peno has been installed at,,,mm,,,,,
checkpoint,Collars and sleeves are capped & sealed,,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
textbox,"Details of pour (date, supervised by RSG, approx time of day etc)",,,,,,,,
,,,,,,,,,
checklist,Peno - Cast In,,,,,,Amenities - Peno - Cast In,,
section,Details,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Collar & pre-fab elements free of damage prior to install,,,,,,,,
checkpoint,"Where practical, pipes water tested prior to the pour",,,,,,,,
checkpoint,Pipe grades and size have been checked,,,,,,,,
checkpoint,Invert levels and finished levels have been checked,,,,,,,,
checkpoint,PVC has been lagged (add photos),,,,,,,,
checkpoint,HDPE fusion welds are witness marked,,,,,,,,
checkpoint,RWO body installed level,,,,,,,,
checkpoint,"Clips, fixings & anchor points are correct and secure",,,,,,,,
checkpoint,"All cast in elements are clear of debris, securely capped & sealed prior to pour",,,,,,,,
checkpoint,Water has been poured into PVC for deep beam/thick slab pour,,,,,,,,
checkpoint,Unfixed pipes are tied to reo (where necessary),,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
textbox,"Details of pour (date, supervised by RSG, approx time of day etc)",,,,,,,,
,,,,,,,,,
checklist,"Drains: Underslung - Sewer, Stormwater & Vent",,,,,,"Amenities - Drains: Underslung - Sewer, Stormwater & Vent",,
section,Details,,,,,,,,
