"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7920ef75-a4c1-4a8c-9157-82f19b1f1f52","","checklist-flat","","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"97a3ae05-9161-4a71-a183-dcf378c7e4b2","","folder-normal","","","step","TRUE","FALSE"," QA"
"b42ad035-2ee4-4c05-9144-0f52f74cb494","","folder-normal","","","step","TRUE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)"
"a800f40a-ddaa-41b4-a419-a0dd8609bcae","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 01"
"58f81a61-4bc6-4911-8b69-324fb970c177","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 02"
"2cf83762-1184-46ab-9644-b63f19b7934a","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 03"
"976b5af0-2dca-45d3-923b-a0ce9cbdf03f","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 04"
"95732637-0197-49ac-9db0-d14928a9163e","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 05"
"c2213000-34f3-4774-9d11-78aa307c290d","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 06"
"08a8f926-ac6f-4d7c-9d6f-f0fff532670b","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 07"
"a47e6efc-bb3a-45a7-bfe0-da31fb9561fb","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 08"
"a6aa94ef-0f63-49e9-ab6a-bc93fde53e0e","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 09"
"6a658cbb-3a64-4650-b152-6ec8aed14984","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 10"
"fcf91d69-de1f-4bee-bb99-3da69eab4d99","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 11"
"b7b72b42-aea2-4889-9db7-d60dae19b304","","checklist-flat","","a2a3758643dc18be28245bcc592c818c20babdaf97685215b06a614c55a4786b","checklist-flat","FALSE","FALSE"," QA","84no AP Type 01 Abseil Anchors (fixed to concrete parapets)","Fit Off Checklist – Anchor 12"
