type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP-015-AX-LOT-XXX - Desc,itp,,,,,"ITP 0015 - Structural Grout (Pedestals, Bearings, Base-plates & Pockets)",,,,,,,,
section,1 - Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,1.1 - Product Selection,,,,,,,,,,,,,,
label,"Frequency: Once, for each product, prior to placement of product",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Product to be selected based on the following criteria:,,,,,,,,,,,,,,
label,"i. either a single component, self consolidating and dual shrinkage compensating cementitious grout OR a single component low shrinkage mortar",,,,,,,,,,,,,,
label,ii. have the required strength at 28 days as noted on the IFC drawings.,,,,,,,,,,,,,,
label,iii. have the characteristics capable of being applied to the minimum and maximum thickness as noted on the IFC drawings.,,,,,,,,,,,,,,
label,Note: Pedestals 200mm or greater shall be constructed from concrete - use the Structural Concrete ITP instead,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Reference Documents: IFC Drawings 610.28, 610.33",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Record of Conformity: This ITP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,AP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
checkpoint,1.2 - Curing Compound,,,,,,,,,,,,,,
label,"Frequency: Once, for each product, prior to placement of product",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Details of curing compound and NATA test certificate stating compliance with AS3799 no more than 3 years from issue, to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,
label,Note: This may be the same product used for the concrete curing,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Reference Documents: 610.23 (d),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Record of Conformity: This ITP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,AP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
section,2 - Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,
checkpoint,"2.1 - Curing Methodology (for Concrete, Grout and Mortar)",,,,,,,,,,,,,,
label,"Frequency: Once, 4 weeks prior to placement of product",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Curing methodology/procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,Note: This may be the same document used for the concrete curing.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Correspondence Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Reference Documents: 610.23 (a),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Record of Conformity: ConQA Hold Point Release,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
