"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9d079946-8ecd-4591-a160-a3e77b3ccd8b","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"4bf0d601-d39e-497f-ac16-50b56036de67","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"5d04fc6c-ba80-48e1-a273-464d12e2e7c4","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - A3.W02 Unit 3 Bedroom (APL Residential TH+)"
"d7cfa285-704f-4fc8-9cf9-75a95576208a","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - A3.W02 Unit 3 Bedroom (APL Residential TH+)","Assembly"
"f4fbd4eb-d590-49a8-a488-3c70962d8c6c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - A3.W02 Unit 3 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"ae9678a1-bcc0-4d36-b88b-7211ecc4c146","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 2 - A4.W02 Unit 4 Bedroom (APL Residential TH+)"
"7c7a7ea6-99ea-49da-879e-e9618295abaf","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - A4.W02 Unit 4 Bedroom (APL Residential TH+)","Assembly"
"d29c636b-4a02-4e64-84e4-5bec7b32b8bc","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - A4.W02 Unit 4 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"b427b806-580d-49c6-a691-d903709027d6","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 3 - A5.W02 Unit 5 Bedroom (APL Residential TH+)"
"0b67bf51-4392-4f43-b181-4012e7770d0f","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - A5.W02 Unit 5 Bedroom (APL Residential TH+)","Assembly"
"732892e8-b812-4b7e-94ab-125ab05bb011","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - A5.W02 Unit 5 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"3b906bc0-599b-410c-9740-475291b9d4ea","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 4 - A6.W02 Unit 6 Bedroom (APL Residential TH+)"
"bb4c7f3e-9faa-4b51-93c7-666569ed5170","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - A6.W02 Unit 6 Bedroom (APL Residential TH+)","Assembly"
"06d72e93-7c87-459a-9fd4-bde6709f7421","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - A6.W02 Unit 6 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"f4c890cd-0eca-49d5-9c38-05b032e513c8","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 5 - A6.W04 Unit 6 Bedroom (APL Residential TH+)"
"c3bc6f96-8f00-4844-8d20-7ba9292facf5","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - A6.W04 Unit 6 Bedroom (APL Residential TH+)","Assembly"
"9d6c28cb-4e6a-4ec7-b20f-79c46042d53d","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - A6.W04 Unit 6 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"82026f9e-f526-4713-ac32-656a92db54da","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - A6.W05 Unit 6 Bathroom (APL Residential TH+)"
"cef45ca7-a053-4f45-bdbf-2d8c5ab52ac8","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - A6.W05 Unit 6 Bathroom (APL Residential TH+)","Assembly"
"c0e0df1a-7d9b-4a87-a389-7a96fa82a6a1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - A6.W05 Unit 6 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"5b804b5d-13f8-43b0-b674-11ac53627470","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 7 - A6.W06 Unit 6 Bedroom (APL Residential TH+)"
"5fd187d0-344e-45b4-b1d8-5697258d6d3a","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - A6.W06 Unit 6 Bedroom (APL Residential TH+)","Assembly"
"cb727a90-37ac-4455-8a0f-3e1e4689882c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - A6.W06 Unit 6 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"f825397c-0cbe-448a-8e54-0e601bd42fff","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 8 - A6.W09 Unit 6 Bedroom (APL Residential TH+)"
"9570a302-f43c-4571-ac5b-9981e229975a","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - A6.W09 Unit 6 Bedroom (APL Residential TH+)","Assembly"
"72ac58d3-f771-4df8-8fe9-7cbb818d585e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - A6.W09 Unit 6 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"fd83349c-404a-4c7f-b5d4-0baa312c6a66","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 9 - A5.W05 Unit 5 Bedroom (APL Residential TH+)"
"32a58750-34bc-428c-92b4-5cf355089bdc","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - A5.W05 Unit 5 Bedroom (APL Residential TH+)","Assembly"
"4d77f996-5e39-4df6-9173-dadc127e476c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - A5.W05 Unit 5 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"0a72f225-14c6-4530-90d7-a6096d455525","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 10 - A4.W05 Unit 4 Bedroom (APL Residential TH+)"
"42365601-b903-4d3e-95db-2cdc2c5acd36","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - A4.W05 Unit 4 Bedroom (APL Residential TH+)","Assembly"
"edadc8a3-5cd5-4185-9f54-4843e0e89317","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - A4.W05 Unit 4 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"83c1e1f7-1781-412a-bca0-881e07ea73c4","","not-started","","folder","TRUE","FALSE","Project QA","Item 11 - A3.W05 Unit 3 Bedroom (APL Residential TH+)"
"a6288130-610b-4330-a183-5eba15d074f1","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - A3.W05 Unit 3 Bedroom (APL Residential TH+)","Assembly"
"baa850bb-0a7a-454b-91fe-e689d87fe0b7","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - A3.W05 Unit 3 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"50100ca3-5de4-40b5-9796-51a9e126434c","","not-started","","folder","TRUE","FALSE","Project QA","Item 12 - C7.W01 Unit 7 Bedroom (APL Residential TH+)"
"6ea5669d-b676-44c2-88a1-1ecb7d3b477e","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - C7.W01 Unit 7 Bedroom (APL Residential TH+)","Assembly"
"5adfc2f0-057c-4ce5-bbe3-d9d1f7401226","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - C7.W01 Unit 7 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"b5f03bf0-fa01-4e9d-9115-9cd6386a3f1a","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - C7.W02 Unit 7 Bathroom (APL Residential TH+)"
"db22ac8f-026c-4878-9176-a25f1565f3c3","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - C7.W02 Unit 7 Bathroom (APL Residential TH+)","Assembly"
"6038e70d-43f4-4c0c-bf69-1a864fc6eef7","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - C7.W02 Unit 7 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"6fec42f8-710c-47a9-a47d-d7297fbd4840","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - C7.W03 Unit 7 Bedroom (APL Residential TH+)"
"9f2a7f64-ec6c-46ca-87b2-73f6ac4171d1","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - C7.W03 Unit 7 Bedroom (APL Residential TH+)","Assembly"
"7eab9436-cf6b-42b3-bb5b-5239148fbb2d","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - C7.W03 Unit 7 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"4a768d8e-a3e9-4a8c-bf3f-268f708c5cc6","","not-started","","folder","TRUE","FALSE","Project QA","Item 15 - C7.W09 Unit 7 Bedroom (APL Residential TH+)"
"fa77825a-a8cf-44e4-a88d-4d5d05be13e2","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - C7.W09 Unit 7 Bedroom (APL Residential TH+)","Assembly"
"a6214788-52ac-47c7-a5f3-e1709f663212","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - C7.W09 Unit 7 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"5f2487d1-8415-41e3-afad-308e3298bea4","","not-started","","folder","TRUE","FALSE","Project QA","Item 16 - C8.W09 Unit 8 Bedroom (APL Residential TH+)"
"8205d8e1-51a7-40e1-ae50-8657381450f3","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - C8.W09 Unit 8 Bedroom (APL Residential TH+)","Assembly"
"da9c13e3-c1c1-4dfa-889c-a8667588cd73","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - C8.W09 Unit 8 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"322dde34-d1b3-4fc6-9f7b-0363a93f8d89","","not-started","","folder","TRUE","FALSE","Project QA","Item 17 - C8.W03 Unit 8 Bedroom (APL Residential TH+)"
"dcd7c964-c29b-4a75-bd7e-6f926481ef67","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - C8.W03 Unit 8 Bedroom (APL Residential TH+)","Assembly"
"2269954e-4575-4d4c-93e9-454a8b2153e8","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - C8.W03 Unit 8 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"690b216f-9eff-4d83-8263-5546607c49cd","","not-started","","folder","TRUE","FALSE","Project QA","Item 18 - C8.W02 Unit 8 Bathroom (APL Residential TH+)"
"8a16d46b-3253-4b71-95f5-7c90c40415a7","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - C8.W02 Unit 8 Bathroom (APL Residential TH+)","Assembly"
"2009e031-23d9-48a7-b889-4fb5133ba9e4","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - C8.W02 Unit 8 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"02101d2b-29ab-4d5c-83cb-7f85765dbd56","","not-started","","folder","TRUE","FALSE","Project QA","Item 19 - C8.W01 Unit 8 Bedroom (APL Residential TH+)"
"b53d6e43-8289-4fd1-9c35-7574af12ec2b","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - C8.W01 Unit 8 Bedroom (APL Residential TH+)","Assembly"
"58eb5466-2bfe-414f-b7a2-d1cf2a2bf0f1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - C8.W01 Unit 8 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"2171be79-02e6-4402-aa11-ab8f4f189847","","not-started","","folder","TRUE","FALSE","Project QA","Item 20 - C8.W06.Unit 8 Bedroom (APL Residential TH+)"
"599e74ac-80f1-4a7a-b4a2-15e7dbb2ef47","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - C8.W06.Unit 8 Bedroom (APL Residential TH+)","Assembly"
"6747df1f-88f0-4f4c-9dad-1911d9c8f991","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - C8.W06.Unit 8 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"aec3ff30-ffd5-4c7f-903d-065febd65b55","","not-started","","folder","TRUE","FALSE","Project QA","Item 21 - C7.W06 Unit 7 Bedroom (APL Residential TH+)"
"d8f8d4e8-ebb9-4106-af0b-ac2fefcdf261","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 21 - C7.W06 Unit 7 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery Checklist"
