"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d827efa8-8fc5-4bdb-b43d-e45ef11c23df","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"1cace3a1-646f-4c8e-93b0-6f25dba2f4a0","","not-started","","folder","TRUE","FALSE","Project QA"
"933e9c71-f3e1-4eee-9d90-e1a2790d8faa","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - W1 Office (APL Residential Series)"
"a2c1fd53-a76b-4dd0-91e0-e2e3aecc3998","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - W1 Office (APL Residential Series)","Assembly"
"0f27fdbb-46de-4d37-94b8-a9e5e6e4358e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W1 Office (APL Residential Series)","Glazing & Pre-Delivery"
"51558490-6d06-451f-ac26-663f106b506a","","not-started","","folder","TRUE","FALSE","Project QA","Iem 2 - W2 Lounge (APL Residential Series)"
"23038af4-cf48-4ef2-ba29-bbe021597102","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Iem 2 - W2 Lounge (APL Residential Series)","Assembly"
"36175270-9cf8-44a3-946e-55dc5d0261da","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Iem 2 - W2 Lounge (APL Residential Series)","Glazing & Pre-Delivery"
"cb318d46-d9a5-4e55-ac77-575553ad5227","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - W3 Dining (APL Residential Series)"
"cd646c64-e938-414e-a7c9-221ee134bed4","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - W3 Dining (APL Residential Series)","Assembly"
"6b105288-15ce-4426-ad33-696fec51be99","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W3 Dining (APL Residential Series)","Glazing & Pre-Delivery"
"1ac614bf-788f-4258-8c50-693cdad42019","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - W4 Dining (APL Residential Series)"
"fb556eb1-182b-461b-92dd-6fbb70325620","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - W4 Dining (APL Residential Series)","Assembly"
"1307d877-2e07-45de-95df-9da0e323de1e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W4 Dining (APL Residential Series)","Glazing & Pre-Delivery"
