"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"47cc57db-ce0b-4b2d-bc0f-df3ed9d92105","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"d2bc6f9a-3659-4254-bbc9-8156bc12a474","","not-started","","folder","TRUE","FALSE","Project QA"
"30d486c4-bcf4-4def-86c5-c83eff48bd03","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Master bed ( APL Residential Series )"
"5309b6ad-7e98-415e-b6b0-9f9ed013994e","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - Master bed ( APL Residential Series )","Assembly"
"821a162f-4582-4086-b032-1463c27f4696","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Master bed ( APL Residential Series )","Glazing & Pre-Delivery"
"7961a022-9675-4fc4-8a3d-748f3ab1c4d1","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - Master bed ( APL Residential Series )"
"779c81bd-354f-4f9c-b62f-381761726b10","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - Master bed ( APL Residential Series )","Assembly"
"e9660d26-4547-4b50-9c1b-bc652fbccea7","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - Master bed ( APL Residential Series )","Glazing & Pre-Delivery"
"d9dc8b5b-6176-4087-9f64-db965afa6d66","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - Master bed ( APL Residential Series )"
"1f5febee-3c27-4e11-8eba-740c7c23423d","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - Master bed ( APL Residential Series )","Assembly"
"f40a47b4-e1d9-499a-b81b-ce34ad274759","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - Master bed ( APL Residential Series )","Glazing & Pre-Delivery"
"979a5508-68a5-431f-b8b0-056c6e77e22e","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - Master bed ( APL Residential Series )"
"dd24f0d7-8dd4-4c1a-8741-4bc1f12a71fd","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - Master bed ( APL Residential Series )","Assembly"
"4c490053-17aa-4348-b91e-9845a662c359","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - Master bed ( APL Residential Series )","Glazing & Pre-Delivery"
"091e8aec-0b8d-454e-b966-1338bbad2ab4","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - Bed 1 ( APL Residential Series )"
"3c60bec4-33d7-4f01-b955-d5b285ce929c","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - Bed 1 ( APL Residential Series )","Assembly"
"219f05f0-1548-4dc1-9e4c-75fad768c47c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - Bed 1 ( APL Residential Series )","Glazing & Pre-Delivery"
"92b8ac88-7a7c-4755-840a-34140b2e72aa","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - Ensuite ( APL Residential Series )"
"98a93a53-b298-40c5-b2a1-f20cd2291e63","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - Ensuite ( APL Residential Series )","Assembly"
"1ef7dc46-0d73-4fd4-804e-fd3dc935beef","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - Ensuite ( APL Residential Series )","Glazing & Pre-Delivery"
