"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3499efc5-26c6-463e-8f68-2da117b4c16b","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"ccae9bce-c7f1-4e30-9b21-df21740ccb24","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"3af3917f-2f89-462d-af14-147b47b1ec8e","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - Downstairs Bath ( APL Residential Series )"
"c4e7a60f-9338-4299-a25a-c6e5c1044530","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - Downstairs Bath ( APL Residential Series )","Assembly"
"e8090c80-e0e4-4ff6-bca6-be783625b8d7","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Downstairs Bath ( APL Residential Series )","Glazing & Pre-Delivery"
"51ec62f0-5586-46bc-85ab-365489b414aa","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 2 - 12 x 12 x 1.6 Angle in Black for Bathroom"
"dcc475e8-b9ab-4c49-b930-98bd47b755c6","","not-applicable","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - 12 x 12 x 1.6 Angle in Black for Bathroom","Assembly"
"95ea3711-ecf2-40a9-91b0-25792c66c950","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - 12 x 12 x 1.6 Angle in Black for Bathroom","Glazing & Pre-Delivery"
"6800130b-a85e-46e7-ab4c-77c035640a8e","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - Master Bed ( APL Residential Series )"
"bfac8149-614a-4816-8b23-6381723b7448","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - Master Bed ( APL Residential Series )","Assembly"
"f45427f0-9484-43c0-863e-5fe7b50797e1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - Master Bed ( APL Residential Series )","Glazing & Pre-Delivery"
"0416f4bd-13e0-484f-8818-ed9b5de67ff1","","pass","","folder","TRUE","FALSE","Project QA","Item 4 - Entry ( APL Residential Series )"
"17656acc-a3e6-4716-aa90-1464dd531cd2","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - Entry ( APL Residential Series )","Assembly"
"8533c93b-6ae7-46f9-a611-4711e353990d","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - Entry ( APL Residential Series )","Glazing & Pre-Delivery"
