"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"846f4537-281d-4391-b461-8bd55d4ef6a4","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"e7c6bf99-a4ed-44bb-b800-c600cb158ce1","","not-started","","folder","TRUE","FALSE","Project QA"
"480b410a-22bf-4373-a157-701ce12be997","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - B1.W05 Unit 1 Bedroom (APL Residential TH+)"
"ab1604be-6137-488f-9371-1f336ece48dd","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - B1.W05 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"079aae66-7aa3-47dc-8fa0-7956312d43ec","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - B1.W05 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"76494702-887f-4c29-bda1-66f6423bbbeb","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - B1.W01 Unit 1 Bedroom (APL Residential TH+)"
"473793eb-9b7e-4ea6-849e-07fc9a67eeaa","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - B1.W01 Unit 1 Bedroom (APL Residential TH+)","Assembly"
"50f7615f-c659-4c4b-bb5f-32669f34b8c9","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - B1.W01 Unit 1 Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"a47968a4-7fc6-4bd1-aa92-ff607fef6ff6","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - B1.D05 Unit 1 Entry (APL Residential TH+)"
"f9a0f16d-9e05-4a25-9875-9b58a2969aca","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - B1.D05 Unit 1 Entry (APL Residential TH+)","Assembly"
"d6abd176-7db8-40d5-be6c-238e8de50f08","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - B1.D05 Unit 1 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"1fb94b98-13c9-4f57-8faa-b7c30887b820","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - B2.D05 Unit 2 Entry (APL Residential TH+)"
"45dfb488-9a08-4ac6-bffa-5eaabf8f1ce7","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - B2.D05 Unit 2 Entry (APL Residential TH+)","Assembly"
