"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4fa44669-0444-4d09-8eca-c8f7d60c5001","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"2405d714-1336-4e22-9cba-c57ebd8387a5","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"25db3bfb-9d1f-451d-8f3b-ac0c246699d7","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"f3c91a14-6e5e-4e76-a1ae-c638ba52b204","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Assembly"
"8b99d913-15d0-497d-982f-2af50b685e32","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"aad2cf23-fc62-40bb-87d3-a4ab0519e1b2","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - W1 Lounge (APL Residential TH+)"
"78fc791f-8d19-41e5-b2ce-842a93a75fd6","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Lounge (APL Residential TH+)","Assembly"
"61b4b2a2-b805-4e35-9785-e74a4a94b068","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"aa5434ea-3bc7-40ed-81b9-0a1fd65f346b","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - W2 Master Bed (APL Residential TH+)"
"fa1934b4-f822-4a06-b0f3-e8dd5842addc","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Master Bed (APL Residential TH+)","Assembly"
"4e087608-a96a-4bca-9d35-69523bfaa970","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Master Bed (APL Residential TH+)","Glazing & Pre-Delivery"
"081f8ba4-31df-4ad4-bb0b-8408d32c3844","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 4 - W3 Master Bed (APL Residential TH+)"
"0aeeed95-4de9-482a-982c-1a3c9241ab9d","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - W3 Master Bed (APL Residential TH+)","Assembly"
"b7b29ddf-74ee-44c4-aa77-e084661f1318","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W3 Master Bed (APL Residential TH+)","Glazing & Pre-Delivery"
