"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"677cca45-3683-4e6c-9d4a-048a4fc7b9dc","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"4e4d85bf-bf9f-4e89-924c-e9e35270d036","","fail","","folder","TRUE","FALSE","Project QA"
"4fdf37d6-5eb5-4b8f-be6f-fb726d25a3d2","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - Entry ( APL Residential Series )"
"67df8ffd-ed0e-4044-ac08-20dbfee7ccf3","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - Entry ( APL Residential Series )","Assembly"
"22a42323-ea64-4ae7-b476-976ac64b4843","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Entry ( APL Residential Series )","Glazing & Pre-Delivery"
"d90fe245-35f9-4acf-bf95-077bbda47459","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - Stairs ( APL Residential Series )"
"4e68813d-c2a8-4c01-b1a3-e291913d6c32","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - Stairs ( APL Residential Series )","Assembly"
"06403c67-8378-4d69-8262-ee15d118d0a7","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - Stairs ( APL Residential Series )","Glazing & Pre-Delivery"
"059f555b-f431-4aec-95ab-54023725d32f","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - Living ( APL Residential Series )"
"3002a12d-08ca-42c9-bf5f-a792233c40ce","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - Living ( APL Residential Series )","Assembly"
"ce900a12-1469-455a-b519-352da54d0345","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - Living ( APL Residential Series )","Glazing & Pre-Delivery"
"e65bba44-836d-483d-a126-e4f8c6e35780","","pass","","folder","TRUE","FALSE","Project QA","Item 4 - Living ( APL Residential Series )"
"e06c5e75-3700-42d5-87a7-61769723a9a5","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - Living ( APL Residential Series )","Assembly"
"ffdf4442-3f3d-496c-a2d0-86c5efd78dd8","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - Living ( APL Residential Series )","Glazing & Pre-Delivery"
"93a69380-6cac-467c-aba0-1d2da0c9bc86","","pass","","folder","TRUE","FALSE","Project QA","Item 5 - Kitchen ( APL Residential Series )"
"68fd0c30-67c6-4f2a-99bc-f6f912aa8387","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - Kitchen ( APL Residential Series )","Assembly"
"091e1bf4-cea1-40b0-a234-8c36ee858d96","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - Kitchen ( APL Residential Series )","Glazing & Pre-Delivery"
"80e5054b-0e59-42ed-b724-24aa3e525965","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - Kitchen ( APL Residential Series )"
"75dea3de-943a-4adc-ad45-ad91512dc6bc","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - Kitchen ( APL Residential Series )","Assembly"
"811528d8-3497-4c2c-aa37-e7058cb343b1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - Kitchen ( APL Residential Series )","Glazing & Pre-Delivery"
"1e2e5cb1-6ea0-4301-9793-f3b3384a4ae8","","pass","","folder","TRUE","FALSE","Project QA","Item 7 - Ldry ( APL Residential Series )"
"63171ad6-b090-4b16-aa51-ee8baf79a3e1","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - Ldry ( APL Residential Series )","Assembly"
"f0cafc92-66b1-47de-858c-89a98a6f2a8e","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - Ldry ( APL Residential Series )","Glazing & Pre-Delivery"
"5532c7bd-8b49-4a05-a1d2-8154d08d48d8","","pass","","folder","TRUE","FALSE","Project QA","Item 8 - WC ( APL Residential Series )"
"9440928d-508c-4099-a1d7-84c88d6b1ad9","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - WC ( APL Residential Series )","Assembly"
"59089e71-d3cd-4f5c-9f2d-13076b488c5d","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - WC ( APL Residential Series )","Glazing & Pre-Delivery"
"38f99799-1040-4070-9797-d234f97bc50d","","pass","","folder","TRUE","FALSE","Project QA","Item 9 - Bath ( APL Residential Series )"
"bed9efd0-1494-4345-aec2-40552b58d3e3","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - Bath ( APL Residential Series )","Assembly"
"96c23bc3-a4a0-44ae-bf8e-70b4aa4d290e","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - Bath ( APL Residential Series )","Glazing & Pre-Delivery"
"8f4f0556-1d28-445a-9e84-2429d2371a72","","pass","","folder","TRUE","FALSE","Project QA","Item 10 - Master Bed ( APL Residential Series )"
"eb535903-165e-4996-b274-978d5b94c0c0","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 10 - Master Bed ( APL Residential Series )","Assembly"
"ac4c75dc-2a64-44a5-b7f4-61272f7cf9ce","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - Master Bed ( APL Residential Series )","Glazing & Pre-Delivery"
"db4a332d-8a31-4ce1-a44c-fdcf6122d03d","","pass","","folder","TRUE","FALSE","Project QA","Item 11 - Master Bed ( APL Residential Series )"
"c8b9a335-e925-425a-a6c1-73a447c09d80","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 11 - Master Bed ( APL Residential Series )","Assembly"
"429322f0-f076-461c-9ff1-3c3248a620e1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - Master Bed ( APL Residential Series )","Glazing & Pre-Delivery"
"dceb78b4-6bef-41da-af35-5294b34ac191","","fail","","folder","TRUE","FALSE","Project QA","Item 12 - Office ( APL Residential Series )"
"8a33dd87-32d1-4311-9fe2-e50c20dd5133","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 12 - Office ( APL Residential Series )","Assembly"
"adc8881d-345b-49f3-9044-e15f954c6fa0","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - Office ( APL Residential Series )","Glazing & Pre-Delivery"
"85cc4bcd-fe14-4d70-b111-bbda2321636a","","fail","","folder","TRUE","FALSE","Project QA","Item 13 - Bed 1 ( APL Residential Series )"
"fc7282e5-1227-46a1-b722-f41b678b45aa","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 13 - Bed 1 ( APL Residential Series )","Assembly"
"5f51c41a-db6a-4afa-96a5-5470f308e520","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - Bed 1 ( APL Residential Series )","Glazing & Pre-Delivery"
