Id,Type,Name,Values,Prompting Name
69090348-d81a-4b88-854a-b045fca26cce,checklist,Preventative Maintenance Checklist,,Preventative Maintenance Checklist
6cb1d0ca-81a5-4f04-a939-1ddff0e29530,section,Details,,
a7e4f16d-2fd1-4ccc-8256-bde84c778d50,checkpoint,Visual Inspection of Electrical Installation,,
a67685f9-35e0-492c-bae9-d13e571e5fd5,checkpoint,Exit & Emergency Lighting Testing Carried Out & Logbook Completed,,
25cb63b8-6a0d-4cbe-bf23-5c8ac57ff8e1,checkpoint,Operation of Switchboards Checked,,
6f774fa8-5223-525d-9717-00658e437484,note,Performed at 12 months only unless otherwise advised by Builder,,
527765f8-a304-40fb-9db0-a027f3d7d1aa,checkpoint,Operation of Lighting Control checked,,
23b2d43e-522f-4b26-ad24-61ee12f35fcd,checkpoint,Check and replace fault lamps,,
00e12f1b-bcb7-446b-8ebf-f87395f77c93,checkpoint,Fire Detection System Test carried Out,,
cc4ac5a0-151e-40f9-b894-2e7c1056f4db,checkpoint,Fire Detection System Test Results Issued,,
64abd56d-0682-47d6-b64f-589d83c58d5c,checkpoint,Switchboard Thermal Imaging Test Carried Out & Report Completed,,
9d5067bf-bf8b-51da-8d7b-cd1f439516ec,note,Performed at 12 months,,
