Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,
checklist-sectioned,,,checklist,AE-ITCX-009 - Mains Cabling Reticulation Test Sheet (Rev 1 +Names),,,,,Yes,AE-ITCX-009 - Mains Cabling Reticulation Test Sheet (Rev 1 +Names),fef72688-e49f-475e-aa08-daba6955a5ca,,,
checkpoint-group,,,section,Details,,,,,,,,,,
checkpoint-status,,,checkpoint,Pass Once Clear Readable Photo Has Been Attached,,,,,,,,,,
,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,AE-ITCX-010 - Torque Settings for Bolts,,,,,Yes,AE-ITCX-010 - Torque Settings for Bolts (Rev 1 +Names),2fdc9567-3389-4bbb-8536-2255c95c1760,,,
checkpoint-group,,,section,Reference Tables,,,,,,,,,,
checkpoint-status,,,checkpoint,Torque Setting Tables - Pass once tables are confirmed/read,,,,,,,,,,
label,8a967b22-f2f3-57ad-9657-2bce129ceb8c,,note,.. ..,,,,,,,,,,
label,cc2bed2d-dd78-5b75-b96f-9cfb9a13ff34,,note,Lugged Cables,,,,,,,,,,
label,7fbb377f-5386-54b4-a921-617d49fcb4f5,,note,M6 - Class 8.8 Zinc plated - 9 Newton Meters,,,,,,,,,,
label,8925d1c8-88e8-50c4-a5e7-5f065c171f7b,,note,M8 - Class 8.8 Zinc plated - 22 Newton Meters,,,,,,,,,,
label,a647b0ad-4478-5ccd-b869-635980c894de,,note,M10 - Class 8.8 Zinc plated - 44 Newton Meters,,,,,,,,,,
label,d574bd63-43cf-5c91-95c9-1cbfbf08298c,,note,M12 - Class 8.8 Zinc plated - 77 Newton Meters,,,,,,,,,,
label,6cd67444-e879-55f5-bd9e-7edb051d3bbf,,note,M16 - Class 8.8 Zinc plated - 190 Newton Meters,,,,,,,,,,
label,037ef6e3-1f21-5ea1-aaf2-173b2e54642b,,note,.. ..,,,,,,,,,,
label,9517be9b-e942-54f8-bedf-6ce144357760,,note,Bus Bars,,,,,,,,,,
label,04db24ea-5a7b-500f-9c3c-13d48a3e0630,,note,M8 - Class 8.8 Zinc plated - 35 Newton Meters,,,,,,,,,,
label,b1980a8d-bd18-57cf-95b3-a2f0c037ebe0,,note,M10 - Class 8.8 Zinc plated - 50 Newton Meters,,,,,,,,,,
label,acd12069-0dd2-5913-9c49-8b8138cbf84a,,note,M12 - Class 8.8 Zinc plated - 75 Newton Meters,,,,,,,,,,
label,d757bb09-a2cf-5f01-a812-e5b9453d233d,,note,M16 - Class 8.8 Zinc plated - 190 Newton Meters,,,,,,,,,,
label,0c69cf16-7028-568a-a6b7-9571b0968f3e,,note,.. ..,,,,,,,,,,
label,6826000a-e4ef-54d3-a235-7efdbc71a76c,,note,"ALL BOLTS SUPPLIED BY SWITCH BOARD MANUFACTURES, INCLUDING ALINE, ARE GRADE 8.8 BOLTS AND SHOULD NOT BE SUBSTITUTED",,,,,,,,,,
label,7b0b0286-4e26-53e8-8f8a-f06d00f60950,,note,.. ..,,,,,,,,,,
label,03ebba39-a848-5fa9-b15c-a6b722ccb787,,note,Torque Settings for SAGAME IPCs,,,,,,,,,,
label,95eae9aa-c996-5138-9723-6543847c072a,,note,TTD051XFA - 16 to 95 (Conductor Size MM2) - 1.5-10 (Branch Cable MM2) - 9 Newton Meters,,,,,,,,,,
label,a1359a5b-582e-5565-89ee-7577299aa3fa,,note,TTD101XFA - 6 to 54 (Conductor Size MM2) - 6 to 35 (Branch Cable MM2) - 9 Newton Meters,,,,,,,,,,
label,baa617e4-cbf9-5a2d-9f16-693b1e1e0ac2,,note,TTD151XFA - 25 to 95 (Conductor Size MM2) - 6 to 35 (Branch Cable MM2) - 14 Newton Meters,,,,,,,,,,
label,0dd25464-5e87-5fc2-a7f2-b89c14d1c9cc,,note,TTD201XFA - 35 to 95 (Conductor Size MM2) - 25 to 95 (Branch Cable MM2) - 18 Newton Meters,,,,,,,,,,
label,04e95ec6-7185-53a1-90b6-cf45790b94ef,,note,TTD241XFA - 50 to 150 (Conductor Size MM2) - 6 to 35 (Branch Cable MM2) - 14 Newton Meters,,,,,,,,,,
label,f8291d9f-2f7e-5a89-bec3-8b57ae706b38,,note,TTD251XFA - 50 to 150 (Conductor Size MM2) - 35 to 95 (Branch Cable MM2) - 18 Newton Meters,,,,,,,,,,
label,a3eb43b4-eacf-550f-966c-ff0c67150e97,,note,TTD301XFA - 25 to 95 (Conductor Size MM2) - 25 to 95 (Branch Cable MM2) - 14 Newton Meters,,,,,,,,,,
label,5a310cd8-6ab3-5428-8493-f8dda1462833,,note,TTD341F - 50 to 150 (Conductor Size MM2) - 6 to 35 (Branch Cable MM2) - 14 Newton Meters,,,,,,,,,,
label,1ee666f3-1b9b-5301-9031-11b4dfd5c09f,,note,TTD351XFA - 50 to 150 (Conductor Size MM2) - 35 to 95 (Branch Cable MM2) - 18 Newton Meters,,,,,,,,,,
label,23a8675d-ee89-57c4-ae74-b58587499413,,note,TTD401XFA - 50 to 185 (Conductor Size MM2) - 50 to 150 (Branch Cable MM2) - 18 Newton Meters,,,,,,,,,,
label,80298aef-da63-54ad-8a67-91145e372c0a,,note,TTD431XFA - 70 to 240 (Conductor Size MM2) - 16 to 95 (Branch Cable MM2) - 20 Newton Meters,,,,,,,,,,
label,21ec16ae-69c2-5984-b7c8-69c0aba73d80,,note,TTD451XFA - 95 to 240 (Conductor Size MM2) - 95 to 240 (Branch Cable MM2) - 25 Newton Meters,,,,,,,,,,
label,8a661844-bcf2-56b8-91a3-c967ad991bdd,,note,TTD551FJA - 120 to 380 (Conductor Size MM2) - 95 to 240 (Branch Cable MM2) - 37 Newton Meters,,,,,,,,,,
label,906bf49e-2800-5e3a-a67d-27454b88cc93,,note,INSTALLATION NOTES FOR IPC’S: WHEN USING TWO BOLT CONNECTORS EACH BOLT MUST BE TIGHTENED A1/4 T0 1/2 TURN ALTERNATIVELY UNTIL THE SHEAR HEAD OPERATES,,,,,,,,,,
label,c8f7e5f0-ee83-5459-b08b-d81aed6a1e8b,,note,.. ..,,,,,,,,,,
label,4caebdb7-0148-5fec-b44a-eda1a715e509,,note,MANUFACTURER'S CIRCUIT BREAKERS - All torque settings must follow manufacturer's recommendations,,,,,,,,,,
