"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8bc81eb0-31ac-4810-a97c-b025c096caec","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0e0ea333-76b3-5030-8667-e5581490185f","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"5557a69d-7220-4851-953f-d10c35237d65","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"77af0970-ddfb-4915-9fe2-843eb5506f4d","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"19e38baa-9749-4ea9-9357-817654029a3c","","checklist-sectioned","not-started","Precast Panel QA","checklist","FALSE","FALSE","Panel QA","Panels","P1"
"95250c91-a5db-5452-8ae4-872b711f42ed","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Precast Element Details"
"d093bda0-724e-5751-9748-73e4023519b7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Precast Element Details","Concrete Details Complete"
"96dc232d-d667-57d3-8695-233f1ffff6e7","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Formwork Set Up Checks"
"6c5763c2-b970-563c-9e87-7a2a1dbe3668","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"d1cacf41-ceba-5aa4-a314-2951cd5de99d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","Edge Details & Rebates"
"35e7e3b7-1bd0-5019-beda-73467a791f1e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"398a7c7c-2bec-5010-b2a9-48d126136dd2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","MF roughening's"
"5ee7cf77-d952-52aa-adbc-b09d07b84f5f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"7c5021a0-02a0-571e-b805-83e16f390892","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Formwork Set Up Checks","Mould Face Clean"
"4f4bfb29-49d6-5467-9632-4335aaaf2b5e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P1","Prepour Checks"
"9e30eefc-df48-5067-ac6b-859301b1d1ac","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Mould Cleaned & Oiled"
"0ee49ed8-f1f2-5cc8-9635-f1036a5b2c00","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P1","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
