"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bb3972e5-3a14-40f8-a0c2-dde8a4ac6f9a","","checklist-sectioned","pass","Add Waterproofing Checklist","checklist","FALSE","FALSE","Megapoxy H Waterproofing Checklist"
"e2e20b91-102c-58f9-83d7-ec615d4f49f0","","checkpoint-group","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Preapplication QA"
"f6980253-e2a2-5451-a136-bca5c6014ca9","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Preapplication QA","Work area accessible"
"af52a5ca-ccac-57b9-a34f-7f0f5f492cdf","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Preapplication QA","Substrate as per spec and acceptable"
"f652fa1b-8fe2-5064-862c-43feab44ab7a","","checkpoint-status","not-applicable","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Preapplication QA","Walls not padded and ok to proceed"
"8c6feb2b-74f9-59e2-9b5f-3b67e04dcbcc","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Preapplication QA","Area marked as per spec"
"8bea48d8-9a83-51c5-b626-d165e3d481c6","","checkpoint-group","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Application QA"
"5bbb8af3-281d-5b49-b885-fcd5272198ed","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Application QA","Product used as per spec"
"68014029-cb4f-5217-9fd2-f3634604b621","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Application QA","Product application as per spec"
"1eddc54d-4a67-5a66-bd4d-47ed23afd514","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Application QA","General photos and site observations"
"b2e4ab4d-9b84-5192-980b-3f79e6977806","","checkpoint-group","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Handover"
"2edec57c-afea-5304-be9a-97dc6f038fc3","","checkpoint-status","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Handover","Works completed 100% as per spec and area left tidy"
"9ae7c6e3-7b2d-50fb-ab89-310360a70cc5","","holdpoint","pass","","","FALSE","FALSE","Megapoxy H Waterproofing Checklist","Handover","Main Contractor sign off"
