"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cb8348d-88b4-4a60-bbb7-7b1b47838c5a","","checklist-flat","not-started","Pre-commencement Checklist","checklist-flat","FALSE","FALSE","Pre-Commencement Checks"
"334f52e1-c2ff-4f14-bb96-e4876073a65c","","checkpoint-status","not-started","Pre-commencement Checklist:05e8bc87-74fa-4dfc-9b7d-c9df2ee18ff0","","FALSE","FALSE","Pre-Commencement Checks","Quality Management Plan Completed, Agreed and Attached"
"bbc3c402-be2a-49f6-9f51-6282fa6cbdfb","","checkpoint-status","not-started","Pre-commencement Checklist:63846bd2-69d0-44b2-958d-0fb4f269ef3f","","FALSE","FALSE","Pre-Commencement Checks","Inspection & Test Plan Completed, Agreed & Attached"
"458e0881-6b94-4f16-a021-fec553de4abc","","checkpoint-status","not-started","Pre-commencement Checklist:a9d7356a-66ff-4124-9ec1-15908b033a95","","FALSE","FALSE","Pre-Commencement Checks","Relevant Breakdown & Checklist Setup on Conqa & Reviewed by Main Contractor"
"2628597e-306f-4f5e-ac53-18d347c5834e","","checkpoint-status","not-started","Pre-commencement Checklist:e9b74007-9810-4850-9176-707ce3919fd5","","FALSE","FALSE","Pre-Commencement Checks","Conqa Setup & Project Team Trained & Given Access"
"be7efbc2-8e57-441b-9e36-c79b7c4e410a","","checkpoint-status","not-started","Pre-commencement Checklist:22e00068-f669-4869-929d-5667472ca392","","FALSE","FALSE","Pre-Commencement Checks","Review Access Granted to Main Contractor & Relevant Parties"
"12f15359-df46-4a4a-9bfd-18bd38866fa3","","checkpoint-status","not-started","Pre-commencement Checklist:ee60efdf-eec7-42cb-bae3-0fb162188e9e","","FALSE","FALSE","Pre-Commencement Checks","Matrix/Insight Setup (if required)"
"0d48d478-545e-46ca-be22-a8d4b5134e3e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Building B01"
"99677cbe-9e1a-4c39-af9c-dd9933140435","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout"
"9bfc41ca-bba3-41c2-9967-be608acb5ece","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level"
"2916f4b7-b1a4-49db-9758-2fa97b876d1e","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2"
"d87d4f2d-299c-4432-85c3-e511fee972a8","","folder-normal","pass","","step","TRUE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments"
"2ed8b2b7-f6d6-459f-8ea5-9acf59e1883b","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064"
"1eb1d7c3-edbd-58a4-8369-e73b1fd01761","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064","Wiring on the floor completed correctly"
"5fd86442-9212-5df9-b8ca-9b201f3c0474","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064","Self levelling coverage completed and acceptable"
"45bbef2f-8cf5-55ae-b4ae-0aa2aac3f182","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064","Underfloor heating completed - specified level of finish achieved"
"1fc1bc2b-1494-556a-a513-0dfc225c1881","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064","Inspections completed and issued to Foreman"
"fe7c803c-a2d2-5e3e-8e59-4e6007036df7","","holdpoint","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe:59e87c0f-137e-4e76-8956-b4e7f7ae1968","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G064","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"49d73842-a042-40ba-bd3a-30533a652b86","","checklist-flat","pass","POST - S - Underfloor heating","checklist-flat","FALSE","FALSE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065"
"c658fc38-5742-5a2d-8220-383319040873","","checkpoint-status","pass","POST - S - Underfloor heating:be793abb-fe71-4027-96fb-dd47abc0bc4c","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065","Wiring on the floor completed correctly"
"1cca66ac-65ee-5f58-a449-371fbc1cdc38","","checkpoint-status","pass","POST - S - Underfloor heating:e62f2f43-07ad-4e1e-8dcf-6dae054068b1","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065","Self levelling coverage completed and acceptable"
"8d34f6a0-0fa9-5bbb-9934-105f2787dc6a","","checkpoint-status","pass","POST - S - Underfloor heating:f68e5587-0954-49f4-bf17-a38f5422eb39","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065","Underfloor heating completed - specified level of finish achieved"
"6714a7b8-9b28-5019-8e67-3d893ea620fe","","checkpoint-status","pass","POST - S - Underfloor heating:57061e70-a997-4322-83e7-3791407cd3fe","","TRUE","TRUE","QA - Building B01","Fitout","Ground Level","Area 2","Apartments","G065","Inspections completed and issued to Foreman"
