"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"214d6b83-bdcd-4c13-9d0f-4a7fcc19746f","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B04 Fitout"
"f812e80d-ee4e-4559-ab17-c0b567bc032d","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B04 Fitout","Level 1"
"c92acc2b-5ed1-459c-9ff6-c3557cdb51dd","","checklist-sectioned","pass","Level 1 Residential Areas","checklist","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas"
"70a84a8c-012d-4951-958c-8e94378343f3","","checkpoint-group","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88"
"4f7f177b-e7ce-425c-8a7f-a8b30bc504e2","","checkpoint-status","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911:dbc4a9da-449f-4e97-a17a-8a840d6efb43","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88","Area floor level acceptable"
"c4ed5fda-b840-48da-8d7f-16c564eb417a","","checkpoint-status","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911:f3f2aede-5337-480d-b5db-36327c9d7bdf","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88","Wiring on the floor completed (photos attached)"
"59f89092-c280-4aba-ac43-3aeade35e549","","checkpoint-status","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911:51e93adc-403c-4def-be7f-7f9f9cc20206","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88","Self leveling coverage completed"
"df4e116c-ed65-4c37-ae98-6887b5fe8d84","","holdpoint","pass","Level 1 Residential Areas:3b6f196d-198a-4199-9761-9671e2144911:51e93adc-403c-4def-be7f-7f9f9cc20206:cea529a7-22b1-4462-aa3e-ed174679b69d","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A88","Raise Remedial/ Main Contractor Signoff"
"742f409a-f04e-4d0a-9a43-5e74da24c46f","","checkpoint-group","pass","Level 1 Residential Areas:c024e442-62a9-4fee-8d1e-7241fa61a1ea","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A89"
"377050fd-d185-4ae5-ba9b-f74fc8f290d8","","checkpoint-status","pass","Level 1 Residential Areas:c024e442-62a9-4fee-8d1e-7241fa61a1ea:239e8945-231c-489d-8e72-790eb76d6d07","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A89","Area floor level acceptable"
"101bd772-f0d7-4156-97de-da416a5fb7c2","","checkpoint-status","pass","Level 1 Residential Areas:c024e442-62a9-4fee-8d1e-7241fa61a1ea:18cb12dc-e23d-4171-8d4d-af2eff449b60","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A89","Wiring on the floor completed (photos attached)"
"b155c258-1903-4e24-b075-9963c6cdf809","","checkpoint-status","pass","Level 1 Residential Areas:c024e442-62a9-4fee-8d1e-7241fa61a1ea:998333e7-08e0-43f4-9b54-815dc9857eb3","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A89","Self leveling coverage completed"
"08ee4b13-2b49-421b-93f5-a73ac815b9ad","","holdpoint","pass","Level 1 Residential Areas:c024e442-62a9-4fee-8d1e-7241fa61a1ea:998333e7-08e0-43f4-9b54-815dc9857eb3:e002aa9a-45ad-43d8-8369-a6a4c86d72cd","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A89","Raise Remedial/ Main Contractor Signoff"
"2302e2a7-15eb-4005-ba64-82365c48fd35","","checkpoint-group","pass","Level 1 Residential Areas:7dbcf431-f0c8-4941-94a6-ceeaa7b44bf5","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A90"
"c3dd9666-7c67-440c-bf9e-f5e9b4e400de","","checkpoint-status","pass","Level 1 Residential Areas:7dbcf431-f0c8-4941-94a6-ceeaa7b44bf5:e8a3e64d-115f-440e-860e-4867d81fc598","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A90","Area floor level acceptable"
"ce1dc4bb-6a7e-45a8-897f-3fba072ead97","","checkpoint-status","pass","Level 1 Residential Areas:7dbcf431-f0c8-4941-94a6-ceeaa7b44bf5:4c67d785-30cd-478c-96ff-7c4171bb9ef1","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A90","Wiring on the floor completed (photos attached)"
"cd2d1e2d-d187-4f2e-a01b-7652fbfc1667","","checkpoint-status","pass","Level 1 Residential Areas:7dbcf431-f0c8-4941-94a6-ceeaa7b44bf5:a1f04f84-7e83-4fe9-9a4d-3cba029cee55","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A90","Self leveling coverage completed"
"e343e590-0f8d-40e1-a239-fdaa95c6943d","","holdpoint","pass","Level 1 Residential Areas:7dbcf431-f0c8-4941-94a6-ceeaa7b44bf5:a1f04f84-7e83-4fe9-9a4d-3cba029cee55:b80a6a0b-d900-4225-9e61-a22859810fff","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A90","Raise Remedial/ Main Contractor Signoff"
"0b606b8a-ab8d-40cd-8726-827f4b2dcb16","","checkpoint-group","pass","Level 1 Residential Areas:c35a8b5e-9541-4579-b6b3-0db6563524d6","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A91"
"d9f8ed8c-95df-4eea-8d9f-75799ea11694","","checkpoint-status","pass","Level 1 Residential Areas:c35a8b5e-9541-4579-b6b3-0db6563524d6:72a09b6b-37a9-4b3f-a7f3-3981a8616a13","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A91","Area floor level acceptable"
"70d100a7-f79c-4d2f-a259-31e791d116a3","","checkpoint-status","pass","Level 1 Residential Areas:c35a8b5e-9541-4579-b6b3-0db6563524d6:bb9868db-bb76-464d-999a-0ba61d89c54c","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A91","Wiring on the floor completed (photos attached)"
"df8208fe-c876-40e6-a04d-ebecfbf6dd7c","","checkpoint-status","pass","Level 1 Residential Areas:c35a8b5e-9541-4579-b6b3-0db6563524d6:462ac28b-459b-4a9c-8a30-9f0c2f210583","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A91","Self leveling coverage completed"
"52c2c680-d2a4-402e-bdf2-d9edbba94016","","holdpoint","pass","Level 1 Residential Areas:c35a8b5e-9541-4579-b6b3-0db6563524d6:462ac28b-459b-4a9c-8a30-9f0c2f210583:78d5fbcd-6432-48e8-ba74-ef00ed880460","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A91","Raise Remedial/ Main Contractor Signoff"
"2ddb467a-72be-4059-aba4-264ea5f449dd","","checkpoint-group","pass","Level 1 Residential Areas:adeec252-501a-4d30-9dd4-3e3dd34aea1e","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A92"
"1f1099f8-6092-4a8a-b93f-13d4dce20332","","checkpoint-status","pass","Level 1 Residential Areas:adeec252-501a-4d30-9dd4-3e3dd34aea1e:80aa2505-875b-4330-95b7-0eabaebfc981","","FALSE","FALSE","B04 Fitout","Level 1","Residential Areas","Apartment A92","Area floor level acceptable"
