"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b60c4645-5d93-480c-af02-f8dd14a47037","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"5d2d9831-7207-462c-8886-0bb0cf01be16","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA","B01A"
"d9c50cdc-8595-4c19-abc0-f9efbce9da90","","checklist-sectioned","pass","zSYS - B01A - Level 5","checklist","FALSE","FALSE","QA","B01A","Level 5"
"575f0bbc-7e22-419e-b7c0-7c6bfddd311b","","checkpoint-group","pass","zSYS - B01A - Level 5:b27c844d-748a-4473-8198-d0b952a4a71a","","FALSE","FALSE","QA","B01A","Level 5","ALS 562 - Bathroom"
"128f3c7f-ca07-4486-ab10-22868700a571","","checkpoint-status","pass","zSYS - B01A - Level 5:b27c844d-748a-4473-8198-d0b952a4a71a:3ac5812c-92ca-4249-a30a-88990e86f545","","FALSE","FALSE","QA","B01A","Level 5","ALS 562 - Bathroom","Area floor level acceptable"
"226a5094-b79d-4377-9a12-acef7da7896c","","checkpoint-status","pass","zSYS - B01A - Level 5:b27c844d-748a-4473-8198-d0b952a4a71a:ef24a1ea-4b6b-45b2-bebc-781da0f697df","","FALSE","FALSE","QA","B01A","Level 5","ALS 562 - Bathroom","Wiring on the floor completed (photos attached)"
"0b4a5f5d-1788-46ee-8fbe-c9bf9baaaef0","","checkpoint-status","pass","zSYS - B01A - Level 5:b27c844d-748a-4473-8198-d0b952a4a71a:8945f0b8-2d1b-4f20-bc3d-93969c992694","","FALSE","FALSE","QA","B01A","Level 5","ALS 562 - Bathroom","Self leveling coverage completed"
"5d33a2b2-6b1f-46b2-b6ea-b3c3ef3c9716","","checkpoint-group","pass","zSYS - B01A - Level 5:f53b50a0-9098-4b2a-8cb1-286986294790","","FALSE","FALSE","QA","B01A","Level 5","ALS 563 - Bathroom"
"4450ca2f-6ba9-4c3c-a5b3-627a32640747","","checkpoint-status","pass","zSYS - B01A - Level 5:f53b50a0-9098-4b2a-8cb1-286986294790:bdfeab5a-fc13-4654-bfd9-62a8d232f121","","FALSE","FALSE","QA","B01A","Level 5","ALS 563 - Bathroom","Area floor level acceptable"
"315bd63d-5954-4013-bb23-a63f1dd8b7b9","","checkpoint-status","pass","zSYS - B01A - Level 5:f53b50a0-9098-4b2a-8cb1-286986294790:70058e8f-bc79-4de7-818b-2662048d07ed","","FALSE","FALSE","QA","B01A","Level 5","ALS 563 - Bathroom","Wiring on the floor completed (photos attached)"
"e90e5324-0ff0-4461-ac83-80155c9152f6","","checkpoint-status","pass","zSYS - B01A - Level 5:f53b50a0-9098-4b2a-8cb1-286986294790:6daa7133-4f52-4b88-8cf1-09b3f40ed270","","FALSE","FALSE","QA","B01A","Level 5","ALS 563 - Bathroom","Self leveling coverage completed"
"0a1ee3fb-006b-4367-8c53-10af4410b52b","","checkpoint-group","pass","zSYS - B01A - Level 5:b3d91b43-8341-4a4a-9d95-e7dd102b6c00","","FALSE","FALSE","QA","B01A","Level 5","ALS 564 - Bathroom"
"c061a1c6-4255-40af-8c94-85b4d96147b8","","checkpoint-status","pass","zSYS - B01A - Level 5:b3d91b43-8341-4a4a-9d95-e7dd102b6c00:cc4ada58-67a0-4f86-b4c9-8234c7845287","","FALSE","FALSE","QA","B01A","Level 5","ALS 564 - Bathroom","Area floor level acceptable"
"3aff758a-9779-405c-a353-7ec31923fc94","","checkpoint-status","pass","zSYS - B01A - Level 5:b3d91b43-8341-4a4a-9d95-e7dd102b6c00:47ad039e-1b9d-47b4-9be7-6e0035130529","","FALSE","FALSE","QA","B01A","Level 5","ALS 564 - Bathroom","Wiring on the floor completed (photos attached)"
"df39fc72-5c81-45e0-91d1-76befab2737a","","checkpoint-status","pass","zSYS - B01A - Level 5:b3d91b43-8341-4a4a-9d95-e7dd102b6c00:a1e190e4-4d21-49c3-9837-65dcf24f2aed","","FALSE","FALSE","QA","B01A","Level 5","ALS 564 - Bathroom","Self leveling coverage completed"
"4cebcf4a-5081-4239-92fb-4bd7e4276ce0","","checkpoint-group","pass","zSYS - B01A - Level 5:9ca4033b-2922-48fe-8509-69685b57c1bc","","FALSE","FALSE","QA","B01A","Level 5","ALS 565 - Bathroom"
"04bfd7e1-921d-4cc5-8c2c-43ff62e1088f","","checkpoint-status","pass","zSYS - B01A - Level 5:9ca4033b-2922-48fe-8509-69685b57c1bc:a3f78334-e4d9-4994-969a-eadfac241a1b","","FALSE","FALSE","QA","B01A","Level 5","ALS 565 - Bathroom","Area floor level acceptable"
"7ff57d32-26d9-462f-9499-db23f0066490","","checkpoint-status","pass","zSYS - B01A - Level 5:9ca4033b-2922-48fe-8509-69685b57c1bc:bac31f63-8d2d-4e36-bdb6-5910cda7dd08","","FALSE","FALSE","QA","B01A","Level 5","ALS 565 - Bathroom","Wiring on the floor completed (photos attached)"
"1982331f-3226-43f6-ae9e-e6cd9e1fad9f","","checkpoint-status","pass","zSYS - B01A - Level 5:9ca4033b-2922-48fe-8509-69685b57c1bc:87e536a5-06fc-4c3e-9718-b8e096dc2fb0","","FALSE","FALSE","QA","B01A","Level 5","ALS 565 - Bathroom","Self leveling coverage completed"
"4358ed21-0f03-4ae8-8f8a-df49750a74af","","checkpoint-group","pass","zSYS - B01A - Level 5:a7d32905-b0ef-4b6f-990d-43fd17bca308","","FALSE","FALSE","QA","B01A","Level 5","ALS 566 - Bathroom"
"24ef5577-38b3-4694-a20f-216e55180dfb","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32905-b0ef-4b6f-990d-43fd17bca308:3bc20075-a2eb-4997-b83c-e0ee61dca16a","","FALSE","FALSE","QA","B01A","Level 5","ALS 566 - Bathroom","Area floor level acceptable"
"89a69235-69b6-43e4-a35d-3e7df941997c","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32905-b0ef-4b6f-990d-43fd17bca308:99659d3c-ef54-438d-8993-ded4025b5db4","","FALSE","FALSE","QA","B01A","Level 5","ALS 566 - Bathroom","Wiring on the floor completed (photos attached)"
"c28742bf-6690-459b-a4af-acbf4a1706f2","","checkpoint-status","pass","zSYS - B01A - Level 5:a7d32905-b0ef-4b6f-990d-43fd17bca308:02947985-f58d-4069-9812-d024ee99b196","","FALSE","FALSE","QA","B01A","Level 5","ALS 566 - Bathroom","Self leveling coverage completed"
"d282ce72-4a75-4ad1-b7bd-ca10db26245b","","checkpoint-group","pass","zSYS - B01A - Level 5:b4606ac1-5919-4daa-8151-ca9d5c9dad0e","","FALSE","FALSE","QA","B01A","Level 5","ALS 567 - Bathroom"
"6a503b48-9860-4317-bbe3-53bdf4badbe4","","checkpoint-status","pass","zSYS - B01A - Level 5:b4606ac1-5919-4daa-8151-ca9d5c9dad0e:cc17b5a8-81b3-42e7-a400-4a444bdcc59c","","FALSE","FALSE","QA","B01A","Level 5","ALS 567 - Bathroom","Area floor level acceptable"
"15d9cf13-bb89-4198-8a8c-864cb137b3dd","","checkpoint-status","pass","zSYS - B01A - Level 5:b4606ac1-5919-4daa-8151-ca9d5c9dad0e:90158723-3f40-403d-8d18-228b8d0a3f78","","FALSE","FALSE","QA","B01A","Level 5","ALS 567 - Bathroom","Wiring on the floor completed (photos attached)"
"600ec810-20e4-450c-b063-4ce15cfbed83","","checkpoint-status","pass","zSYS - B01A - Level 5:b4606ac1-5919-4daa-8151-ca9d5c9dad0e:d8d43b0e-99b0-4f27-acc7-4bd875ada6e7","","FALSE","FALSE","QA","B01A","Level 5","ALS 567 - Bathroom","Self leveling coverage completed"
"06c251c4-9cea-4095-926f-262ff4e2f407","","checkpoint-group","pass","zSYS - B01A - Level 5:a7d32328-7385-4a72-a7cd-52efff095a12","","FALSE","FALSE","QA","B01A","Level 5","ALS 568 - Bathroom"
