"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned",,"","checklist","Underfloor Heating","",,,0,"Yes","Underfloor Heating","2d23f5f7-7744-4c3d-b586-9a91f8fef9e8"
"checkpoint-group",,"","section","Subfloor, Heating Elements installed"
"checkpoint-status",,"","checkpoint","Area floor level acceptable + Laying of Heating elements (Photos)"
"checkpoint-status",,"","checkpoint","Screed coverage completed and acceptable (Photos)"
"checkpoint-status",,"","checkpoint","Watchdog installed and tested (Photos )"

"checklist-sectioned",,"","checklist","Install QA","",,,0,"Yes","Install QA","5562c94b-9542-45c9-94a6-bee6572f444d"
"checkpoint-group",,"","section","Prestart"
"checkpoint-status",,"","checkpoint","Area tidy and accessible"
"checkpoint-status",,"","checkpoint","Height of the flange checked (40mm below subfloor + 10mm underneath flange)"
"checkpoint-status",,"","checkpoint","Depth of recess checked (50mm minimum)"
"holdpoint",,"","signoff","Raise Remedial/ Request signoff"
"checkpoint-group",,"","section","Screeding QA"
"checkpoint-status",,"","checkpoint","General observations"
"checkpoint-status",,"","checkpoint","Screeding completed and falls as per spec"
"checkpoint-status",,"","checkpoint","Concrete sitting flush or lower than lining"
"checkpoint-group",,"","section","Underfloor Heating Install"
"checkpoint-status",,"","checkpoint","Chisel out channels for cold tail connections"
"checkpoint-status",,"","checkpoint","Clean and sweep floor"
"checkpoint-status",,"","checkpoint","Correct products used - as per specification"
"checkpoint-status",,"","checkpoint","Element marked out in correct location"
"checkpoint-status",,"","checkpoint","Apply adhesive to floor where element will be looped"
"checkpoint-status",,"","checkpoint","Element is tapped with Warmup fixing tape"
"checkpoint-status",,"","checkpoint","Band tape installed to hold at correct centres"
"checkpoint-status",,"","checkpoint","Fix floor probe"
"checkpoint-status",,"","checkpoint","Ensure element has been tested completed"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Works completed 100% as per spec and area left tidy"
"holdpoint",,"","signoff","Raise Remedial/ Request signoff"

"checklist-sectioned",,"","checklist","Waterproofing","",,,1,"Yes","Add Waterproofing Checklist","5e7e3740-70e0-403e-a789-838512fe6377"
"checkpoint-group",,"","section","Preapplication QA"
"checkpoint-status",,"","checkpoint","Work area accessible"
"checkpoint-status",,"","checkpoint","Substrate as per spec and acceptable"
"checkpoint-status",,"","checkpoint","Walls not padded and ok to proceed"
"checkpoint-status",,"","checkpoint","Area marked as per spec"
"checkpoint-group",,"","section","Application QA"
"checkpoint-status",,"","checkpoint","Product used as per spec"
"checkpoint-status",,"","checkpoint","Product application as per spec"
"checkpoint-status",,"","checkpoint","General photos and site observations"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Works completed 100% as per spec and area left tidy"
"holdpoint",,"","signoff","Main Contractor sign off"

"checklist-sectioned",,"","checklist","Acoustic","",,,0,"Yes","Add Acoustic Checklist","98b7b204-2bc9-4888-848c-c36294874016"
"checkpoint-group",,"","section","Preinstall QA"
"checkpoint-status",,"","checkpoint","Work area accessible"
"checkpoint-status",,"","checkpoint","Substrate as per spec and acceptable"
"checkpoint-group",,"","section","Install QA"
"checkpoint-status",,"","checkpoint","Installation of acoustic underlay on floor finishing at doorway"
"checkpoint-status",,"","checkpoint","Waterproofing applied with PFF rod on all wall bases on flor"
"checkpoint-status",,"","checkpoint","Installation of shower base, hob and aluminium channel for glass"
"checkpoint-status",,"","checkpoint","Undertile heating and thermal screed applied with alarm fitted and tested"
"checkpoint-status",,"","checkpoint","Water Test for shower by Warmup"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Works completed 100% as per spec and area left tidy"
"holdpoint",,"","signoff","Main Contractor sign off"

"checklist-sectioned",,"","checklist","Thermostat","",,,0,"Yes","Add Thermostat Checklist","a1a556cb-b985-4981-891b-980506677e38"
"checkpoint-group",,"","section","New Thermostat controller installed as per specification"
"checkpoint-status",,"","checkpoint","Heating elements megger tested"
"checkpoint-status",,"","checkpoint","Connect new thermostat and install into flush box (Photo)"

"checklist-flat",,"","checklist","Handover checklist","",,,0,"Yes","Handover Checklist","c9a150c4-8ffe-489f-b89f-b7c44f291e4b"
"checkpoint-status",,"","checkpoint","PS3s, warranties, user manuals and any other documents attached"

"checklist-flat",,"","checklist","Residential Works Checklist","",,,0,"Yes","Residential Works Checklist","f55665e4-8ff4-4013-aa74-df72d7f8172f"
"checkpoint-status",,"","checkpoint","Please attach photos"

