Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,CRL-ITR-004 - Fans,,,,,Yes,CRL-ITR-004 - Fans,4d627d76-e704-4600-befb-ee5c18078785
checkpoint-group,,,section,Fans,,,,,,,
checkpoint-status,,,checkpoint,Pre-check equipment for damage prior to installation,,,,,,,
checkpoint-status,,,checkpoint,Correct Equipment / plant installed,,,,,,,
text,b766db8e-1684-5d1c-b2c7-8205f86d4b22,,textbox,Model Number,,,,,,,
text,17d8ba45-8838-5610-9bab-8baae5885d56,,textbox,Serial Number,,,,,,,
checkpoint-status,,,checkpoint,Correct mountings / springs installed and level checked.,,,,,,,
checkpoint-status,,,checkpoint,U/S of Fan heights correct as per Workshop Drawings.,,,,,,,
checkpoint-status,,,checkpoint,Seismic Bracing Installed,,,,,,,
text,ba2f8e90-f8fb-5d3c-9bff-ab67c66158a1,,textbox,Drawing Reference Number,,,,,,,
checkpoint-status,,,checkpoint,Label to be installed,,,,,,,
checkpoint-group,,,section,E4M QA,,,,,,,
checkpoint-status,,,checkpoint,Electrical Isolators installed in correct location,,,,,,,
checkpoint-status,,,checkpoint,Units Terminated,,,,,,,
checkpoint-status,,,checkpoint,Units Tested and Running,,,,,,,
checkpoint-status,,,checkpoint,Location,,,,,,,
text,06429129-fbe3-594c-9d19-daf3691b677e,,textbox,Add details,,,,,,,
checkpoint-status,,,checkpoint,Level,,,,,,,
text,2a4e03b6-269e-5449-8875-834b5f1aa3fb,,textbox,Add details,,,,,,,
checkpoint-status,,,checkpoint,Room Number,,,,,,,
text,6a1df7b4-a40e-5a57-91ce-ebcd7c77e9a8,,textbox,Add details,,,,,,,
checkpoint-status,,,checkpoint,BIM Tag ID #,,,,,,,
text,f48f15c5-28a0-5fdf-aeac-700c5ced3652,,textbox,Add details,,,,,,,
checkpoint-status,,,checkpoint,Asset #,,,,,,,
text,d988cd2d-9278-507a-8539-51f6c231bab6,,textbox,Add details,,,,,,,
checkpoint-status,,,checkpoint,Serial #,,,,,,,
text,6c793c82-5305-54de-9516-ed5d4bf0c2ec,,textbox,Add details,,,,,,,
