"Warnings","Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"","checklist-flat",,"Punch Windows","","Punch Windows",3,"0b69beba-6ef1-4623-ba49-598cff1bfb68"
"","checkpoint",,"Precast concrete surface no damage",,,,
"","checkpoint",,"Precast concrete face free from oil, grease, dirt etc",,,,
"","checkpoint",,"Gap 10mm +/-4 between structure and frame",,,,
"","checkpoint",,"Frame endstops and corners properly sealed",,,,
"","checkpoint",,"Appropriate PEF rod installed continuously",,,,
"","checkpoint",,"Sikalastic 152 applied on the opening all round",,,,
"","checkpoint",,"Sikaseal Tape F applied as per specification all round",,,,
"","checkpoint",,"Fixing HUS4-HR6x70mm @ 350 ctrs. Min 55 embedment",,,,
"","checkpoint",,"Fixing oversealed",,,,
"","checkpoint",,"HDPE packers installed the right way",,,,
"","checkpoint",,"Continues sealant on backing rod properly tooled",,,,
"","checkpoint",,"Wip holes cleared and unobstructed",,,,
"","checkpoint",,"Wedge and gasket properly mounted",,,,
"","checkpoint",,"Glass and frame free of scratches",,,,
"","checkpoint",,"Angle closer size correct and offset 6mm from frame",,,,
"","checkpoint",,"Window protection installed",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Roof Skylight","","Roof Skylight",1,"0caee07f-1e24-4b92-8e66-1ce8935c1409"
"","checkpoint",,"Waterproofing QA done before start",,,,
"","checkpoint",,"Slop of the nib to create 7 degree to glass skylight",,,,
"","checkpoint",,"Powder coated aluminium flashing installed at the edge of the nib",,,,
"","checkpoint",,"Under-flashing/Framing sealed to the roof membrane with Soudal Gorilla sealant on backing rod. Min 6mm gap",,,,
"","checkpoint",,"Under-flashing/Framing powder coated with Duratek eternity range: Gun metallic kinetic matt",,,,
"","checkpoint",,"Cover flashing fixed with 2x6mm EPDM compressed washers to form 6mm gap at fixing.",,,,
"","checkpoint",,"Fixing as per specification",,,,
"","checkpoint",,"Glass type in accordance to the specification",,,,
"","checkpoint",,"Glass clean, and free from scratch, chips or any damage",,,,
"","signoff",,"Request Signoff",,,,

"","checklist",,"QA - Precast Walls","","Precast for Area:",18,"173d5682-9e59-4b52-9e9c-d7294fcecf3c"
"","section",,"Pre installation",,,,
"","checkpoint",,"Precast elements inspected, correct and damage free before placement",,,,
"","checkpoint",,"All pre installation work completed",,,,
"","tickbox","6279d689-eeea-5047-8125-f68bf6632e06","Site set-out completed",,,,
"","signoff",,"Request Signoff",,,,
"","section",,"Installation",,,,
"","checkpoint",,"Alignment and levels of the panel checked/correct",,,,
"","checkpoint",,"Panel propping checked",,,,
"","checkpoint",,"Drypacking / grouting complete",,,,
"","checkpoint",,"Any additional photos, comments and observations",,,,
"","checkpoint",,"Panel installation completed within tolerance in respective area",,,,
"","tickbox","e2594693-2ab9-5714-b7ae-0051cc7b56ec","Trades QA received, reviewed, attached and approved",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Seismic Gap IBS Series","","Seismic Gap IBS Series",2,"1754d090-ed25-421f-8460-0a67646b2164"
"","checkpoint",,"Joint is clean, uniform gap 100mm, dry and undamaged",,,,
"","checkpoint",,"Silicon adhesive is applied both sides",,,,
"","checkpoint",,"Correct type of precompressed sealant used. (IBS 100) check depth and width",,,,
"","checkpoint",,"Precompressed sealant run through without gap and enough offset to avoid clashes to DM Series framing",,,,
"","checkpoint",,"Joint cut square/mitered, no gap and applied with silicon adhesive",,,,
"","checkpoint",,"Sealant applied continuously and tooled properly",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Add - Consultant Inspection Checklist (V3)","","Consultant Inspection -",12,"1a39894f-1959-48ce-a38c-c424149ab37d"
"","checkpoint",,"Consultant inspection completed, attached and any relevant observations closed out",,,,
"","textbox","7b7a025d-81fa-4409-9ef9-3281b2d64523","Date of Inspection",,,,
"","textbox","dd36bd0b-3ee0-4704-912f-3f8f961a2cb6","Type of Inspection",,,,
"","textbox","da74bdd5-b086-41a1-94ef-12814f41c3f5","Area inspection relates to",,,,
"","tickbox","e495e118-490c-453e-af9d-13b99904e2dc","Consultant Inspection attached",,,,
"","button","0f8e78cc-ac2e-4458-b897-ef644c2cb994","All Relevant Observation Closeout evidence attached here if applicable (Pass once completed)","PASS, N/A",,,
"","note","1f26a12b-97a7-4354-afab-298bf48ac079","""PASS"" once corrective closeout evidence has been attached",,,,
"","note","5b90254d-0b5f-40ab-b626-60f2f7e09379","If there are no corrective action requirements select ""N/A""",,,,
"","textbox","3d06351b-6af4-431a-909b-5a78ef041b49","Corrective Actions (listed here if required)",,,,
"","signoff",,"Request Signoff",,,,

"","checklist-flat",,"Add - Council Inspection Checklist (V3)","","Council Inspection -",0,"1a732614-648c-4004-b460-d06c77a7584c"
"","checkpoint",,"Council inspection completed, attached and any relevant observations closed out",,,,
"","note","3444c651-e5e2-4a4d-87f9-f06b48de741d","PASS once all information is attached including Observations/Failed comments with evidence of closeout",,,,
"","textbox","dc83a024-74b8-4254-9ddd-e5098acc1bd8","Date of Inspection:",,,,
"","textbox","9078e12c-052d-4e8e-aaa0-bf0ee4a8e674","Type of Inspection:",,,,
"","textbox","52f91732-bf1d-45c6-bd07-b9da5bc92d07","Area inspection relates to",,,,
"","dropdown","b4da29de-ea63-439e-a19e-c0f75d938880","Inspection Outcome","Pass, Fail, Partial Pass,Completed, N/A",,,
"","tickbox","e163160e-48f6-4a1e-925a-fc9517380516","Council Inspection attached",,,,
"","textbox","202aee45-e7db-4a11-a3cd-d58c1ed02669","Failed Comment(s) & Required Action",,,,
