Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Facade - Overall Progress,,,,,,,,,,,
,Scope,,,Atlas,Facade,,,,,,
,Rows,,,,,,,,,,
,,Precast Panel Sealant QA (Office and Warehouse),grouping,Precast Panel Sealant QA (Office and Warehouse),,,,,,,
,,Panel Sealant for AH8-AH 55,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Panel Sealant for AH8-AH 55,,
,,Grid B&8 Panel grouting ,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Grid B&8 Panel grouting ,,
,,27-02-2024 Panel Sealant on grid 4 & B,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),27-02-2024 Panel Sealant on grid 4 & B,,
,,Grid 2-3 Panel Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Grid 2-3 Panel Sealant,,
,,04-04-2024 AH133 & 134 Panel Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),04-04-2024 AH133 & 134 Panel Sealant,,
,,L2 Panel AH 229 & AH 230Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),L2 Panel AH 229 & AH 230Sealant,,
,,15-05-2024 Panel Sealant on grid A & E,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),15-05-2024 Panel Sealant on grid A & E,,
,,Precast Panel Sealant QA (Office and Warehouse) - Facade Grid 3-4 / Ground-Mez Floor,dynamic,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Facade Grid 3-4 / Ground-Mez Floor,,
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 1 (GLB),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 1 (GLB),
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 2 (GL H),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 2 (GL H),
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 3 (GL J),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 3 (GL J),
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 4 (GL I),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 4 (GL I),
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 5A (GL 5 Full Ht),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 5A (GL 5 Full Ht),
,,Curtain Wall QA (Office) - Level 1-Level 2 - Facade 5B (GL 5),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,Facade 5B (GL 5),
,,Curtain Wall QA (Office) - Level 0 - Facade 6 (GL E),dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 0,Facade 6 (GL E),
,,Punch Windows and Doors (Office and Warehouse) - Office Area - Grid 8,dynamic,Atlas,Building,Envelope ,Facade,Punch Windows and Doors (Office and Warehouse),Office Area,Grid 8,
,,Punch Windows and Doors (Office and Warehouse) - Office Area - Grid B,dynamic,Atlas,Building,Envelope ,Facade,Punch Windows and Doors (Office and Warehouse),Office Area,Grid B,
