Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Facade - Detailed Progress,,,,,,,,,,
,Scope,,,Atlas,Facade,,,,,
,Rows,,,,,,,,,
,,Precast Panel Sealant QA (Office and Warehouse),grouping,Precast Panel Sealant QA (Office and Warehouse),,,,,,
,,Panel Sealant for AH8-AH 55,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Panel Sealant for AH8-AH 55,
,,Grid B&8 Panel grouting ,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Grid B&8 Panel grouting ,
,,27-02-2024 Panel Sealant on grid 4 & B,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),27-02-2024 Panel Sealant on grid 4 & B,
,,Grid 2-3 Panel Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),Grid 2-3 Panel Sealant,
,,04-04-2024 AH133 & 134 Panel Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),04-04-2024 AH133 & 134 Panel Sealant,
,,L2 Panel AH 229 & AH 230Sealant,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),L2 Panel AH 229 & AH 230Sealant,
,,15-05-2024 Panel Sealant on grid A & E,,Atlas,Building,Envelope ,Facade,Precast Panel Sealant QA (Office and Warehouse),15-05-2024 Panel Sealant on grid A & E,
,,Precast Panel Sealant QA (Office and Warehouse) - Facade Grid 3-4 / Ground-Mez Floor,dynamic,Precast Panel Sealant QA (Office and Warehouse),Facade Grid 3-4 / Ground-Mez Floor,,,,,
,,Curtain Wall QA (Office) - Level 1-Level 2,dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 1-Level 2,
,,Curtain Wall QA (Office) - Level 0,dynamic,Atlas,Building,Envelope ,Facade,Curtain Wall QA (Office),Level 0,
,,Punch Windows and Doors (Office and Warehouse) - Office Area,dynamic,Atlas,Building,Envelope ,Facade,Punch Windows and Doors (Office and Warehouse),Office Area,
,,Punch Windows and Doors (Office and Warehouse) - Warehouse,dynamic,Atlas,Building,Envelope ,Facade,Punch Windows and Doors (Office and Warehouse),Warehouse ,
,,Seismic Gap,dynamic,Atlas,Building,Envelope ,Facade,Seismic Gap,,
,,Various Flashing,dynamic,Atlas,Building,Envelope ,Facade,Various Flashing,,
,,Concrete Sealer,dynamic,Atlas,Building,Envelope ,Facade,Concrete Sealer ,,
,Columns,,,,,,,,,
,,Panel Sealant - Cut & remove existing sealant,,Cut and remove existing sealant,,,,,,
,,Panel Sealant - Clean all sealant residue & dirt/dust,,Clean all sealant residue and dirt/dust,,,,,,
,,Panel Sealant - Insert correct size backing (tight fit) rod to correct depth,,Insert correct size backing (tight fit) rod to correct depth,,,,,,
,,Panel Sealant - Surface clean & dry - ready for application,,Surface clean and dry - ready for application,,,,,,
,,Panel Sealant - Correct depth achieved prior to sealant,,Correct depth achieved prior to sealant,,,,,,
,,Panel Sealant - Apply specified sealant primer,,Apply specified sealant primer,,,,,,
,,Panel Sealant - Correct Sealant Applied as per manufacturers instructions,,Correct Sealant Applied as per manufacturers instructions,,,,,,
,,Panel Sealant - Sealant properly tooled,,Sealant properly tooled,,,,,,
,,"Panel Sealant - No visible voids, flaws or defect",,"No visible voids, flaws or defect.",,,,,,
,,Panel Sealant - Double seal required from exterior - refer architect's detail,,Double seal required from exterior - refer architect's detail,,,,,,
,,Panel Sealant - Double seal installed as per architect's direction,,Double seal installed as per architect's direction (clearly mark double sealed area on elevation),,,,,,
,,Panel Sealant - Ensure drain slots are created the lowest point of panel 10mm dia,,Ensure that drain slots are created the lowest point of panel 10mm dia,,,,,,
,,Curtain Wall Steel Post - Post location correct,,Post location correct,,,,,,
,,Curtain Wall Steel Post - Post welding to cast in plate done properly,,Post welding to cast in plate done properly,,,,,,
,,Curtain Wall Steel Post - Steel fin straight & not bent,,Steel fin straight and not bent,,,,,,
,,Curtain Wall Steel Post - Bolts & nuts used as per detail,,Bolts and nuts used as per detail,,,,,,
,,Curtain Wall Steel Post - Minimum 20mm gap at top & joint of fin,,Minimum 20mm gap at top and joint of the fin,,,,,,
,,Curtain Wall Steel Post - Intumescent paint applied,Intumescent paint applied,Minimum 20mm gap at top and joint of the fin,,,,,,
,,Curtain Wall Steel Post - Paint colour as per spec.,,Paint colour as per specification,,,,,,
,,Curtain Wall Steel Post - Paint undamaged,,Paint undamaged,,,,,,
,,Curtain Wall Steel Post - Protection around post installed,Protection around post is installed,Paint undamaged,,,,,,
,,Curtain Wall Timber Framing - Set out from gridline correct,,Set out from gridline correct,,,,,,
,,Curtain Wall Timber Framing - Dimension of wall opening correct,,Dimension of wall opening correct,,,,,,
,,Curtain Wall Timber Framing - DPM installed where required,,DPM installed where required,,,,,,
,,Curtain Wall Timber Framing - Timber frames type as per spec.,,Timber frames type as per specification,,,,,,
,,Curtain Wall Timber Framing - Frame square & plumb,,Frame square and plumb,,,,,,
,,Curtain Wall Timber Framing - Council inspection done. Preline,Council inspection done. Preline,Frame square and plumb,,,,,,
,,Curtain Wall Timber Framing - Board type (RAB) ,,Board type (RAB) as per drawing,,,,,,
,,Curtain Wall Timber Framing - Fixing used as per spec.,,Fixing used as per specification,,,,,,
,,Curtain Wall Timber Framing - Fixing spacing & edge distance correct,,Fixing spacing and edge distance correct,,,,,,
,,Curtain Wall Timber Framing - Board no damage & in good condition,,Board no damage and in good condition,,,,,,
,,Curtain Wall Timber Framing - Council inspection done. Postline,Council inspection done. Postline,Board no damage and in good condition,,,,,,
,,Curtain Wall System - Surface clean & free from dust/oil/grease/sealant,,"Surface clean and free from dust, oil, grease, sealant etc..",Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Sikalastic 152 applied before & after Sika Tape F,,Sikalastic 152 applied before and after Sika Tape F. Continuous and 100mm up to the wall,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Sikaseal Tape F applied as per spec.,,Sikaseal Tape F applied as per specification,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Dress at steel fin done in correct sequence,,Dress at steel fin done in correct sequence,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Reveal shield applied with 150mm overlapping,,Reveal shield applied with 150mm overlapping,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Liquiflash continuously applied & ,,Liquiflash continuously applied and as per drawing,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - All checked & ready to proceed to next stage,All checked and ready to proceed to next stage,Liquiflash continuously applied and as per drawing,Pre-installation. Waterproofing membrane,,,,,
,,Curtain Wall System - Brackets type (aluminium/steel) used ,,Brackets type (aluminium/steel) used as per drawing. L0-L1 Aluminium. L2 Steel,Hanging Brackets,,,,,
,,Curtain Wall System - Bracket thickness & dimension ,,Bracket thickness and dimension as per drawing,Hanging Brackets,,,,,
,,Curtain Wall System - Bracket finish as per specified,,"Bracket finish as per specified (powdercoated/intumicent painted/galvanized painted, etc...)",Hanging Brackets,,,,,
,,Curtain Wall System - Washer size & type as per spec.,,Washer size and type as per specification.,Hanging Brackets,,,,,
,,Curtain Wall System - Bolt fixing used as per spec.,,"Bolt fixing used as per specification. Size,embedment depth, edge distance checked",Hanging Brackets,,,,,
,,Curtain Wall System - All checked & ready to proceed to next stage,All checked and ready to proceed to next stage,"Bolt fixing used as per specification. Size,embedment depth, edge distance checked",Hanging Brackets,,,,,
,,"Curtain Wall System - Sill frame undamaged, straight & plumb",,"Sill frame undamaged, straight and plumb",Seismic frame installation,,,,,
,,Curtain Wall System - Sill frame screw fixing using Hilti HUS4 HR10x115,,"Sill frame screw fixing using Hilti HUS4 HR10x115, 75mm each side of mullion. Oversealed",Seismic frame installation,,,,,
,,"Curtain Wall System - Drainage slot 8x50mm size, 100mm from both ends",,"Drainage slot 8x50mm size, 100mm from both ends and each side of mullion",Seismic frame installation,,,,,
,,"Curtain Wall System - End stops 100mm ht, fully sealed to structure",,"End stops 100mm ht, fully sealed to structure",Seismic frame installation,,,,,
,,"Curtain Wall System - Jamb undamaged, straight & plumb",,"Jamb undamaged, straight and plumb",Seismic frame installation,,,,,
,,Curtain Wall System - Jamb screw using M6x30 SS/HUS HRS M6x70/12G screw to timber,,"Jamb screw using M6x30 SS to steel, HUS HRS M6x70 to conc, 12G screw to timber with 450mm C/C max",Seismic frame installation,,,,,
,,Curtain Wall System - Corner reinforcement as per detail,,Corner reinforcement as per detail,Seismic frame installation,,,,,
,,Curtain Wall System - 20mm GAP between jamb frame & head channel,,20mm GAP between jamb frame and head channel,Seismic frame installation,,,,,
,,Curtain Wall System - Screws oversealed,,Screws oversealed,Seismic frame installation,,,,,
,,"Curtain Wall System - Head channel undamaged, straight & plumb",,"Head channel undamaged, straight and plumb",Seismic frame installation,,,,,
,,Curtain Wall System - Head channel fixed with M12 SS screws at 350 mm C/C min,,Head channel fixed with M12 SS screws at 350 mm C/C min,Seismic frame installation,,,,,
,,Curtain Wall System - Screws oversealed,,Screws oversealed,Seismic frame installation,,,,,
,,Curtain Wall System - Sikagard 52 is applied as per spec.,,Sikagard 52 is applied as per specification,Seismic frame installation,,,,,
,,Curtain Wall System - All checked & ready to proceed to next stage,All checked and ready to proceed to next stage,Sikagard 52 is applied as per specification,Seismic frame installation,,,,,
,,Curtain Wall System - Sika primer 3N/aktivator 205 is applied before sealant,,Sika primer 3N/aktivator 205 is applied before sealant,Sealant works,,,,,
,,Curtain Wall System - PEF rod correct size & in good location,,PEF rod correct size and in good location,Sealant works,,,,,
,,Curtain Wall System - Gap 10mm +/-4,,Gap 10mm +/-4,Sealant works,,,,,
,,Curtain Wall System - Continuous AT Façade applied all round air seal properly tooled,,Continuous AT Façade applied all round air seal properly tooled,Sealant works,,,,,
,,Curtain Wall System - QA done ready for panel install,QA done ready for panel install,Continuous AT Façade applied all round air seal properly tooled,Sealant works,,,,,
,,"Curtain Wall System - Panel frame free from dents, dings & scratches",,"Panel frame free from dents, dings and scratches",Curtain wall panel install,,,,,
,,Curtain Wall System - Glass undamaged & free from scratches,,Glass undamaged and free from scratches,Curtain wall panel install,,,,,
,,Curtain Wall System - Gaskets & wedge in good condition,,Gaskets and wedge in good condition,Curtain wall panel install,,,,,
