type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP-150-CIV-PSDS-Rock Beaching,itp,,,,,ITP-150-CIV-PSDS-Rock Beaching Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-150-CIV-PSDS-Rock Beaching,,,,,,,,,,,,,,
label,ITP Description: PSDS-Rock Beaching,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 150-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 17/04/2024,,,,,,,,,,,,,,
label,ITP created by: Jonathan Kogan,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,
label,1.1 VicRoads Specification and Melbourne Water approval ,,,,,,,,,,,,,,
label,Reference: VicRoads Section 713 April 2017,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Beaching Material,,,,,,,,,,,,,,
label,REFERENCE: 713.03 Section 713.03(a) IFC Drawings MRP-091-C-BEC-DRG-00-DNG-CBR-5613,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All rock beaching materials shall:,,,,,,,,,,,,,,
label,○ comply with the material requirements for ‘sound’ rock in Section 801 and ,,,,,,,,,,,,,,
label,○ the Los Angeles Value (LAV) requirements of Table 801.033. and ,,,,,,,,,,,,,,
label,○ The rock shall have a minimum apparent particle density of 2.5 t/m3 and,,,,,,,,,,,,,,
label,○ the rock beaching shall have a minimum wet strength of 100 kN and a wet/dry strength variation not exceeding 45% ,,,,,,,,,,,,,,
label,○ The rock beaching material shall be Type 5 - Melbourne Water waterway beaching and comply with criteria set out in IFC Drawings,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to each use unless previously approved,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Bedding Material,,,,,,,,,,,,,,
label,REFERENCE: 713.03 Section 713.03(b),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: The rock used for the granular filter layer is to be well graded and where a granular bedding is required, limited to 0-100 mm in size.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to each use unless previously approved,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,
checkpoint,3.1 Beaching Placement Approval,,,,,,,,,,,,,,
label,REFERENCE: 713.05 Sect (a),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to commencement of any work where placement of rock beaching is proposed, a detailed job safety assessment shall be undertaken by a suitably qualified and experienced professional and a suitable Safe Work Method Statement developed to cover all necessary elements.",,,,,,,,,,,,,,
label,○ The completed job safety assessment and the Safe Work Method Statement shall be submitted to the Superintendent for review.,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Site Safety manager,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Pre-construction Activities,,,,,,,,,,,,,,
checkpoint,4.1 IFC Drawings,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to starting Works and at regular intervals,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: All,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,4.2 Confirmation of rock sizing,,,,,,,,,,,,,,
label,REFERENCE: Fowler Road Bridge Structure Scour Protection (MRP-091-C-BEC-DRG-00-DNG-CBR-5613),,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure rocks being used are Type 5 with a minimum D50 of 400mm. ,,,,,,,,,,,,,,
label,"METHOD: Document Review, Measure",,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Supervisor,,,,,,,,,,,,,,
