"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c6355f9e-2d4f-4d78-b0a6-c8b15bc9a9ba","","folder-normal","","","step","TRUE","FALSE","2020"
"eaa38d1f-7fde-4825-a588-c8c1001ff1ef","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10001947 FONTERA PAHIATUA"
"ad9b341d-b1a1-45c7-af94-39f5179acee9","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000460 SILVER FERN FARMS (RICHMOND MEATS (PPCS)),1107612"
"abd1f742-6d1b-46df-8e71-a121f7a4b079","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000087 ETECH INDUSTRIES,1101380"
"3589c126-d25a-4a95-85bc-0785dc4fed37","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","BOC GAS & GEAR PALMERSTON NORTH (DRY ICE)"
"ffbf66b4-11ef-4ee4-b33a-8e26048be075","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000955 METALFORM,1098335"
"31ce8bb6-b5d9-4eaf-a71c-f7eac0e519c8","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10001367 MASTERTON HOSPITAL,1004055"
"3fe45350-458b-495f-9d2e-d1ec0330021a","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10001809 MASSEY UNIVERSITY,1074786"
"b0d57bdc-6b36-42ea-a887-2b8e38ba1c97","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000079 MID CENTRAL HEALTH,1074791"
"fa5b24b4-71d4-4ebd-b625-4b0fa3b78393","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10002246 WANGANUI HOSPITAL,1074802"
"74f27c55-ef59-4920-a4ba-7c2581365eae","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000106 LIVESTOCK IMPROVEMENTS AWAHURI,1074777"
"856846a9-bdf3-47c2-aa8c-22d6db8a2ef8","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","BOC GAS & GEAR PALMERSTON NORTH"
"c45c1c78-c70b-4d0b-b984-34058a4afab7","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","Temp Hire - ISO-001"
"9abb034d-a7de-4ac8-91b7-0bd42ba7d6ed","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","Temp Hire - ISO-014"
"048fec8c-d09e-4cb0-a640-28ec8ca674ec","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","Temp Hire - ISO-036"
"c0210868-4ab7-458c-826a-0f2c17858a53","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","Temp Hire - ISO-27"
"e2111250-79a8-4f5d-b1fc-bf9b420cd08b","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000344 AG RESEARCH,1074790"
"5e195593-091e-4729-9513-58e9911de2f5","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10029581 BALANCE AGRI-NUTRIENTS KAPUNI"
"46ecaa9a-6180-4b06-97eb-9f75d11c480a","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000109 ANZCO/ITOHAM, WAITARA,1117595"
"c5e18565-da94-4dba-836f-4f353c097a90","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000102 FONTERRA HAWERA,1073201"
"8def7bb2-4a7c-4c41-a7d7-8ccc5f5969c7","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000448 FONTERRA (MAINLAND PRODUCTS LTD, BRIDGE ST),1080357"
"1ea746b3-8ac2-4819-9fa1-ece16142fda6","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000423 FONTERRA (MAINLAND, COLLINGWOODST),1073548"
"2ec0ad36-0fd1-4534-8f67-e358f281e7fc","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000421 BALANCE AGRI-NUTRIENTS (PREV PETROCHEMICAL CORP OF NZ)"
"84b9cc01-0760-4ae2-b24f-6f0e49c6490a","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000419 NEXANS (OLEX CABLES),1074810"
"83443220-5906-4fc7-8849-b19d0c8a2e53","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10026618 TEGEL FOODS NEW PLYMOUTH"
