"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d3b19441-62ee-4648-9930-bd2ebb6c04a1","","folder-normal","","","step","TRUE","FALSE","2020"
"8b422d7d-422c-45e1-a147-d943c52e66a7","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10000849 AUCKLAND HOSPITAL,1074927"
"45e255fc-e691-4785-b02b-f1def8d858e6","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10000461 FISHER & PAYKEL Healthcare Tank A"
"36b9d82f-9a05-4063-a641-68a10d420d15","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10029585 FRUCOR BEVERAGE LTD"
"7779bee1-264a-4c52-8662-6c5ef1ec5a05","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10029587 FRUCOR BEVERAGE LTD"
"db5366dc-451f-4294-87dd-d4b08ea10228","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10001520 RAKON, 1010658"
"affe9d92-09da-4a04-9b1d-9f226cc0fbbf","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10001277 TEGEL HENDERSON,1074718"
"87e20b2e-c80e-4a1a-8d19-373ef544f112","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10024970 YASHILI DAIRY CO LTD POKENO Liquid Nitrogen"
"35bf0565-06a9-494c-bf96-68f5dc80da36","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10001562 YASHILI DAIRY LTD POKENOLiquid Carbon Dioxide"
"b36566a4-e8c9-4e36-a7dd-d9104d1e9290","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10002388 FRUCOR BEVERAGES,1081135"
"7b5a142e-8099-44df-8a85-2ca8f53e479f","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10002243 INGHAMS FP MANUKAU CO2"
"aab7b5a7-431a-4dbe-b1d8-12498a7d6322","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10001563 MIDDLEMORE HOSPITAL,1074805"
"87d19075-ea56-4504-9f8e-34e91c657806","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10032068 NZ DRINKS"
"704ba3d9-7d87-4108-97fb-95ec34d2c092","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10000098 AUCKLAND HOSPITAL,1074927"
"448c8dfd-b38a-425f-bed8-7e9005e60f54","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10026159 AUCKLAND UNIVERSITY, SCHOOL OF MEDICAL SCIENCES"
"dfcbfca2-0646-4bd0-adca-09c58c46f2cd","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10001516 BABICH WINES"
"2c31dd44-ed5e-492d-9f34-b5cdf9f70389","","checklist-sectioned","","SYS - BOC","checklist","FALSE","FALSE","2020","10000019 CRIGHTON ENGINEERING,1093365"
"070e2f15-0410-4cac-b8c7-bf82ff3657fd","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10028538 FISHER & PAYKEL Healthcare Paykel BLDG Tank D"
"4ff51dbe-0511-48fa-8bd0-7c59de1b3dfd","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10034077 HI-TECH METALS"
"c7d22226-15ca-4921-8f19-b683ea4ac966","","checklist-sectioned","","SYS - BOC 5","checklist","FALSE","FALSE","2020","10000223 ASAHLI BEVERAGES"
"df96ae97-893e-442e-9dea-63ef08a62637","","checklist-sectioned","","SYS - BOC 1","checklist","FALSE","FALSE","2020","10000113 INGHAMS FP MANUKAU (TANK A)"
