"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bcfc1ec4-baca-4c7c-972d-606f41f003ec","","folder-normal","","","step","TRUE","FALSE","2020"
"59247a0c-e319-497a-b0c8-33b5cc4a4934","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10033360 CHRISTCHURCH HOSPITAL (PARKSIDE VIE)"
"a833c7e7-445a-44bf-be8d-7d81036607ba","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10002456 ENPAHSE NZ"
"de38a205-2ef0-4cdf-a6f2-c9244ee5324d","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001737 NZ DAIRIES, FONTERRA STUDHOLME"
"82b68fd1-ab43-4648-af6d-736ef279a6f2","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10002457 OCEANIA DAIRIES LTD"
"83141143-6ada-486f-a296-100114e6159f","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10002211 SKELLERUP IND"
"2771e0aa-986d-4a5a-972c-703b79cb9426","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001092 FONTERRA CLANDEBOYE,1073212"
"bb7d75c1-5bb2-45b2-9c25-0fc542deb0ea","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001469 FONTERRA DARFIELD"
"483e026a-9940-4245-8d95-ade5a95aa824","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10028533 OCEANIA DAIRIES LTD"
"5ee2736d-ce11-4883-b425-7a5c02bd50fd","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000073 CHRISTCHURCH HOSPITAL,1074723"
"d2d94776-2d9e-4ec5-ba09-558b6ce2fc3e","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001529 AUTOBEND,1017379"
"51d3ab61-5cdd-499e-b0f8-ac4b9e22e428","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001155 DAVIN INDUSTRIES,1016455"
"06f6ce68-7450-41a7-aee8-434577944794","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001150 PROMETAL INDUSTRIES,1020104"
"bed3e484-66b2-4e9a-9adb-74aa19b2fb06","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001719 SANDVIK (CHCH) NZ LTD"
"db9e2038-f846-4272-ac80-3d84de653876","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000114 TEGEL CHRISTCHURCH"
"cdd0b89c-f60e-48d2-ac79-95aa5ac89eb1","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000088 TIMARU DISTRICT COUNCIL,1083173"
"2f227041-e16b-4a79-b95f-a715e25d2c99","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000458 PPCS FAIRTON,1091585"
"a0820dc0-e0b7-4cf5-88fa-b0832e566d04","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10001216 ALLIED TELESYN,1105812"
"69270162-3719-4cbd-bd5d-4a5fb690f3e0","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000454 BURWOOD HOSPITAL"
"e2162f36-6346-4c4c-843c-06f19615e2ae","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","CHRISTCHURCH WOMENS HOSPITAL"
"02a9f05e-a54f-4a1f-8cec-fbacec807ebc","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10029583 DAIRY WORKS"
"2e234234-aeab-48d2-bbea-e3bf952e6a51","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10028530 DAIRY WORKS"
"01467646-726d-4ffd-8203-96ba4637af1c","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10028541 ENI ENGINEERING"
"b85aa817-4642-45dc-a12d-9503b469b1b4","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10002485 HAMILTON JET (CWF HAMILTON LTD)"
"a0d85927-710f-4f81-9053-a926e02ae6dc","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10028537 HAWKINS SI BLOOD CENTRE, NZ BLOOD SERVIVE CHCH"
"3e96504e-7ba8-4cf7-90de-8762b90adedf","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10028540 SHAPE NZ"
"fbe7caa4-d84d-49b4-ae4a-efa57b071b65","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10000011 SOUTHERN CROSS HOSPITAL CHCH"
"14ef4738-a4c5-42ff-80c3-d2f6fa191678","","checklist-sectioned","","SYS - BOC Checklist","checklist","FALSE","FALSE","2020","10002289 SPECIAL STEEL & METALS LTD,1111125"
