"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0c79cdc8-1eca-4725-b2ab-7cb0e4e6722c","","fail","","folder","TRUE","FALSE","H&S"
"7bb268e8-bb82-4d34-87e5-d9e14d99e155","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","H&S - Daily Pre Start Checklist"
"fde1227b-329f-47cc-a243-efbf63dde5eb","","not-started","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","H&S - Site Toolbox Checklist"
"d8aaebac-8764-45a9-b039-9e500a87b9bc","","not-started","H&S - Accident & Incident Investigation Report","checklist","FALSE","FALSE","H&S","H&S - Accident & Incident Investigation Report"
"59989943-68bc-4e1f-97e0-07e9af794cb6","","work-in-progress","","folder","TRUE","FALSE","H&S","Daily Pre Start"
"3f6933fb-8cab-4e4d-bae5-b11723e53171","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 25.09.24"
"ec839ae8-67e8-4f2b-940d-63b95e8b67a3","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 26.09.24"
"f05d3806-e862-4d81-8af5-97ff8f276c93","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 27.09.24"
"0f5c5412-c8f5-4a08-b6d1-4e3b268bd8f6","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 30.09.24"
"2e31f4e1-dff2-4b95-a897-2a84d4181c52","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 01.10.24"
"eda09661-a88e-494e-ba51-72f8d696bb13","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 02.10.24"
"9481e037-61fe-4fd8-8fa0-6369261f6a67","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 03.10.24"
"62ce1904-4848-4de8-b918-bfa55e23b4fa","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 04.10.24"
"95428650-7337-42f7-9e50-5ecf25500239","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 07.10.24"
"105f91a2-54c1-4103-9bf3-f66ff3705829","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 08.10.24"
"cb3ef069-c084-4eb2-ace7-6a04f59da525","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 09.10.24"
"26b9fd7f-dd36-46c3-a446-0efa0cb07673","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 10.10.24"
"0a46dd86-85cf-48d6-89ec-da5455b23d25","","not-started","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 11.10.24"
"2d9a71a1-dcc5-41ba-a8b1-1087bd5375f1","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 14.10.24"
"efc17522-bdd6-435c-9689-a34b7d189aa3","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 15.10.24"
"780f5f28-cbeb-49de-8280-28f869cc21fd","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 16.10.24"
"88a229b1-4066-431f-b4e4-2588321b6c3f","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 17.10.24"
"8e02c3f5-fc90-46aa-b0fe-2d69c8f01fc5","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 18.10.24"
"80002f45-899f-4bf1-ac56-ef7a87a9f504","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 21.10.24"
"587904b4-eb80-4867-99b6-33f30c3ed924","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 22.10.24"
"fd5ca290-1a57-4a6d-a4ab-aa9be1ca58f4","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 23.10.24"
"87a24428-a43f-4297-9ee0-607a741b7094","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 24.10.24"
"f372c38a-bb31-4640-b765-94d52a596c83","","pass","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 30.10.24"
"5a403656-47f3-4676-8459-34fdc19d30c6","","work-in-progress","H&S - Daily Pre Start Checklist","checklist","FALSE","FALSE","H&S","Daily Pre Start","H&S - Daily Pre Start Checklist 31.10.24"
"aec4b4d2-01eb-42ce-bfa8-ef376322583d","","work-in-progress","","folder","TRUE","FALSE","H&S","Weekly toolbox"
"b0f2bc5e-1c29-4618-bd4a-be9734ce9524","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 04.10.24"
"e5a57789-8be4-48ce-acd2-5f3d636fc562","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 18.10.24"
"5077ff09-7e7d-4993-9893-463eb866d307","","work-in-progress","H&S - Site Toolbox Checklist","checklist","FALSE","FALSE","H&S","Weekly toolbox","H&S - Site Toolbox Checklist 25.10.24"
"d2b5ae07-2994-4b95-ad8d-b8e426491339","","fail","","folder","TRUE","FALSE","H&S","Weekly Site Inspection"
"d1076d41-9d4b-4349-8cc2-021089310b0d","","work-in-progress","H&S - Weekly Site Inspection Checklist","checklist","FALSE","FALSE","H&S","Weekly Site Inspection","H&S - Weekly Site Inspection Checklist 18.10.24"
"6e969a9a-e5de-4e65-9fc0-08c2529425a8","","fail","H&S - Weekly Site Inspection Checklist","checklist","FALSE","FALSE","H&S","Weekly Site Inspection","H&S - Weekly Site Inspection Checklist 25.10.24"
"41b7ef42-adb6-4ee1-bba3-4c433f01e92e","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"ddbed6c3-1a26-4eec-86a4-9e3b65d286ec","","pass","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Pre nail framing Checklist (Sample) "
"0578b7f9-bbcb-467f-be74-1cba6e97a661","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 "
"d68833c4-b836-452d-b74d-2c6c37fec049","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 "
"bcfa6d7e-4d4a-4378-a6ab-b3d3da0b1209","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"
"6e96cc46-ef7b-4a6f-900a-79ce445cce5b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (016) "
"b711ee00-301e-4529-9256-79455c28045e","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (016) ","Pre-Nail Framing Checklist"
"5b11d9ff-d0bf-4fe1-9924-0bed67aa1a93","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (016) ","Doors Checklist"
"58f40562-e90f-447b-bdee-4b4a594e914f","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (016) ","Trims Checklist"
"e04217c8-ac04-4644-bdb8-5a61a2e8c23b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (017) "
"3a88720b-cfba-4812-bcd5-498642669368","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (017) ","Pre Nail Framing Checklist"
"76cf36a4-e80a-44aa-a80c-65e4f5c30f6c","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (017) ","Doors Checklist"
"b4a552b6-af43-4b9d-b995-60fecb3bc6f0","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (017) ","Trims Checklist"
"f86ab2ae-f84b-4609-a0e9-265676f52932","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 1 (015) "
"8e50e093-a8b3-4180-964e-b4784369a7a8","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 1 (015) ","Pre Nail Framing Checklist"
"205a002a-b33d-4df8-9a12-51f256e62551","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 1 (015) ","Doors Checklist"
"267e3377-caa5-4e4f-b32d-5171919818ef","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 1 (015) ","Trims Checklist"
"4ce61c07-ca0a-4642-b6c9-7c3f38eddce4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ST1 (1022) "
"ae81e11b-41d6-425e-ae46-4a5c3fe768b5","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ST1 (1022) ","Pre Nail Framing Checklist"
"fb73f5a6-251a-4832-9741-d7e8629027eb","","work-in-progress","CLT Floor/Wall/Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ST1 (1022) ","CLT Stairs Checklist"
"0474a9dd-840d-4915-af5d-dcea81b15068","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ST1 (1022) ","Trims Checklist"
"fef42eb1-b9e0-4f1a-b176-270fd670c3fa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (014) "
"684f1784-1076-4bcb-a8f8-be8f010e24bb","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (014) ","Pre Nail Framing Checklist"
"ca225318-1d96-45e2-901c-bd610ff80ecd","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (014) ","Doors Checklist"
"e533b16d-34e8-447b-b139-1767e2ccdb14","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 2 (014) ","Trims Checklist"
"117c0243-7f9e-4ac3-b86b-2a43875ef3e7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"," DRUGS RM 1 (1021) "
"5b78acee-c4e4-4e52-ad25-e1b305807610","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"," DRUGS RM 1 (1021) ","Pre Nail Framing Checklist"
"a5bf7776-c27b-459d-b955-9e4c5d71da53","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"," DRUGS RM 1 (1021) ","Door Checklist"
"d18b0eb4-6c56-4407-855a-9101c055d780","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A"," DRUGS RM 1 (1021) ","Trims Checklist"
"ff1ce0f9-55ba-4c53-b783-239a2d911864","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 4 (013) "
"912c34f8-a53c-48ac-b39c-3277de2347d0","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 4 (013) ","Pre Nail Framing Checklist"
"99e46b0e-00d0-4b1f-b826-239379d41066","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 4 (013) ","Doors Checklist"
"d10f6a2b-b346-4176-b191-1246efffa1ec","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","MC 4 (013) ","Trims Checklist"
"ceded984-c56b-4923-9a2b-0f5065a685f6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACTIVITES STORE (1023) "
"8efe83a4-e3cc-4f58-bcb1-3be1676cbdeb","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACTIVITES STORE (1023) ","Pre Nail Framing Checklist"
"dc0ff00d-240d-481b-a757-a244e891d52b","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACTIVITES STORE (1023) ","Door Checklist"
"0f5784f0-8a35-40c8-8567-8a967dcc107f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACC. WC1 (1024) "
"710c0c2e-823a-404c-972a-d987451c806b","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACC. WC1 (1024) ","Pre Nail Framing Checklist"
"2135d201-fb2b-4856-9260-75ec28f015af","","not-started","QA - Doors Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACC. WC1 (1024) ","Door Checklist"
"7d82ab33-f4fe-4563-a3f9-3b045f8cbfab","","not-started","QA - Trims Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","ACC. WC1 (1024) ","Trims Checklist"
"fc9b47cc-7032-4268-97d4-5e32e8d07858","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","KITCHENETTE 1 (1025) "
"88e0fd2c-58e9-45c5-bc9b-2b82a4cc35f7","","work-in-progress","Pre nail framing Checklist","checklist","FALSE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","KITCHENETTE 1 (1025) ","Pre Nail Framing Checklist"
"03b4c487-f8dc-4694-ba1a-7d28b1321d71","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0 ","Zone 1 ","Zone 1A","CORRIDOR (1019)"
