"Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"checklist",,"ITP - General - Materials ITP - 105 - Rev B","itp","ITP - General - Materials ITP - 105 - Rev B",0,"04ffdddb-681b-4c04-93c3-9a8311f6130e"
"section",,"4.34 Traffic Service Materials",,,,
"checkpoint",,"Safe Lane Delineator Concrete",,,,
"note","19effbef-acd9-5bba-8cd4-edd09af3e647","Acceptance / Conformance Criteria - Unless otherwise stated, concrete shall have a minimum compressive strength of 20 MPa at 28 days.",,,,
"note","11556913-143e-5a79-b295-e58a531a922e","Standard / Specification - PS 23.7",,,,
"note","1e51a11f-b208-548b-9728-6988a9eb3597","Verifying Document - Datasheet / Mix Design",,,,
"note","2b8a80d6-ade4-5f4d-b7ae-a075f39a37cb","Frequency - Prior to use",,,,
"note","70029cd3-8a69-5a56-b6df-e5533b787a3c","Verification Activity: Activity - R",,,,
"note","34131b73-6801-5edf-aa76-ccffef0e9f20","Verification Activity: By - SE",,,,
"checkpoint",,"Guard Rail Concrete",,,,
"note","7b5daa8a-a456-5d6b-b482-c32d078e8653","Acceptance / Conformance Criteria - Unless otherwise stated, concrete shall have a minimum compressive strength of 20 MPa at 28 days.",,,,
"note","897f28c5-1117-52e9-8e3a-730e6bd232be","Standard / Specification - PS 23.6 M23",,,,
"note","365a79f5-48dc-509c-bd45-55a362614f7e","Verifying Document - Datasheet / Mix Design",,,,
"note","d0815811-7bc0-5895-86f2-80c07013476f","Frequency - Prior to use",,,,
"note","dc0f9c5e-1451-5bfc-9753-8a4a2d5362e8","Verification Activity: Activity - R",,,,
"note","0ef25134-ae5b-5bd8-97a8-d370f8b45ad2","Verification Activity: By - SE",,,,
"checkpoint",,"Proposed Guard Rails",,,,
"note","6b7da4b7-4141-5b2b-8f71-f8536f65aff3","Acceptance / Conformance Criteria - The Contractor shall submit details of proposed proprietary materials and systems.",,,,
"note","2a51c5d9-e3d9-53c8-b1c0-3d8e6e6e278a","Standard / Specification - PS 23.6 M23",,,,
"note","88bde7ba-f0f8-5454-9535-9abfb444237d","Verifying Document - Datasheets",,,,
"note","4c382bdb-3c3a-59d5-8e0c-2c98b807c614","Frequency - Prior to material order (4 weeks prior to installation)",,,,
"note","2a1ed6c8-2749-5636-9ae9-e1c14485ab51","Verification Activity: Activity - HP",,,,
"note","e9ba087b-6e55-5584-86e8-3da57335eb09","Verification Activity: By - ENG",,,,
"signoff",,"AUTHORITY HOLDPOINT",,,,
"checkpoint",,"Guard Rail Maintenance Instructions",,,,
"note","e1cdbaee-e2cc-514a-a800-66ab3e626c0d","Acceptance / Conformance Criteria - The Contractor shall submit details of the manufacturers maintenance instructions for the type of barrier installed.",,,,
"note","1b7e6f89-f7d1-538a-b099-18bdcd6c1a90","Standard / Specification - PS 23.6 M23",,,,
"note","63e1de03-5c91-522a-80e1-f3547a0e296d","Verifying Document - Maintenance Instructions",,,,
"note","e5f2d397-ae98-5843-931b-ef3fabbc4569","Frequency - Upon completion of the Guardrail Construction",,,,
"note","4cedfcab-d534-5b2b-81a6-945812416df0","Verification Activity: Activity - HP",,,,
"note","d9bd5441-dacb-5a33-9533-6d42fd2fc7e0","Verification Activity: By - ENG",,,,
"signoff",,"AUTHORITY HOLDPOINT",,,,
"checkpoint",,"Coloured Surfacing",,,,
"note","c3280aae-0c49-5333-ac80-bfff342cd0d7","Acceptance / Conformance Criteria - The contractor shall provide evidence to the Engineer before preparation and marking of the surfacing, that the material conforms in its entirety to the requirements of NZTA P33.",,,,
"note","50d46e7e-37a3-5050-aab6-2261eb25036d","Standard / Specification - PS 23.4",,,,
"note","b970b67a-86f4-5d20-ad4f-bbb766bd36d3","Verifying Document - Datasheets",,,,
"note","1c6a80ad-5161-5c93-937a-dee8244625c8","Frequency - Prior to use",,,,
"note","6951f0cf-ce48-5af0-8c4c-6133f05aa6c7","Verification Activity: Activity - R",,,,
"note","8b9d6c95-79cb-5c17-b4a1-90a2be02c375","Verification Activity: By - SE",,,,
"section",,"4.35 Sign Materials",,,,
"checkpoint",,"Retro-reflective sheeting",,,,
"note","3dce215c-cfc0-5046-9610-12de0c13412f","Acceptance / Conformance Criteria - All retro-reflective sheeting must be approved for use in New Zealand and comply with the following requirements of NZTA P24 Specification for Permanent Traffic Signs and AS/NZS 1906.1: 1993 Retro-reflective Materials and Devices for Road Traffic Control Purposes, Part 1 Retroreflective Sheeting.",,,,
"note","f13be10c-440c-5800-88b5-509cabe716dd","Standard / Specification - PS 23.2.6",,,,
"note","7bb8e3b1-6ca8-5d2c-adc5-c9e5ba135220","Verifying Document - Datasheet",,,,
