Type,Id,Name,Values,Prompting Name,Resource Id
checklist,,ITP - Stormwater (Structures) - 202 - Rev B,itp,ITP - Stormwater (Structures) - 202 - Rev B,2628a5f0-87b0-4234-aacf-26ddecf7c678
section,,1.01 Stormwater Aggregate Materials,,,
checkpoint,,1.01.1 - Controlled Low Strength Materials - CLSM,,,
note,b9cb59d3-622b-5902-82ee-48040e0dc331,Acceptance / Conformance Criteria - The use of CLSM by the Contractor will require approval from the Engineer on a case-by-case basis.,,,
note,d554de1a-f0a4-5766-9fab-bcabe212688d,"Standard / Specification - PS 16.8.1, PS 16.37",,,
note,fd9db4d6-b13f-578c-8a31-3a884af41cc9,Verifying Document - Engineers Approval,,,
note,293ada82-74e5-50ff-abe1-0c3759c6dfc0,"Frequency - An application submitted to the Engineer for approval, to use CLSM.",,,
note,a0d796f0-ae9b-550b-83fb-f5fb3235c7bc,Verification Activity: Activity - HP,,,
note,d9065f6e-0e33-5678-b156-92376f309262,Verification Activity: By - ENG,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.01.2 - AP65 Aggregate,,,
note,af80170f-9aed-5408-bec8-4a356e26bf00,"Acceptance / Conformance Criteria - AP 65 Aggregate is to be a crushed product with a maximum granule size of 65mm and be a graded, clean durable aggregate which meets Grading, Linear Shrinkage, Weathering Index, Crushing resistance, Maximum and Minimum Dry Densities requirements",,,
note,bee0afb1-20d8-5697-b6a2-6c782b16c71a,"Standard / Specification - PS 16.8.2.1, PS 16.9.1.2, PS 16.6, PS 16.37",,,
note,c4a66042-2771-5b74-a492-ca79dea11dba,Verifying Document - IANZ Lab Reports,,,
note,13ea5eba-d119-5ef1-b17c-3554240289eb,Frequency - Submitted to Engineer for approval,,,
note,cd7d29b9-6f4c-5665-b93d-90316e17cf36,Verification Activity: Activity - HP,,,
note,d7fdc9ce-90a5-5e16-b637-b1f83456885d,Verification Activity: By - ENG,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.01.3 - AP40 Aggregate,,,
note,0d99e137-981e-585d-900b-c0c4ba5ebe81,"Acceptance / Conformance Criteria - AP 40 aggregate is to be a crushed product with a maximum granule size of 40mm and be a graded, clean, durable aggregate and which meets Grading, Linear Shrinkage, Weathering Index, Crushing resistance, Maximum and Minimum Dry Densities requitements",,,
note,47ee1303-2574-50ae-b3c6-beb51f336151,"Standard / Specification - PS 16.8.2.2, PS 16.9.1.2, PS 16.6, PS 16.37",,,
note,6e63f27c-18db-5df0-9168-7215f6097c85,Verifying Document - IANZ Lab Reports,,,
note,71d6a36c-6da9-5b27-ad80-11fc671a8e9f,Frequency - Submitted to Engineer for approval,,,
note,94a9d1bf-48a9-59d5-9052-be3d45e3b182,Verification Activity: Activity - HP,,,
note,d1d25752-f92f-530a-ab79-2acc8f9d8256,Verification Activity: By - ENG,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.01.4 - AP20 Aggregate,,,
note,8752c5af-e588-5e11-b8bc-3ac23a4c8173,"Acceptance / Conformance Criteria - AP 20 aggregate is to be a crushed product with a maximum granule size of 20mm and be a graded, clean, durable aggregate and which meets Grading, Linear Shrinkage, Weathering Index, Crushing resistance, Maximum and Minimum Dry Densities requirements",,,
note,852076c2-b933-5c7d-9cb6-66271e63669f,"Standard / Specification - PS 16.8.2.3, PS 16.9.1.2, PS 16.6, PS 16.37",,,
note,b360cd9b-409d-59ba-9154-d674c6997095,Verifying Document - IANZ Lab Reports,,,
note,c6b0b3a7-6dcf-50c1-9752-a9b5e6c216f4,Frequency - Submitted to Engineer for approval,,,
note,84aee3af-5288-58df-8681-3745321c5d83,Verification Activity: Activity - HP,,,
note,36d91c27-e601-58f0-bfc9-7e77fbbbba59,Verification Activity: By - ENG,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.01.6 - Alternative Bedding,,,
note,a85001ed-6c8b-5551-9216-b5b9ec0d7a89,"Acceptance / Conformance Criteria - If the Contractor wishes to propose a different material from that specified in this section, the Contractor shall submit to the Engineer",,,
note,cdd195da-360a-5eb0-9f67-da0bb290ce41,"Standard / Specification - PS 16.9.2.1, PS 16.9.1.2, PS 16.37",,,
note,094abc90-e93f-59f2-8f58-4a3416f1fec3,Verifying Document - Statement from the concrete pipe supplier,,,
note,2a6a8f95-5476-5bd0-909d-f9d7bc293854,Frequency - Submitted to Engineer for approval,,,
note,7853bd94-b417-5dfe-865f-db7f733661b9,Verification Activity: Activity - HP,,,
note,f0e0455f-bafc-5c44-9fdb-2cfb183fee07,Verification Activity: By - ENG,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.01.7 - Overlay Zone Material (for concrete pipes),,,
note,73d0dffb-72de-5c06-abf2-f02ee29527da,"Acceptance / Conformance Criteria - Materials for the overlay zone GAP 20 shall be used which has been tested for Grading, Weathering Index, Crushing Index",,,
