type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-188-STR-SSB-Precast Material Inspection,itp,,,,,ITP-188-STR-SSB-Precast Material Inspection Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-188-STR-SSB - Precast Material Inspection,,,,,,,,,,,,,,
label,ITP Description: SSB - Precast Material Inspection,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 188-STR,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 30/07/2024,,,,,,,,,,,,,,
label,ITP created by: Dan O'Brien,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,
section,Precast Deliveries,,,,,,,,,,,,,,
checkpoint,1 - Delivery Details,,,,,,,,,,,,,,
textbox,Enter: Delivery Docket Number:,,,,,,,,,,,,,,
textbox,Enter: Delivery Date:,,,,,,,,,,,,,,
textbox,Enter: Element ID (s):,,,,,,,,,,,,,,
label,Attach: Delivery Docket and packaging Slip,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2 - Packaging Inspection-Quantity,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Does the number of packages in the delivery match that listed on the freight list/packaging slip? ,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Delivery,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
