type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,ITP-110-CIV-SSB-Ground Improvement (Structural Fill),itp,,,,,ITP-110-CIV-SSB-Ground Improvement (Structural Fill) Rev 0,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-110-CIV-SSB-Ground Improvement (Structural Fill),,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-Ground Improvement (Structural Fill),,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 110-CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 27/11/2023,,,,,,,,,,,,,,,,,,
label,ITP created by: Hiruni Wickramarathne,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204 (Dec 2015),,,,,,,,,,,,,,,,,,
label,1.2,,,,,,,,,,,,,,,,,,
label,Reference: IFC Report and Drawings,,,,,,,,,,,,,,,,,,
section,Preliminaries,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Material Approval,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.04 Table 204.041 IFC drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Structural Fill Material shall meet the following requirements:,,,,,,,,,,,,,,,,,,
label,Scale C:,,,,,,,,,,,,,,,,,,
label,○ CBR ≥ 6%,,,,,,,,,,,,,,,,,,
label,○ Swell ≤ 1.5%,,,,,,,,,,,,,,,,,,
label,"○ Permeability > 10-7m/s to allow consolidation (where <10-7 m/s, drainage layer or geonet to be provided)",,,,,,,,,,,,,,,,,,
label,○ PI (LL) = 6 - 25,,,,,,,,,,,,,,,,,,
label,○ Effective Friction Angle = 32*,,,,,,,,,,,,,,,,,,
label,○ Effective Cohesion = 0-5kPa,,,,,,,,,,,,,,,,,,
label,○ Unit weight ≥19kN/m3,,,,,,,,,,,,,,,,,,
label,Grading:,,,,,,,,,,,,,,,,,,
label,○ % passing 75.0mm sieve = 100,,,,,,,,,,,,,,,,,,
label,○ % passing 4.75mm sieve = 40 - 80,,,,,,,,,,,,,,,,,,
label,○ % passing 0.075mm = 10 - 40,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Review and Verify,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Once per material type prior to commence of works,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,
checkpoint,3.1 Survey Set-out,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.03 IFC drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Survey pegs in place and clearly marks out the limits of the Works. ,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Sign ITP,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
section,Cut Activities,,,,,,,,,,,,,,,,,,
checkpoint,4.1 Subgrade Level,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.03 (g), Section 204.03 (h) IFC drawings",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
