"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Stormwater","dynamic","stormwater","site qa"
,,"Wastewater","dynamic","wastewater","site qa"
,,"Watermain","dynamic","site qa","watermain"
,,"Earthworks - Area 1 - Area 1A (CH1590-1730)","dynamic","area 1a (ch1590-1730)","earthworks","site qa","area 1"
,,"Utility Services - Area 1","dynamic","area 1","utility services","site qa"
,,"Utility Services - Area 2","dynamic","area 2","utility services","site qa"
,,"Utility Services - Area 3","dynamic","utility services","site qa","area 3"
,,"Utility Services - Peacockes Road","dynamic","peacockes road","utility services","site qa"
,,"Earthworks - Area 1 - Area 1C","dynamic","earthworks","site qa","area 1","area 1c"
,,"Earthworks - Area 1 - Area 1B (CH1740-CH1960)","dynamic","earthworks","site qa","area 1b (ch1740-ch1960)","area 1"
,,"Earthworks - Area 2","dynamic","area 2","earthworks","site qa"
,,"Earthworks - Area 3","dynamic","earthworks","site qa","area 3"
,,"Earthworks - Peacockes Road","dynamic","peacockes road","earthworks","site qa"
,,"Pavement - Area 1A - CH1600 to CH1730","dynamic","pavement","area 1a - ch1600 to ch1730","site qa"
,,"Pavement - Area 2","dynamic","pavement","area 2","site qa"
,,"Pavement - Area 3","dynamic","pavement","site qa","area 3"
,,"Pavement - Peacockes Road","dynamic","pavement","peacockes road","site qa"
,,"Surfacing - Area 1","dynamic","area 1","site qa","surfacing"
,,"Surfacing - Area 2","dynamic","area 2","site qa","surfacing"
,,"Surfacing - Area 3","dynamic","site qa","surfacing","area 3"
,,"Surfacing - Peacockes Road","dynamic","peacockes road","site qa","surfacing"
,,"Street Lighting - Area 1","dynamic","area 1","street lighting","site qa"
,,"Street Lighting - Area 2","dynamic","area 2","street lighting","site qa"
,,"Street Lighting - Area 3","dynamic","street lighting","site qa","area 3"
,,"Street Lighting - Peacockes Road","dynamic","peacockes road","street lighting","site qa"
,,"Traffic Signals - Whatakooruru Drive/Peacockes Road","dynamic","whatakooruru drive/ peacockes road","traffic signals","site qa"
,,"Traffic Signals - Whatakooruru Drive/RS05","dynamic","traffic signals","site qa","whatakooruru drive/ rs05"
,,"Traffic Signals - Whatakooruru Drive/RS06","dynamic","traffic signals","whatakooruru drive/ rs06","site qa"
,,"Traffic Signals - Peacockes Road/RS21","dynamic","traffic signals","peacockes road/ rs21","site qa"
,,"Traffic Signals - Peacockes Road/RS22","dynamic","traffic signals","peacockes road/ rs22","site qa"
,,"Barriers, Signs and Markings - Area 1","dynamic","area 1","site qa","barriers, signs and markings"
,,"Barriers, Signs and Markings - Area 2","dynamic","area 2","site qa","barriers, signs and markings"
,,"Barriers, Signs and Markings - Area 3","dynamic","site qa","barriers, signs and markings","area 3"
,,"Barriers, Signs and Markings - Peacockes Road","dynamic","peacockes road","site qa","barriers, signs and markings"
,,"Eastern Gully Bridge - Retaining Wall - Abutment A","dynamic","eastern gully bridge","abutment a","site qa","retaining wall"
,,"Eastern Gully Bridge - Retaining Wall - Abutment D","dynamic","eastern gully bridge","site qa","retaining wall","abutment d"
,,"Eastern Gully Bridge - Piling","dynamic","eastern gully bridge","piling","site qa"
,,"Eastern Gully Bridge - Columns","dynamic","eastern gully bridge","columns","site qa"
,,"Eastern Gully Bridge - Crossheads","dynamic","eastern gully bridge","crossheads","site qa"
,,"Eastern Gully Bridge - Precast Bridge Beams","dynamic","precast bridge beams","eastern gully bridge","site qa"
,,"Eastern Gully Bridge - Settlement Slabs","dynamic","eastern gully bridge","site qa","settlement slabs"
,,"Eastern Gully Bridge - Bridge Deck & Crosshead","dynamic","bridge deck & crosshead","eastern gully bridge","site qa"
,,"Eastern Gully Bridge - Bridge Barriers","dynamic","bridge barriers","eastern gully bridge","site qa"
,,"Eastern Gully Bridge - Bridge Services","dynamic","bridge services","eastern gully bridge","site qa"
,,"Eastern Gully Bridge - Abutments","dynamic","eastern gully bridge","abutments","site qa"
,,"Mangakootukutuku Bridge - Retaining Wall - Abutment A","dynamic","mangakootukutuku bridge","abutment a","site qa","retaining wall"
,,"Mangakootukutuku Bridge - Retaining Wall - Abutment D","dynamic","mangakootukutuku bridge","site qa","retaining wall","abutment d"
,,"Mangakootukutuku Bridge - Piling","dynamic","eastern gully bridge","piling","site qa"
,,"Mangakootukutuku Bridge - Columns","dynamic","eastern gully bridge","columns","site qa"
,,"Mangakootukutuku Bridge - Crossheads","dynamic","eastern gully bridge","crossheads","site qa"
,,"Mangakootukutuku Bridge - Precast Bridge Beams","dynamic","precast bridge beams","eastern gully bridge","site qa"
,,"Mangakootukutuku Bridge - Settlement Slabs","dynamic","eastern gully bridge","site qa","settlement slabs"
,,"Mangakootukutuku Bridge - Bridge Deck & Crosshead","dynamic","bridge deck & crosshead","eastern gully bridge","site qa"
,,"Mangakootukutuku Bridge - Bridge Barriers","dynamic","bridge barriers","eastern gully bridge","site qa"
,,"Mangakootukutuku Bridge - Bridge Services","dynamic","bridge services","eastern gully bridge","site qa"
,,"Mangakootukutuku Bridge - Abutments","dynamic","mangakootukutuku bridge","abutments","site qa"
,"Columns"
,,"QA",,"site qa"

