"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b683adb2-4923-4991-8a13-a5722e04e8bb","","folder-normal","not-started","","step","TRUE","FALSE","B01"
"68495235-ead8-4a9c-a54f-0e3be05f8e13","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor"
"672784cb-4846-4708-b435-d0ce2f173184","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care"
"82b6aa77-7cb9-4db1-9709-c2e426e2349a","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)"
"c49bbb4b-7218-4324-97d7-9656d44e8c60","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)","Rough In"
"d37ffdf0-6e56-4f0a-bb9a-af7b24566034","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)","Installation"
"a9c8a052-c27b-4e47-b984-37965dfdcc62","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 1 (Accessible)","Care/ALS Fit Off Checklist"
"695e7099-07c3-46bb-888e-d3a598ca0880","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 2"
"b1080fb5-f348-49cd-a0a6-ce4af4014cf7","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 2","Rough In"
"1457c11d-18c0-410a-8efc-8deb79bd1b5a","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 2","Installation"
"63c4fea6-643a-48f2-828b-c9b01bf86835","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 2","Care/ALS Fit Off Checklist"
"8831795b-5fc4-4e5e-b5b9-7cf8ed1e8d41","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 3 (Accessible)"
"d0c9846a-39ab-40cf-9f21-d6c00cf573a0","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 3 (Accessible)","Rough In"
"cde49726-576a-4c16-9e28-12f0c0a10714","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 3 (Accessible)","Installation"
"f57ef918-e93e-4df4-aeed-1c842f8e18bc","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 3 (Accessible)","Care/ALS Fit Off Checklist"
"ead97eb0-f468-46e5-9325-675920a4869f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 4"
"da69e4c8-77e5-4558-a569-2b47cb0cb24c","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 4","Rough In"
"1898b0ef-9347-444f-8264-4a7c4289ea95","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 4","Installation"
"37b11f39-097c-4bcc-83d1-1f12245457ac","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 4","Care/ALS Fit Off Checklist"
"7414884a-59ff-407a-8ade-41edabe82c66","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 5"
"70574316-e9f3-4ef2-b2e4-3a1293b008b8","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Rough In"
"9be1dc62-bfb3-453d-a68b-a5bb2b42188e","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Installation"
"9839ce89-66c3-4e04-98b0-db7592e5dff8","","checklist-flat","not-started","Care/ALS Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 5","Care/ALS Fit Off Checklist"
"7a162f30-fc11-41a4-811e-607c5bfdc254","","folder-normal","not-started","","step","TRUE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6"
"516dfb04-5967-483e-8370-eb81bf6a159a","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Rough In"
"425ec815-c86c-4d60-a495-a10de4144740","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","B01","Ground Floor","Area A - Dementia Care","Apartment 6","Installation"
