Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Bathroom & Laundry,,Bathroom & Laundry,
,,Balcony & Podium,,Balcony & Podium,
,,,,,
Detailed Progress (Bathroom & Laundry),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Area barricaded off to allow no access to balconies with signs posted,,Area barricaded off to allow no access to balconies with signs posted/ visible to include date of application,Bathroom & Laundry
,,Surface Preparation as per Application Guide,,Surface Preparation as per Application Guide,Bathroom & Laundry
,,"Substrate clean, dry & free from dust",,"Substrate clean, dry and free from dust.",Bathroom & Laundry
,,Ensure no high points or crevices are in the substrate,,Ensure no high points or crevices are in the substrate,Bathroom & Laundry
,,Ensure substrate is structurally sound & ready to receive membrane,,Ensure substrate is structurally sound and ready to receive membrane,Bathroom & Laundry
,,Ensure Humidity/temperature/moisture in accordance with manufacturer's recs.,,"Ensure Humidity, temperature and moisture are in accordance with manufacturer's recommendations prior to primer - Add photos & have signed by Aland",Bathroom & Laundry
,,Apply Primer (Polybit Polyprime),,Apply Primer (Polybit Polyprime),Bathroom & Laundry
,,Ensure all floor wastes & pipes primed in accordance with manufacturer's recs.,,Ensure all floor wastes and pipes have been primed in accordance with manufacturer's recommendations (Polybit PVC prime),Bathroom & Laundry
,,Shower & door angle in correct position & level. Angles to be 1.6mm gauge aluminium,,Shower & door angle in correct position and level. Angles to be 1.6mm gauge aluminium,Bathroom & Laundry
,,All corners sealed with Polybit hydraflex as per manufacturer's recommendations,,All corners sealed with Polybit hydraflex as per manufacturer's recommendations,Bathroom & Laundry
,,Apply first coat of membrane (Polybit Hydraguard) w/ min 150mm kicker around walls,,Apply first coat of membrane (Polybit Hydraguard) with minimum 150mm kicker around walls,Bathroom & Laundry
,,Waterproof walls of shower section up to 1.8m/ceiling. Seal taps & the like. 2x coats required,,Waterproof walls of shower section up to 1.8m/ceiling. Seal taps and the like. 2x coats required.,Bathroom & Laundry
,,Min 50mm past shower screen has been waterproofed,,Min 50mm past shower screen has been waterproofed,Bathroom & Laundry
,,Waterproof all shower & adjacent walls,,Waterproof all shower and adjacent walls,Bathroom & Laundry
,,Apply final coat of membrane (Polybit Hydraguard),,Apply final coat of membrane (Polybit Hydraguard),Bathroom & Laundry
,,Allow curing in accordance with manufacturer's specification 24-48 hours min,,Allow curing in accordance with manufacturer's specification 24-48 hours min,Bathroom & Laundry
,,Carry out dry film thickness test using Positector coating thickness inspection instrument,,Carry out dry film thickness test using Positector coating thickness inspection instrument - a total dry film thickness of 1.1mm (1500 microns) in two finished coats.,Bathroom & Laundry
,,Flood testing completed,,Flood testing completed,Bathroom & Laundry
,,,,,
Detailed Progress (Balcony & Podium),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Area barricaded off to allow no access to balconies with signs posted,,"Area barricaded off to allow no access to balconies with signs posted/ visible to include date of application. ""No access Waterproofing work in progress""",Balcony & Podium
,,Surface Preparation as per Application Guide,,Surface Preparation as per Application Guide,Balcony & Podium
,,"Substrate clean, dry & free from dust",,"Substrate clean, dry and free from dust.",Balcony & Podium
,,Ensure no high points or crevices are in the substrate,,Ensure no high points or crevices are in the substrate,Balcony & Podium
,,Ensure substrate is structurally sound & ready to receive membrane,,Ensure substrate is structurally sound and ready to receive membrane,Balcony & Podium
,,"Ensure Humidity, temperature & moisture in accordance w/ manufacturer's recs.",,"Ensure Humidity, temperature and moisture are in accordance with manufacturer's recommendations prior to primer",Balcony & Podium
