"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f5be62f9-6eb3-475b-8327-9273845eb6f7","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"daf415f0-76d9-4631-8849-392bb85b0ee8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site"
"eef25134-e791-4bb3-a49e-6e48fce25b81","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","02.01 - Traffic Management"
"6a90fc28-564a-4c20-afa9-a48b6270aef5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"0f09cf59-6b81-4477-af0f-c6e25641a19e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.02 - Supply and Installation of Precast Concrete Pipe"
"bd7940fa-55cd-431f-ab1b-4df5fbcdc42c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.03 - Culvert Component/End Structure Insitu Cast"
"299832ca-c1fb-4d55-98ae-1c70b7162562","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.04 - Pre Cast End Structure"
"70014b94-023a-4250-a042-856bc7a18bc6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.05 - Supply and Installation of Precast Box Culverts"
"de27d7e6-27ae-4ff6-9fee-f059aa7dbaa3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.20 - Kerb - Cast Insitu/Extruded"
"1bf0563e-14f9-4828-98be-46f5cce6c8b5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.27 - Subsoil Drains"
"bb57119c-8933-470f-9a84-3bb755ad269d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.28 - Sheet or Strip Filter Drains"
"6a7503f7-1299-4d01-86a2-0713bb4413d6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.41 - Rock Protection"
"1c9ef803-9dd5-4a4a-af83-f8df0c42a2a4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.01 - Clearing & Grubbing"
"d0f60dae-6add-4921-853e-1e3fef09e79a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.04 - Ground Surface Treatment"
"168fae44-05de-4777-901a-169024e1e69e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.05 - Embankment"
"50238620-c35b-4d65-97f1-60102a65eb2e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.06 - General Excavation"
"86975f2d-323f-4dce-b2b9-ccbdf52ee282","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.07 - Structure Excavation (Unsuitable)"
"b0dc11a4-49b6-43b3-b8ab-6e39cf1b09dc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.08 - Stripping of Topsoil"
"7907784e-ad33-4e86-a917-c5d0e8e91390","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.10 - Backfill"
"bc4520b1-5ed5-4988-aab4-7804a09b260e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.11 - Demolition of Road Furniture"
"bdf06312-7c92-4b9a-8254-b6f1fb0e4a05","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.18 - Subgrade Testing"
"eb2f3668-19cc-4db8-9182-2fc51f99e7d2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","05.01 - Placement of Unbound Pavement"
"0212ebb9-8772-4f7c-a795-cfe05db944e2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"132a05e8-283b-460d-874e-86cb724fbaeb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","14.01 - Supply and Installation of Road Signs"
"cc2217b7-b290-4f8c-87d4-c94e721a4278","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","16.01 - Landscape and Revegetation Works"
"ccb9eb90-9ace-4309-ac8e-7873b5e3690d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","28.01 - Contractor's Camp and Site Facilities"
"8a93944e-fa29-49d6-a53f-400a59b1d917","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","30.01 - Dense Graded Asphalt"
"a9642cdf-297f-417e-a417-3081891238f1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","45.01 - Road Surface Delineation"
"3df28cb3-9417-4c70-b5ca-56a661ac02a9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","51.00 - Environmental Management Systems"
"13cf15ff-b8a5-48cd-ad63-a81d709e4e3a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","52.01 - Erosion and Sediment Control"
"efd40927-33fb-4731-8466-46a6413001dc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","70.01 - Placement of Concrete"
"13c5637a-234a-45de-9273-2720af277f8d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","70.02 - MRTS70 Normal Class Concrete"
"98791a9a-e72b-42b8-9c72-d09293b7fe03","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","70.03 - Supply of Concrete"
"b1ca402a-faff-46bc-976a-6249ef28fabe","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","71.01 - Reinforcing Steel"
"12f5558b-a3b6-48b4-8cfe-1d167af0c999","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section 1"
"f15e1829-a2c0-4ff1-ac40-209cbd21a2be","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section 1","02.01 - Traffic Management"
"9a3ba4e6-3071-459a-b581-cce81a5c8b4f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section 1","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"10b75cea-8682-4545-b692-9cddb4b28441","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section 1","03.02 - Supply and Installation of Precast Concrete Pipe"
