"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38568799-7c11-4498-8889-438b70dd1f53","","","Site Establishment and Safety Checklist","checklist","FALSE","FALSE","OHS"
"eab51c46-926d-4c87-b53d-82f06c08e855","","","","folder","TRUE","FALSE","PAVILION 1"
"067fd326-a2ca-428c-b331-90185d77974d","","","","folder","TRUE","FALSE","PAVILION 1","GROUND FLOOR"
"a24c24ab-5526-4696-a4a2-8454df3fba60","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","All Subbie Rough-in Progression"
"cb4f0b31-418c-44ee-8d8c-8d037d7a0b0f","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","All Subbie Fit off & Testing Progression"
"1a1353d7-f48e-4495-b48f-54b6759b1289","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","As Builts"
"1b9537b2-744c-4f9e-b3dc-20f7bcddcfad","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","Ductwork"
"9931eacd-0d77-41e5-9aa2-b7a3cd16eeb8","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","Pipework"
"d7a2e364-26d9-4307-a878-3ca256d945d5","","","Indoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","Indoor Equipment"
"85153ed3-6b03-4d17-8eda-15fdf0ce66c1","","","Grille Fit-Off Checklist","checklist","FALSE","FALSE","PAVILION 1","GROUND FLOOR","Grille Fit-Off"
"160049be-c1ef-4a41-b168-2bf736feef84","","","","folder","TRUE","FALSE","PAVILION 1","LEVEL 1"
"67a3f69a-e827-4ff0-aae1-aefead8a5723","","","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","All Subbie Rough-in Progression"
"6df2ffc1-a523-4795-8f5d-468152a47df4","","","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","All Subbie Fit off & Testing Progression"
"ceaaf32c-5ddb-4b7f-8e4c-84851666e674","","","As Builts Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","As Builts"
"92f1431b-2eb3-4469-addc-33bc2dca1418","","","Ductwork Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Ductwork"
"11beaf09-0a87-4cc2-a6b5-c5933e5d6545","","","Pipework Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Pipework"
"18e040cd-21d7-4d73-9871-9896763c71b0","","","Indoor Equipment Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Indoor Equipment"
"eedc8a62-faca-4900-93f7-c6496761632b","","","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","PAVILION 1","LEVEL 1","Refrigeration Pipe"
