"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7e74042d-d751-4035-9d71-274f3320d6ee","","checklist-flat","","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"bf7757b4-b6d2-4346-846b-d56967ad65ec","","folder-normal","","","step","TRUE","FALSE","QA"
"dd7bc0ae-7e26-4969-9391-32b6bc83bf04","","folder-normal","","","step","TRUE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors"
"67b50801-072b-468f-9a42-2230f5d8b823","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist"
"c6130dda-9761-401c-a89d-045717a98f05","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 1"
"25bdb1ec-c869-4e50-a9bc-aae4b81def5c","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 2"
"de42fe7a-1116-498b-8c5f-507b2b8b0dfb","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 3"
"e3763c28-35eb-40b9-b7c6-b3a1e1d8f7dc","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 4"
"7e896de9-54ca-4634-b3aa-4f3757d8bc15","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 5"
"8ada4536-b10c-4654-8b93-1f43b25dd7c7","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 6"
"76408c19-7f7a-400a-9057-b50e075e17a4","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 7"
"a7b9da5c-e4ef-4549-8896-4635bf6a3630","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 8"
"955ee699-bdc8-4b2d-b272-650d487ca77f","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 9"
"5f2c8d83-4b58-4d8f-8029-9cafe70abcc4","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10"
"69c5f039-9958-4f25-8262-7aac2d867c7c","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11"
"e9c4c2eb-6444-4d9b-9572-fab0cd844900","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 12"
"9707346f-efee-4722-b228-9d758dfad6a9","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 13"
"341d42a7-9a73-4dcf-9093-009c134a4d57","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 14"
"7771d96b-9c05-48e8-9ff2-c4f42d2b8e2b","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 15"
"44de6a7a-01eb-409e-a09a-fdca3376ac80","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 16"
"df47d3ae-eaa9-4bb8-8c13-bcb02838a037","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 17"
"63d1a6b4-5111-4c63-b059-65e53907a952","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 18"
"852e2e34-eb53-459d-b6d5-83bd122acd4c","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 19"
"fb66a66f-5af4-47af-9e67-970674f6b0ec","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 20"
"3844c379-8ef3-402d-a3c0-60a0fe0a8927","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 21"
"8bfe2f03-2157-4bb0-9f63-6c418027dcbd","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 22"
"66488290-8f25-4a70-89e8-5de5521bb7fe","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 23"
"6962ceee-8fb7-4c4f-a7e7-445e913ea7bf","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 24"
"9fc0dca1-6239-45e0-8c47-a57b1e787553","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 25"
"5f3f99d5-d729-4ba3-892c-1348cf863d0c","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 26"
"2cb98913-fb34-4577-a7db-483ac17a89a8","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 27"
"b93402eb-aea4-4f70-ab18-462151f0e18b","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 28"
"3c8d579d-980b-42e2-8e24-d419a088c392","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 29"
"e19a16ea-26f0-4dc2-a4a4-40c0e992b0ec","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 30"
"2439b780-d45c-44a4-b88b-61ad16ccfc28","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 31"
"e3d07849-c27b-48c5-82cb-f913d0eb7f49","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 32"
"2e05e1a7-fff9-4ecd-8256-238579644c7b","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 33"
"e4567178-8654-44bd-9014-115700e3122d","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 34"
"dd0e6bb7-aad1-40e7-ab00-10efff29196b","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 35"
"b6ec7d9c-bddd-4e0c-86fc-e19ad156ef3f","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 36"
"53bcef51-65e8-4834-8ba9-cbfbe683d85e","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 37"
"69d4f4cf-7b03-4e90-890a-53fcacd2867b","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 38"
"09ee48cb-ad56-4dee-bcbe-60257e664337","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 39"
"6987544e-f87a-40b9-b1f1-c78e43ad0279","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 40"
"a5133776-1694-4dca-a0ee-77c5d7c49197","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 41"
"e48c2b8e-0bb5-4cce-8e60-d8824d91bb15","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 42"
"ef355221-1bd6-41c6-91da-61e9750408a7","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 43"
"fed590ce-bf31-4bd8-aa03-7a74eac864c0","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 44"
"c9c0a454-5ef9-4e97-86cf-f77103633ce7","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","45no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 45"
"061f79c0-a875-4759-9b96-8ff5e31d6864","","folder-normal","","","step","TRUE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors"
"a94d7b45-fcb9-41fe-b152-a5e38365c654","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors","Pre-Fit Off Checklist"
"540c8831-23d1-4a53-86ff-ecadf5c01151","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 1"
"2d35786d-e6b4-4133-8246-ed22e109e103","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 2"
"ffc34582-d97c-4187-a4cd-394e5499df9c","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 3"
"ec6e924d-82e6-4bd0-a067-077d8fe04b05","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 02 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 4"
"6a382f54-22c2-4f2f-b85e-aab78368bf49","","folder-normal","","","step","TRUE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors"
"a8c1c084-82f9-4d08-8fb9-d006086b50b1","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors","Pre-Fit Off Checklist"
"f1bf66aa-c8fb-4d13-9a21-f66f9834f611","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors","Fit Off Checklist - Anchor 1"
"a24602ce-e82e-4f60-9ad5-34fb6c17dda6","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors","Fit Off Checklist - Anchor 2"
"57703f40-1e11-4f8d-bede-800f74fd7b47","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors","Fit Off Checklist - Anchor 3"
"a19ccf8b-cde4-4f52-aa59-4148f7b6a995","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","4no AP Type 03 Fall Arrest Anchors","Fit Off Checklist - Anchor 4"
"e813d8c4-c2d4-4977-9ebd-0bd2281bf261","","folder-normal","","","step","TRUE","FALSE","QA","2no AP Type 04 Fall Arrest Access Anchors"
"43da58bb-24e4-465e-a4dc-30083fd01afd","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2no AP Type 04 Fall Arrest Access Anchors","Pre-Fit Off Checklist"
"a2ac8958-454b-425d-a301-23c2df06dd3f","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","2no AP Type 04 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 1"
"8c4a8cbd-e0e3-4afc-a880-71dd6f171136","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","2no AP Type 04 Fall Arrest Access Anchors","Fit Off Checklist - Anchor 2"
"1383fdb3-9b75-447f-8f0c-49bbb00dc334","","folder-normal","","","step","TRUE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors"
"496215ac-9950-4fec-b86e-c1f0749e451e","","checklist-flat","","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Pre-Fit Off Checklist"
"95a6f597-ff67-44e7-82a5-322df1b56835","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 1"
"53284ca3-245a-4fcf-95b2-9196e0994046","","checklist-flat","","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","9no AP Type 05 Fall Arrest Anchors","Fit Off Checklist - Anchor 2"
