"Warnings","Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"",,"checklist","Precast casting","","Precast casting",94,"568e856a-a78d-4a91-aa9d-b78b1c969476"
"",,"section","Authorised Documentation for commencement of new work is in place",,,,
"",,"checkpoint","All 'preconstruction' authorisations & checks completed",,,,
"",,"section","Concrete Mix Design and Approval",,,,
"",,"checkpoint","Concrete Mix Design and Approval AS 1379",,,,
"",,"section","Supply of Reinforcing Steel and Receipt",,,,
"",,"checkpoint","Supply of Reinforcing Steel and Receipt AS 4671",,,,
"",,"checkpoint","Supplier and Mill ACRS accredited",,,,
"",,"checkpoint","Reo Bent to shop drawing schedule",,,,
"",,"section","Approval of Shop Drawings",,,,
"",,"checkpoint","Shop Drawings as per AFC Drawings",,,,
"",,"checkpoint","Shop Drawings Approved - Lift Certificate",,,,
"",,"section","Steel, Void Formers and Cast-in Fixings",,,,
"",,"checkpoint","Pre-pour Inspection Checklist Complete, pour to proceed",,,,
"",,"section","Pour Arrangement",,,,
"",,"checkpoint","Confirm Pour with Supplier:",,,,
"","1c4db392-87dc-532d-a49c-ab818198c01e","textbox","Product ID",,,,
"","a08d50be-b7c4-58ad-87cc-b67f7abd5a71","textbox","Schedule/Time",,,,
"","64064e30-ba5a-553a-a3cd-2881ea8e8b2c","note","Mix Type: 40mpa, High early, shrinkage limited - B80 ( delete as required)",,,,
"",,"section","Concrete Placement",,,,
"",,"checkpoint","Concrete and placement to AS3600",,,,
"",,"section","Sampling and Testing",,,,
"",,"checkpoint","Sampling Frequency to AS1012",,,,
"",,"section","Stripping and demoulding",,,,
"",,"checkpoint","Stripping strength >/= 15 MPA = what is shown on the drawing",,,,
"",,"checkpoint","Lifting points in the correct locations",,,,
"",,"section","Product Inspection, As-built Measurements, and Repairs (where required)",,,,
"",,"checkpoint","As-built dimensions noted on manufacture drawing",,,,
"",,"checkpoint","Finish complies with drawing- Post-pour Inspection Checklist Complete",,,,
"",,"section","Identification, Handling and Storage",,,,
