Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Overall Progress (B03/B04),,,,,,,,
,Scope,,,,,,,
,Rows,,,,,,,
,,Building B03 - On Site QA,grouping,building b03 - on site qa,,,,
,,North Elevation,grouping,north elevation,,,,
,,Ground Floor,,ground floor,north elevation,building b03 - on site qa,B03,
,,Level 1,,level 1,north elevation,building b03 - on site qa,B03,
,,South Elevation,grouping,south elevation,,,,
,,Ground Floor,,ground floor,south elevation,building b03 - on site qa,B03,
,,Level 1,,level 1,south elevation,building b03 - on site qa,B03,
,,East Elevation - Grid A-G,grouping,east elevation - grid a-g,,,,
,,Ground Floor,,ground floor,east elevation - grid a-g,building b03 - on site qa,B03,
,,Level 1,,east elevation - grid a-g,level 1,building b03 - on site qa,B03,
,,East Elevation - Grid G-K,grouping,east elevation - grid g-k,,,,
,,Ground Floor,,ground floor,east elevation - grid g-k,building b03 - on site qa,B03,
,,Level 1,,level 1,east elevation - grid g-k,building b03 - on site qa,B03,
,,West Elevation - Grid A-G,grouping,west elevation - grid a-g,,,,
,,Ground Floor,,ground floor,west elevation - grid a-g,building b03 - on site qa,B03,
,,Level 1,,level 1,west elevation - grid a-g,building b03 - on site qa,B03,
,,West Elevation - Grid G-K,grouping,west elevation - grid g-k,,,,
,,Ground Floor,,ground floor,west elevation - grid g-k,building b03 - on site qa,B03,
,,Level 1,,west elevation - grid g-k,level 1,building b03 - on site qa,B03,
,,Building B04 - On Site QA,grouping,building b04 - on site qa,,,,
,,North Elevation,grouping,north elevation,,,,
,,Ground Floor,,ground floor,north elevation,building b04 - on site qa,B04,
,,Level 1,,level 1,north elevation,building b04 - on site qa,B04,
,,South Elevation,grouping,south elevation,,,,
,,Ground Floor,,ground floor,south elevation,building b04 - on site qa,B04,
,,Level 1,,level 1,south elevation,building b04 - on site qa,B04,
,,East Elevation - Grid A-G,grouping,east elevation - grid a-g,,,,
,,Ground Floor,,ground floor,east elevation - grid a-g,building b04 - on site qa,B04,
,,Level 1,,east elevation - grid a-g,level 1,building b04 - on site qa,B04,
,,East Elevation - Grid G-K,grouping,east elevation - grid g-k,,,,
,,Ground Floor,,ground floor,east elevation - grid g-k,building b04 - on site qa,B04,
,,Level 1,,level 1,east elevation - grid g-k,building b04 - on site qa,B04,
,,West Elevation - Grid A-G,grouping,west elevation - grid a-g,,,,
,,Ground Floor,,ground floor,west elevation - grid a-g,building b04 - on site qa,B04,
,,Level 1,,level 1,west elevation - grid a-g,building b04 - on site qa,B04,
,,West Elevation - Grid G-K,grouping,west elevation - grid g-k,,,,
,,Ground Floor,,ground floor,west elevation - grid g-k,building b04 - on site qa,B04,
,,Level 1,,west elevation - grid g-k,level 1,building b04 - on site qa,B04,
,,Building B05 - On Site QA,grouping,building B05 - on site qa,,,,
,,North Elevation,grouping,north elevation,,,,
,,Ground Floor,,ground floor,north elevation,building B05 - on site qa,Façade,B05
,,Level 1,,level 1,north elevation,building B05 - on site qa,Façade,B05
,,South Elevation,grouping,south elevation,,,,
,,Ground Floor,,ground floor,south elevation,building B05 - on site qa,Façade,B05
,,Level 1,,level 1,south elevation,building B05 - on site qa,Façade,B05
,,East Elevation,grouping,east elevation,,,,
,,Ground Floor,,ground floor,east elevation,building B05 - on site qa,Façade,B05
,,Level 1,,level 1,east elevation,building B05 - on site qa,Façade,B05
,,West Elevation,grouping,west elevation,,,,
,,Ground Floor,,ground floor,west elevation,building B05 - on site qa,Façade,B05
