Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,
Overall Progress,,,,,,,,,,,,,
,Scope,,,,,,,,,,,,
,Rows,,,,,,,,,,,,
,,Earthworks,grouping,earthworks,,,,,,,,,
,,Earthworks and Drainage Materials,,section 5 – bulk earthworks and drainage,earthworks and drainage materials,,,,,,,,
,,"Earthworks Overarching, Diversion, and Clearing Inspection and Test Plan",,"earthworks overarching, diversion, and clearing inspection and test plan",section 5 – bulk earthworks and drainage,,,,,,,,
,,Stage 1,dynamic,section 5 – bulk earthworks and drainage,stage 1,,,,,,,,
,,Stage 2,dynamic,stage 2,section 5 – bulk earthworks and drainage,,,,,,,,
,,Stage 3,dynamic,stage 3,section 5 – bulk earthworks and drainage,,,,,,,,
,,Stage 4,dynamic,section 5 – bulk earthworks and drainage,stage 4,,,,,,,,
,,Stage 5,dynamic,section 5 – bulk earthworks and drainage,stage 5,,,,,,,,
,,Stage 6,dynamic,stage 6,section 5 – bulk earthworks and drainage,,,,,,,,
,,Stage 7,dynamic,stage 7,section 5 – bulk earthworks and drainage,,,,,,,,
,,Stage 8,dynamic,section 5 – bulk earthworks and drainage,stage 8,,,,,,,,
,,Stage 9,dynamic,section 5 – bulk earthworks and drainage,stage 9,,,,,,,,
,,Jet Grouting Materials,grouping,jet grouting materials,,,,,,,,,
,,DS2672-ITP-S101 - Rev 1 - Jet Grouting Materials,,section 6 – jet grouting,ds2672-itp-s101 - rev 1 - jet grouting materials,,,,,,,,
,,Jet Grout Trial Columns,grouping,jet grout trial columns,,,,,,,,,
,,DS2672-ITP-S102 - Rev 1 - Jet Grout Trial Columns,,ds2672-itp-s102 - rev 1 - jet grout trial columns,section 6 – jet grouting,,,,,,,,
,,Jet Grout Columns,dynamic,jet grout columns,section 6 – jet grouting,,,,,,,,
,,True LHS - Bored Piles,grouping,true lhs - bored piles,,,,,,,,,
,,Piling Materials - LHS,,section 7 – piling,piling materials - lhs,true lhs - bored piles,,,,,,,
,,Piling Overarching - LHS,,piling overarching - lhs,section 7 – piling,true lhs - bored piles,,,,,,,
,,Pile Construction - LHS,dynamic,section 7 – piling,true lhs - bored piles,pile construction - lhs,,,,,,,
,,Wall And Slab,grouping,wall and slab materials,,,,,,,,,
,,Wall And Slab Materials,,section 8 – wall and slab,wall and slab materials,,,,,,,,
,,Wall And Slab Overarching,,section 8 – wall and slab,wall and slab overarching,,,,,,,,
,,LHS Slab Pours,dynamic,section 8 – wall and slab,lhs slab pours,,,,,,,,
,,Wall Pours - RW4,dynamic,section 8 – wall and slab,wall pours,rw4,,,,,,,
,,Wall Pours - RW 2,dynamic,section 8 – wall and slab,rw 2,wall pours,,,,,,,
,,Wall Pours - Return Walls,dynamic,section 8 – wall and slab,return walls,wall pours,,,,,,,
,,Wall Pours - RW 3,dynamic,section 8 – wall and slab,rw 3,wall pours,,,,,,,
,,Wall Pours - RW 1,dynamic,section 8 – wall and slab,wall pours,rw 1,,,,,,,
,,LHS Stilling Basin/Dissipater Channel Pours,dynamic,section 8 – wall and slab,lhs stilling basin/dissipater channel pours,,,,,,,,
,,RHS Stilling Basin/Dissipater Channel Pours,dynamic,rhs stilling basin/dissipater channel pours,,,,,,,,,
,,RHS Slab Pours,dynamic,rhs slab pours,,,,,,,,,
,,Rail and Walkway,grouping,rail and walkway,,,,,,,,,
,,Rail and Walkway Materials,,section 9 – rail and walkway,rail and walkway materials,,,,,,,,
,,Welding Finishing and Coating,,welding finishing and coating,section 9 – rail and walkway,,,,,,,,
,,Rail and Walkway Installation,,rail and walkway installation,section 9 – rail and walkway,,,,,,,,
,,Rail and Walkway Concrete,dynamic,rail and walkway concrete,,,,,,,,,
,Columns,,,,,,,,,,,,
,,3.01 Site Requirements,,3.01 site requirements,,,,,,,,,
,,3.02 Hold Points,,3.02 hold points,,,,,,,,,
,,4.01 General,,4.01 general,,,,,,,,,
,,4.02 Buttress Fill Materials,,4.02 buttress fill materials,,,,,,,,,
,,4.03 Drainage Materials,,4.03 drainage materials,,,,,,,,,
